"의료기관시도별","보험급여별","수술종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","유방 전 절제술","수술건수[건]","건","17024","17389","17844","24890","13964","14275","17544","18981","21013","21812","15480","19743","12699","16465","18866","20791","22538",
"계","계","뇌기저부 수술","수술인원수[명]","명","433","420","317","374","346","349","361","359","353","354","390","343","363","517","497","515","515",
"계","계","뇌기저부 수술","수술건수[건]","건","436","423","320","382","350","351","362","362","357","357","393","345","365","520","513","520","526",
"계","계","뇌종양 수술","수술인원수[명]","명","4304","4649","4458","5437","5623","5563","5950","6031","6196","6402","6863","7043","5328","5638","5664","8066","8072",
"계","계","뇌종양 수술","수술건수[건]","건","4392","4781","4550","5591","5793","5743","6139","6205","6345","6584","7045","7208","5450","5816","5905","8465","8425",
"계","계","위 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","17596","17447","15975","19936","20138","19841","20287","19381","18965","17878","19037","18565","18036","17749","16365","17388","16810",
"계","계","위 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","17615","17561","16139","19981","20179","19887","20360","19448","19032","17954","19117","18697","18130","17913","16685","17848","17363",
"계","계","간 부분 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","3883","4231","4594","5644","5988","6230","7138","7218","7325","7641","7752","7229","7779","7834","8117","8180","7879",
"계","계","간 부분 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","3900","4275","4613","5680","6039","6275","7205","7288","7392","7715","7815","7317","7846","7954","8330","8474","8117",
"계","계","간색전술","수술인원수[명]","명","18402","19405","19575","22079","22845","22996","24426","24598","24814","25494","26076","27138","27656","28814","28324","29022","28471",
"계","계","간색전술","수술건수[건]","건","30310","32207","31288","34099","34913","33902","36425","35683","35789","36707","37310","37712","37671","38802","37987","38615","37223",
"계","계","갑상선 수술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","22905","27716","32068","38412","40501","43920","51044","48539","36843","27983","28994","28433","30550","33341","31371","36276","35027",
"계","계","갑상선 수술(기타 질환에 의한 수술 포함)","수술건수[건]","건","23119","28048","32302","38708","40847","44234","51513","48948","37162","28214","29201","28699","30828","33754","31931","37150","35976",
"계","계","선천성 심장기형 수술","수술인원수[명]","명","6134","6078","5582","6837","7031","10467","7770","8053","6591","","","","","","","","",
"계","계","선천성 심장기형 수술","수술건수[건]","건","6221","6238","5675","6972","7184","10768","7995","8290","6757","","","","","","","","",
"계","계","심장수술(관상동맥 우회수술 제외)","수술인원수[명]","명","","","","","","","","","","6932","7183","7238","7049","7192","9065","9402","9538",
"계","계","심장수술(관상동맥 우회수술 제외)","수술건수[건]","건","","","","","","","","","","7071","7337","7402","7216","7370","9485","9873","10363",
"계","계","순열 및 구개열 수술","수술인원수[명]","명","329","302","267","895","893","950","990","1039","1026","1004","991","953","833","801","769","688","912",
"계","계","순열 및 구개열 수술","수술건수[건]","건","342","308","273","920","938","991","1053","1081","1049","1055","1017","1000","873","844","829","721","945",
"계","계","치핵 수술","수술인원수[명]","명","270984","269580","272241","272290","246986","226409","226790","217112","203420","193064","188862","186222","174015","168779","167522","158237","154304",
"계","계","치핵 수술","수술건수[건]","건","279229","278677","280736","281347","251828","228267","229171","219362","205577","196916","199409","199194","179073","170850","169669","160441","156432",
"계","계","내시경하 척추수술","수술인원수[명]","명","5660","3472","1934","1737","1454","1583","1486","1349","1748","1421","2194","5007","7082","8376","9043","12064","14296",
"계","계","내시경하 척추수술","수술건수[건]","건","5727","3508","1950","1751","1464","1603","1503","1359","1772","1455","2243","5123","7249","8556","9298","12396","14671",
"계","계","일반 척추수술","수술인원수[명]","명","90292","106801","114860","139761","155229","149770","166517","163518","157385","155450","161494","164571","168353","174868","178854","189995","191500",
"계","계","일반 척추수술","수술건수[건]","건","93098","111004","118698","144557","160767","155249","173428","170832","164177","162459","168836","172429","176522","183908","188394","201197","203902",
"계","계","내시경하 부비동 수술","수술인원수[명]","명","","","","44308","50105","53394","62312","61309","60655","57870","59556","59283","64027","62458","31998","32930","33812",
"계","계","내시경하 부비동 수술","수술건수[건]","건","","","","46188","52227","55744","64873","63891","62900","59633","61147","60832","65767","64066","33311","34253","35056",
"계","계","일반 부비동 수술","수술인원수[명]","명","29992","31079","31020","10553","9258","8486","7635","7100","6650","5946","5075","5858","5812","3121","2510","2272","2206",
"계","계","일반 부비동 수술","수술건수[건]","건","32240","33515","33370","11519","10097","9235","8234","7503","6995","6227","5374","6205","6129","3195","2584","2350","2268",
"계","계","줄기세포이식술","수술인원수[명]","명","","","","","","","","","","","","","","","","","2614",
"계","계","줄기세포이식술","수술건수[건]","건","","","","","","","","","","","","","","","","","2689",
"계","건강보험","계","수술인원수[명]","명","1181266","1258823","1274987","1394806","1419788","1386931","1455578","1439767","1449805","1433522","1470628","1488877","1515749","1597917","1533929","1612747","1603638",
"계","건강보험","계","수술건수[건]","건","1305644","1399111","1429051","1580471","1615954","1592488","1643269","1632625","1642528","1652428","1719696","1765851","1792776","1914342","1875004","2012280","1982552",
"계","건강보험","백내장 수술","수술인원수[명]","명","193173","213590","235644","253964","276492","295835","290367","300909","316616","333861","347487","363512","388205","443673","440032","481572","460598",
"계","건강보험","백내장 수술","수술건수[건]","건","254388","284796","318520","345904","380213","411368","404708","420180","445312","474396","499925","530248","571879","667523","682030","759205","714028",
"계","건강보험","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","41551","40786","39322","41137","38730","40307","42049","41846","38803","35525","39293","40298","38643","39468","29902","20326","17493",
"계","건강보험","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","41729","40955","39497","41419","38995","40568","42393","42211","39079","36037","40561","42427","39646","39859","30407","20825","17759",
"계","건강보험","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","3479","3856","4358","5017","5337","5254","5760","6232","6505","6270","6426","6134","6995","7597","7252","8201","8960",
"계","건강보험","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","3544","3932","4454","5149","5449","5372","5903","6411","6669","6423","6598","6270","7183","7833","7553","8683","9483",
"계","건강보험","스텐트삽입술","수술인원수[명]","명","29743","32859","34390","39574","43201","42987","46765","47487","50508","49986","54756","57840","59822","61790","59583","63973","62788",
"계","건강보험","스텐트삽입술","수술건수[건]","건","30647","33856","35392","40673","44363","43946","47990","48619","51699","51267","56228","59477","61430","63656","61971","68223","66844",
"계","건강보험","관상동맥 우회수술","수술인원수[명]","명","2994","3065","2996","3269","3159","2917","3095","2867","3074","3532","3681","3653","3750","3978","3891","4128","4513",
"계","건강보험","관상동맥 우회수술","수술건수[건]","건","2997","3067","2999","3273","3163","2924","3105","2872","3078","3548","3689","3666","3770","4007","3979","4250","4824",
"계","건강보험","심장 카테터 삽입술","수술인원수[명]","명","1841","1865","1959","1996","2134","1865","1887","2075","2097","2001","2185","2261","2021","2286","2507","3112","3263",
"계","건강보험","심장 카테터 삽입술","수술건수[건]","건","1875","1907","2010","2047","2199","1939","2003","2171","2216","2082","2300","2392","2130","2456","2680","3349","3534",
"계","건강보험","정맥류 결찰 및 제거수술","수술인원수[명]","명","16884","22205","3225","19471","24333","22570","24295","24699","24283","20731","20527","18865","18000","19264","17236","18012","18021",
"계","건강보험","정맥류 결찰 및 제거수술","수술건수[건]","건","17371","23012","4672","20160","25080","23276","25172","25578","25210","21565","21290","19503","18509","20021","17770","18609","18763",
"계","건강보험","충수절제술","수술인원수[명]","명","96242","98126","92576","100958","96880","92404","96486","94101","90372","86777","85682","80614","77843","78614","73622","73510","70203",
"계","건강보험","충수절제술","수술건수[건]","건","96305","98186","92686","101107","97021","92570","96656","94249","90465","87641","89856","87907","80047","79012","76094","78686","74401",
"계","건강보험","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","5129","5316","4177","4749","3917","3949","7541","8147","8714","9300","10388","11135","11102","11941","12216","15434","17266",
"계","건강보험","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","5267","5474","4279","4890","4001","4041","7831","8468","9131","9718","10916","11650","11619","12512","12959","16475","19011",
"계","건강보험","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","30068","31890","33130","43228","46743","49389","56268","57673","58152","59880","66053","69430","74242","79664","79749","84094","85714",
"계","건강보험","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","30089","31909","33157","43286","46810","49467","56428","57829","58346","60084","66287","69713","74547","80170","81811","87529","89116",
"계","건강보험","내시경 및 경피적 담도수술","수술인원수[명]","명","14574","15946","17399","20447","22886","23541","25864","27430","28687","30080","32349","34209","37322","38891","39980","50258","51902",
"계","건강보험","내시경 및 경피적 담도수술","수술건수[건]","건","16060","17607","19524","23469","26293","27163","30170","32519","34351","36359","39484","42388","47217","50265","53586","70641","73421",
"계","건강보험","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","32194","32110","31610","32831","34337","32809","33367","33841","33219","33031","33666","33353","33694","33219","29853","31538","32058",
"계","건강보험","서혜 및 대퇴 허니아 수술","수술건수[건]","건","32622","32540","32069","33346","34828","33243","33818","34311","33701","33725","36609","37849","35346","33730","30513","32372","32861",
"계","건강보험","경요도 전립선 절제술","수술인원수[명]","명","4670","4777","5261","6048","6662","6430","9296","9433","9681","9255","10417","10539","10865","11191","10633","11181","11909",
"계","건강보험","경요도 전립선 절제술","수술건수[건]","건","4713","4836","5323","6110","6741","6486","9423","9598","9857","9445","10556","10691","10999","11389","10850","11494","12355",
"계","건강보험","전립선 절제술","수술인원수[명]","명","2188","2581","2639","2902","3137","2884","2518","2501","2265","1929","1903","1973","1962","2075","1667","1348","1181",
"계","건강보험","전립선 절제술","수술건수[건]","건","2189","2586","2641","2916","3161","2884","2522","2502","2268","1932","1903","1976","1966","2089","1693","1382","1245",
"계","건강보험","자궁절제술","수술인원수[명]","명","93469","93704","95622","100958","78493","48426","47812","45235","42558","41122","42049","39915","40362","40361","37909","38713","37995",
"계","건강보험","자궁절제술","수술건수[건]","건","93812","94071","95985","101394","78744","48479","47876","45310","42667","41358","43613","42478","41174","40543","38336","39835","38628",
"계","건강보험","제왕절개수술","수술인원수[명]","명","138677","157609","157502","153153","163324","161654","172721","159057","164226","171268","167763","157606","152956","151782","144927","146025","150051",
"계","건강보험","제왕절개수술","수술건수[건]","건","138807","157704","157624","153239","163474","161746","172906","159200","164332","171439","169081","160498","154052","152041","145465","147223","151363",
"계","건강보험","고관절 치환술","수술인원수[명]","명","5549","6020","6457","6951","7527","7363","8224","8713","21946","22903","23383","23960","24613","25355","25379","26416","27676",
"계","건강보험","고관절 치환술","수술건수[건]","건","5718","6238","6653","7187","7774","7614","8549","9043","22583","23730","24188","24911","25573","26617","27598","29255","31108",
"계","건강보험","슬관절 치환술","수술인원수[명]","명","25626","32038","34751","40458","46144","45072","50098","50226","50562","53901","61240","61582","63398","70285","63459","67742","70506",
"계","건강보험","슬관절 치환술","수술건수[건]","건","26781","33478","36263","42446","48336","46931","52376","52680","53132","56839","64130","64482","66349","73430","67289","72390","76952",
"계","건강보험","유방 부분 절제술","수술인원수[명]","명","9499","10588","11125","5818","18136","18408","19088","19671","19027","18027","18995","24716","32490","35106","34374","38980","40200",
"계","건강보험","유방 부분 절제술","수술건수[건]","건","9527","10623","11176","5911","18648","18805","19561","20188","19499","18507","19680","25462","33632","36369","35794","40785","41980",
"계","건강보험","유방 전 절제술","수술인원수[명]","명","16072","16359","16869","23431","13310","13648","16803","18176","20173","20927","14853","18847","12175","15855","18211","20023","21763",
"계","건강보험","유방 전 절제술","수술건수[건]","건","16489","16808","17283","24021","13409","13750","16932","18315","20313","21077","14957","19040","12220","15935","18333","20194","21964",
"계","건강보험","뇌기저부 수술","수술인원수[명]","명","411","394","304","349","336","341","346","345","340","332","381","330","351","508","481","498","506",
"계","건강보험","뇌기저부 수술","수술건수[건]","건","413","395","307","357","339","343","347","348","342","335","384","331","353","511","496","503","517",
"계","건강보험","뇌종양 수술","수술인원수[명]","명","4003","4360","4176","5137","5331","5335","5675","5758","5938","6105","6561","6751","5052","5368","5406","7715","7691",
"계","건강보험","뇌종양 수술","수술건수[건]","건","4072","4457","4262","5278","5489","5504","5849","5922","6070","6265","6731","6905","5166","5538","5635","8098","8026",
"계","건강보험","위 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","16644","16446","15093","18852","19109","18979","19348","18493","18035","17077","18157","17681","17135","16795","15510","16509","15882",
"계","건강보험","위 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","16661","16469","15252","18890","19149","19023","19407","18544","18089","17137","18223","17792","17211","16936","15796","16929","16366",
"계","건강보험","간 부분 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","3640","3975","4343","5340","5690","5911","6784","6875","6950","7263","7366","6852","7330","7406","7607","7688","7376",
"계","건강보험","간 부분 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","3653","3994","4361","5374","5737","5952","6847","6937","7013","7335","7422","6929","7392","7517","7804","7950","7593",
"계","건강보험","간색전술","수술인원수[명]","명","16475","17383","17806","20239","21049","21224","22581","22672","22900","23494","23892","24837","25224","26373","25824","26458","25952",
"계","건강보험","간색전술","수술건수[건]","건","27033","28537","28444","31221","32128","31255","33693","32731","32918","33686","34059","34359","34205","35316","34475","35020","33804",
"계","건강보험","갑상선 수술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","22281","26905","31196","37469","39539","42935","50005","47540","36055","27383","28300","27761","29797","32547","30701","35490","34220",
"계","건강보험","갑상선 수술(기타 질환에 의한 수술 포함)","수술건수[건]","건","22491","27132","31419","37753","39880","43238","50466","47938","36362","27601","28498","28023","30062","32943","31242","36340","35135",
"계","건강보험","선천성 심장기형 수술","수술인원수[명]","명","5593","5599","5181","6431","6632","9860","7379","7629","6287","","","","","","","","",
"계","건강보험","선천성 심장기형 수술","수술건수[건]","건","5668","5704","5266","6555","6769","10139","7598","7849","6446","","","","","","","","",
"계","건강보험","심장수술(관상동맥 우회수술 제외)","수술인원수[명]","명","","","","","","","","","","6571","6830","6807","6645","6793","8466","8789","8894",
"계","건강보험","심장수술(관상동맥 우회수술 제외)","수술건수[건]","건","","","","","","","","","","6702","6978","6960","6806","6965","8847","9227","9646",
"계","건강보험","순열 및 구개열 수술","수술인원수[명]","명","306","285","246","834","838","913","935","998","987","973","949","920","810","775","741","671","886",
"계","건강보험","순열 및 구개열 수술","수술건수[건]","건","316","288","252","857","878","952","996","1037","1007","1021","973","965","850","815","800","703","918",
"계","건강보험","치핵 수술","수술인원수[명]","명","263629","262320","264845","264699","239873","220712","221097","211740","198557","188353","184139","181710","169864","164901","163577","154481","150810",
"계","건강보험","치핵 수술","수술건수[건]","건","271680","270614","273133","273560","244572","222506","223417","213922","200649","192132","194629","194615","174866","166926","165671","156615","152893",
"계","건강보험","내시경하 척추수술","수술인원수[명]","명","5534","3389","1879","1689","1424","1560","1452","1311","1724","1391","2155","4920","6958","8209","8819","11743","13887",
"계","건강보험","내시경하 척추수술","수술건수[건]","건","5596","3419","1895","1702","1434","1580","1469","1321","1747","1425","2201","5035","7121","8385","9061","12067","14240",
"계","건강보험","일반 척추수술","수술인원수[명]","명","83517","99165","106549","130753","145403","141085","156572","153485","147664","145385","150683","153457","156981","162834","166815","177059","178523",
"계","건강보험","일반 척추수술","수술건수[건]","건","85991","102298","109959","135063","150451","146137","162860","160035","153700","151621","157245","160436","164345","170966","175449","187136","189706",
"계","건강보험","내시경하 부비동 수술","수술인원수[명]","명","","","","42957","48603","51987","60790","59785","59254","56382","58104","57744","62421","60865","31025","31878","32815",
"계","건강보험","내시경하 부비동 수술","수술건수[건]","건","","","","44803","50680","54296","63288","62290","61437","58105","59649","59245","64105","62423","32290","33150","34033",
"계","건강보험","일반 부비동 수술","수술인원수[명]","명","28956","29950","30009","10169","8929","8255","7378","6907","6436","5752","4909","5629","5567","3005","2421","2188","2121",
"계","건강보험","일반 부비동 수술","수술건수[건]","건","31140","32219","32294","11111","9746","8991","7953","7291","6765","6011","5199","5957","5849","3075","2489","2261","2180",
"계","건강보험","줄기세포이식술","수술인원수[명]","명","","","","","","","","","","","","","","","","","2502",
"계","건강보험","줄기세포이식술","수술건수[건]","건","","","","","","","","","","","","","","","","","2574",
"계","의료급여","계","수술인원수[명]","명","56645","59602","61198","63983","61974","54737","57541","56995","58140","58415","62556","63336","65169","68186","65064","69297","68910",
"계","의료급여","계","수술건수[건]","건","66144","75797","71334","75397","72562","64304","66437","66660","67742","68962","73839","75138","77609","81919","78661","85214","85163",
"계","의료급여","백내장 수술","수술인원수[명]","명","14197","14580","14681","14650","13401","12311","11857","11671","12002","12385","13283","13598","14225","15440","14077","15064","14878",
"계","의료급여","백내장 수술","수술건수[건]","건","18532","21011","19812","19970","18125","16790","16197","16150","16762","17530","18738","19223","20312","22396","20591","22015","21665",
"계","의료급여","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","1752","1744","1810","1557","1311","1123","1125","1033","842","750","839","839","793","745","577","429","296",
"계","의료급여","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","1758","1823","1813","1568","1323","1134","1134","1044","856","760","840","858","805","757","589","443","307",
"계","의료급여","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","337","400","462","499","513","510","563","621","631","608","642","647","760","840","743","904","981",
"계","의료급여","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","348","441","471","511","528","526","579","654","655","625","666","665","784","877","785","975","1050",
"계","의료급여","스텐트삽입술","수술인원수[명]","명","2195","2593","2798","3056","3285","3090","3440","3509","3533","3556","4255","4475","4819","4957","4827","5103","4975",
"계","의료급여","스텐트삽입술","수술건수[건]","건","2270","2927","2895","3161","3352","3166","3549","3629","3630","3668","4402","4625","4991","5189","5105","5575","5377",
"계","의료급여","관상동맥 우회수술","수술인원수[명]","명","228","248","247","214","223","215","201","200","221","254","266","287","287","298","320","368","381",
"계","의료급여","관상동맥 우회수술","수술건수[건]","건","229","269","248","216","223","217","203","202","224","257","268","290","290","298","328","375","410",
"계","의료급여","심장 카테터 삽입술","수술인원수[명]","명","236","218","151","127","148","135","127","140","113","121","143","156","168","170","211","238","263",
"계","의료급여","심장 카테터 삽입술","수술건수[건]","건","245","248","152","131","154","139","131","146","114","130","151","164","182","186","223","262","283",
"계","의료급여","정맥류 결찰 및 제거수술","수술인원수[명]","명","413","480","91","443","475","447","498","534","460","424","450","485","489","578","521","597","599",
"계","의료급여","정맥류 결찰 및 제거수술","수술건수[건]","건","422","537","95","460","484","457","519","567","485","448","463","501","506","606","540","624","630",
"계","의료급여","충수절제술","수술인원수[명]","명","4374","4578","4732","4657","4100","3553","3493","3343","3023","2844","2962","2603","2464","2513","2369","2314","2122",
"계","의료급여","충수절제술","수술건수[건]","건","4383","4968","4737","4673","4106","3556","3498","3351","3030","2857","2993","2629","2498","2553","2485","2519","2300",
"계","의료급여","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","525","546","453","492","330","388","681","706","759","767","886","913","962","1015","1021","1329","1510",
"계","의료급여","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","548","628","471","506","337","394","717","740","790","814","922","978","1010","1068","1086","1436","1723",
"계","의료급여","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","1767","1920","2131","2570","2746","2587","2779","2921","3083","3129","3426","3544","3893","4276","4301","4582","4479",
"계","의료급여","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","1767","2128","2131","2582","2751","2591","2793","2956","3108","3165","3462","3574","3942","4330","4463","4880","4805",
"계","의료급여","내시경 및 경피적 담도수술","수술인원수[명]","명","1246","1490","1602","1914","2155","1897","2150","2213","2411","2452","2740","2886","3142","3326","3432","4595","4689",
"계","의료급여","내시경 및 경피적 담도수술","수술건수[건]","건","1393","1814","1797","2217","2496","2221","2499","2610","2849","2928","3351","3561","3929","4233","4505","6326","6495",
"계","의료급여","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","1655","1660","1605","1606","1261","1167","1195","1238","1224","1223","1254","1231","1207","1254","1185","1298","1319",
"계","의료급여","서혜 및 대퇴 허니아 수술","수술건수[건]","건","1676","1834","1638","1650","1286","1172","1221","1259","1253","1251","1274","1257","1229","1287","1230","1343","1378",
"계","의료급여","경요도 전립선 절제술","수술인원수[명]","명","417","374","387","479","498","308","445","463","483","467","596","611","654","790","693","717","783",
"계","의료급여","경요도 전립선 절제술","수술건수[건]","건","423","416","391","500","512","313","452","477","497","488","604","629","664","807","713","750","842",
"계","의료급여","전립선 절제술","수술인원수[명]","명","104","98","75","99","88","105","93","105","101","112","93","125","117","136","159","159","127",
"계","의료급여","전립선 절제술","수술건수[건]","건","104","106","76","99","88","105","94","105","102","112","93","126","118","138","160","163","135",
