"의료기관시도별","환자거주지역별","수술종류별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"계","계","서혜 및 대퇴 허니아 수술","수술건수[건]","건","35039","35570","34954","34976","37883","39106","36575","35017","31743","33715","34239",
"계","계","서혜 및 대퇴 허니아 수술","입원일수[일]","일","153811","143494","131642","130669","132088","133747","128087","124730","111893","117484","115503",
"계","계","서혜 및 대퇴 허니아 수술","진료비[천원]","천원","45425914","48963795","53283662","58229342","63100810","66217721","72685422","80409824","80984481","89502523","90873847",
"계","계","경요도 전립선 절제술","수술인원수[명]","명","9741","9896","10164","9722","11013","11150","11519","11980","11326","11897","12692",
"계","계","경요도 전립선 절제술","수술건수[건]","건","9875","10075","10354","9933","11160","11320","11663","12196","11563","12244","13197",
"계","계","경요도 전립선 절제술","입원일수[일]","일","58796","62723","64096","62527","71455","71694","71979","75776","68845","69372","70462",
"계","계","경요도 전립선 절제술","진료비[천원]","천원","15001015","16129767","18026817","19953602","23849564","25955961","30155247","36691483","38907862","41232762","44380462",
"계","계","전립선 절제술","수술인원수[명]","명","2611","2606","2366","2041","1996","2098","2079","2211","1826","1507","1308",
"계","계","전립선 절제술","수술건수[건]","건","2616","2607","2370","2044","1996","2102","2084","2227","1853","1545","1380",
"계","계","전립선 절제술","입원일수[일]","일","31331","31046","28596","24105","23483","24663","24472","25590","21099","16952","14315",
"계","계","전립선 절제술","진료비[천원]","천원","10378875","10451950","10411124","9737695","9945897","11239296","12861028","15208379","14380375","12167215","10051053",
"계","계","자궁절제술","수술인원수[명]","명","49382","46725","43976","42445","43447","41156","41707","41702","39236","40075","39228",
"계","계","자궁절제술","수술건수[건]","건","49450","46806","44087","42685","45015","43725","42526","41895","39686","41237","39891",
"계","계","자궁절제술","입원일수[일]","일","411986","374013","335084","323784","330191","310308","304284","291861","272244","271142","261009",
"계","계","자궁절제술","진료비[천원]","천원","126800218","132686648","137122702","145508048","156107937","152434155","176218121","185874332","202662321","209854181","209131156",
"계","계","제왕절개수술","수술인원수[명]","명","174258","160380","165497","172578","168893","158762","154117","152792","145878","146833","150820",
"계","계","제왕절개수술","수술건수[건]","건","174449","160530","165608","172753","170215","161667","155227","153055","146427","148050","152144",
"계","계","제왕절개수술","입원일수[일]","일","1194523","1063984","1070655","1108171","1083601","1026545","981443","961839","913676","914000","926413",
"계","계","제왕절개수술","진료비[천원]","천원","247728869","259693736","281071118","307658217","317905535","318489763","329128385","346846763","341676356","357125548","379714999",
"계","계","고관절 치환술","수술인원수[명]","명","9229","9749","25227","26194","26853","27510","28188","28995","28840","30107","31406",
"계","계","고관절 치환술","수술건수[건]","건","9618","10159","26036","27235","27867","28690","29317","30436","31301","33282","35235",
"계","계","고관절 치환술","입원일수[일]","일","184967","191521","560441","568887","567755","561788","587018","598162","581436","599497","604363",
"계","계","고관절 치환술","진료비[천원]","천원","70942298","74119490","178327099","193208926","206188972","219891063","244336522","275812899","291581531","311831524","321719906",
"계","계","슬관절 치환술","수술인원수[명]","명","54618","54598","54780","58393","66484","66435","68445","75827","68233","72626","75626",
"계","계","슬관절 치환술","수술건수[건]","건","57230","57488","57738","61734","69755","69770","71769","79342","72382","77614","82544",
"계","계","슬관절 치환술","입원일수[일]","일","1253409","1264850","1252564","1317523","1468927","1466925","1519303","1672675","1476693","1555478","1603076",
"계","계","슬관절 치환술","진료비[천원]","천원","418555165","416641411","403257359","437829671","524609752","552145806","605773535","720059562","672296027","729861122","770331171",
"계","계","유방 부분 절제술","수술인원수[명]","명","19597","20215","19535","18531","19519","25382","33321","35951","35263","40027","41200",
"계","계","유방 부분 절제술","수술건수[건]","건","20082","20753","20030","19033","20218","26158","34493","37254","36737","41881","43044",
"계","계","유방 부분 절제술","입원일수[일]","일","88780","88869","81779","80671","81177","116814","171139","174778","165996","181237","180203",
"계","계","유방 부분 절제술","진료비[천원]","천원","24633118","25856113","25760767","27542091","29316233","55582910","105308332","121132380","128761151","154706469","163762527",
"계","계","유방 전 절제술","수술인원수[명]","명","17408","18830","20863","21657","15369","19544","12649","16375","18730","20591","22309",
"계","계","유방 전 절제술","수술건수[건]","건","17544","18981","21013","21812","15480","19743","12699","16465","18866","20791","22538",
"계","계","유방 전 절제술","입원일수[일]","일","170586","175713","180447","182963","134868","166686","112756","120694","113438","120595","119974",
"계","계","유방 전 절제술","진료비[천원]","천원","54588361","58913972","68840224","77626705","56021200","79926543","60582996","73511219","77189357","89361510","93302012",
"계","계","뇌기저부 수술","수술인원수[명]","명","361","359","353","354","390","343","363","517","497","515","515",
"계","계","뇌기저부 수술","수술건수[건]","건","362","362","357","357","393","345","365","520","513","520","526",
"계","계","뇌기저부 수술","입원일수[일]","일","7166","7206","7387","7291","7999","6392","7159","8846","9046","8841","7963",
"계","계","뇌기저부 수술","진료비[천원]","천원","3715021","4035354","4278717","4867802","5796633","5090048","6253127","9075818","10053854","10582625","10211297",
"계","계","뇌종양 수술","수술인원수[명]","명","5950","6031","6196","6402","6863","7043","5328","5638","5664","8066","8072",
"계","계","뇌종양 수술","수술건수[건]","건","6139","6205","6345","6584","7045","7208","5450","5816","5905","8465","8425",
"계","계","뇌종양 수술","입원일수[일]","일","109766","108793","109819","109947","117809","117039","98995","104114","101690","125622","121087",
"계","계","뇌종양 수술","진료비[천원]","천원","55029508","55807595","61551032","72308823","81799654","87606575","83205123","97056206","102930562","135840176","136541430",
"계","계","위 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","20287","19381","18965","17878","19037","18565","18036","17749","16365","17388","16810",
"계","계","위 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","20360","19448","19032","17954","19117","18697","18130","17913","16685","17848","17363",
"계","계","위 절제술(기타 질환에 의한 수술 포함)","입원일수[일]","일","277343","260299","248792","232247","238684","227393","223918","222545","202693","210116","197065",
"계","계","위 절제술(기타 질환에 의한 수술 포함)","진료비[천원]","천원","121744318","118337671","126633577","136535168","153138919","161413989","174351773","188440072","187938134","202890548","201526484",
"계","계","간 부분 절제술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","7138","7218","7325","7641","7752","7229","7779","7834","8117","8180","7879",
"계","계","간 부분 절제술(기타 질환에 의한 수술 포함)","수술건수[건]","건","7205","7288","7392","7715","7815","7317","7846","7954","8330","8474","8117",
"계","계","간 부분 절제술(기타 질환에 의한 수술 포함)","입원일수[일]","일","129676","127236","123098","125220","124589","111131","120317","119543","121895","119616","114101",
"계","계","간 부분 절제술(기타 질환에 의한 수술 포함)","진료비[천원]","천원","61673570","62546635","66883191","77797813","82649212","81146561","96699450","108671414","119013508","122615677","122672734",
"계","계","간색전술","수술인원수[명]","명","24426","24598","24814","25494","26076","27138","27656","28814","28324","29022","28471",
"계","계","간색전술","수술건수[건]","건","36425","35683","35789","36707","37310","37712","37671","38802","37987","38615","37223",
"계","계","간색전술","입원일수[일]","일","309005","301049","294989","299736","307579","309065","316148","327438","321563","327199","304190",
"계","계","간색전술","진료비[천원]","천원","175693279","176073795","186102403","208712958","231857563","250250827","285202477","326597047","342650276","360995709","358394642",
"계","계","갑상선 수술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","51044","48539","36843","27983","28994","28433","30550","33341","31371","36276","35027",
"계","계","갑상선 수술(기타 질환에 의한 수술 포함)","수술건수[건]","건","51513","48948","37162","28214","29201","28699","30828","33754","31931","37150","35976",
"계","계","갑상선 수술(기타 질환에 의한 수술 포함)","입원일수[일]","일","335471","312870","231736","174306","174674","169126","176620","187429","174393","196773","183791",
"계","계","갑상선 수술(기타 질환에 의한 수술 포함)","진료비[천원]","천원","103303898","99984345","81554421","72231787","74798515","77346793","93961226","110699305","111673354","131172764","132328675",
"계","계","선천성 심장기형 수술","수술인원수[명]","명","7770","8053","6591","","","","","","","","",
"계","계","선천성 심장기형 수술","수술건수[건]","건","7995","8290","6757","","","","","","","","",
"계","계","선천성 심장기형 수술","입원일수[일]","일","133288","133249","114814","","","","","","","","",
"계","계","선천성 심장기형 수술","진료비[천원]","천원","150024727","162282439","152632344","","","","","","","","",
"계","계","심장수술(관상동맥우회수술 제외)","수술인원수[명]","명","","","","6932","7183","7238","7049","7192","9065","9402","9538",
"계","계","심장수술(관상동맥우회수술 제외)","수술건수[건]","건","","","","7071","7337","7402","7216","7370","9485","9873","10363",
"계","계","심장수술(관상동맥우회수술 제외)","입원일수[일]","일","","","","114092","118883","118908","120867","126767","155030","159584","158722",
"계","계","심장수술(관상동맥우회수술 제외)","진료비[천원]","천원","","","","177612737","197704236","209646020","231951643","260843696","312067542","339273145","362412465",
"계","계","순열 및 구개열 수술","수술인원수[명]","명","990","1039","1026","1004","991","953","833","801","769","688","912",
"계","계","순열 및 구개열 수술","수술건수[건]","건","1053","1081","1049","1055","1017","1000","873","844","829","721","945",
"계","계","순열 및 구개열 수술","입원일수[일]","일","6663","6322","6068","5873","5839","5674","4521","4696","4262","3489","4184",
"계","계","순열 및 구개열 수술","진료비[천원]","천원","1378054","1376575","1489765","1827563","2052614","2166973","2210120","2979714","2961971","2999755","3417408",
"계","계","치핵 수술","수술인원수[명]","명","226790","217112","203420","193064","188862","186222","174015","168779","167522","158237","154304",
"계","계","치핵 수술","수술건수[건]","건","229171","219362","205577","196916","199409","199194","179073","170850","169669","160441","156432",
"계","계","치핵 수술","입원일수[일]","일","750974","681081","611890","570330","560379","551389","484710","452400","438646","399180","373633",
"계","계","치핵 수술","진료비[천원]","천원","194555866","190821061","183766936","181485875","181159736","183910831","182533858","191425615","195505122","186408897","184064625",
"계","계","내시경하 척추수술","수술인원수[명]","명","1486","1349","1748","1421","2194","5007","7082","8376","9043","12064","14296",
"계","계","내시경하 척추수술","수술건수[건]","건","1503","1359","1772","1455","2243","5123","7249","8556","9298","12396","14671",
"계","계","내시경하 척추수술","입원일수[일]","일","10057","9379","10935","9257","14923","35093","51023","57580","64942","91604","104441",
"계","계","내시경하 척추수술","진료비[천원]","천원","2237790","1937563","2442460","2117893","3250737","7484812","11000450","14179806","17550078","25427793","32394157",
"계","계","일반 척추수술","수술인원수[명]","명","166517","163518","157385","155450","161494","164571","168353","174868","178854","189995","191500",
"계","계","일반 척추수술","수술건수[건]","건","173428","170832","164177","162459","168836","172429","176522","183908","188394","201197","203902",
"계","계","일반 척추수술","입원일수[일]","일","2385339","2369071","2267181","2231395","2310025","2300516","2356268","2428173","2374679","2468399","2363945",
"계","계","일반 척추수술","진료비[천원]","천원","497560012","500033291","496511393","523448802","580726691","607372998","676860037","800155610","918153777","987697049","973835672",
"계","계","내시경하 부비동 수술","수술인원수[명]","명","62312","61309","60655","57870","59556","59283","64027","62458","31998","32930","33812",
"계","계","내시경하 부비동 수술","수술건수[건]","건","64873","63891","62900","59633","61147","60832","65767","64066","33311","34253","35056",
"계","계","내시경하 부비동 수술","입원일수[일]","일","210158","208970","203730","190727","192361","192158","203977","196383","109166","111859","111884",
"계","계","내시경하 부비동 수술","진료비[천원]","천원","63179398","63478549","65448448","66988477","71315676","76115656","92603097","101604354","70736501","75441306","81775734",
"계","계","일반 부비동 수술","수술인원수[명]","명","7635","7100","6650","5946","5075","5858","5812","3121","2510","2272","2206",
"계","계","일반 부비동 수술","수술건수[건]","건","8234","7503","6995","6227","5374","6205","6129","3195","2584","2350","2268",
"계","계","일반 부비동 수술","입원일수[일]","일","37114","33610","33254","32545","28858","33088","35833","14247","11703","10862","10523",
"계","계","일반 부비동 수술","진료비[천원]","천원","10532339","9518934","9395871","10712551","9713509","11578536","13810007","7897465","7258123","7353110","7253743",
"계","계","줄기세포이식술","수술인원수[명]","명","","","","","","","","","","","2614",
"계","계","줄기세포이식술","수술건수[건]","건","","","","","","","","","","","2689",
"계","계","줄기세포이식술","입원일수[일]","일","","","","","","","","","","","79150",
"계","계","줄기세포이식술","진료비[천원]","천원","","","","","","","","","","","91919858",
"서울","계","계","수술인원수[명]","명","404084","395522","392741","386355","403793","414506","431569","469611","458887","497425","489284",
"서울","계","계","수술건수[건]","건","451477","442778","442712","442830","476531","501325","517267","571350","580905","643827","618133",
"서울","계","계","입원일수[일]","일","2884323","2748127","2708398","2645797","2789886","2808243","2810873","2955416","2806653","3014954","3004352",
"서울","계","계","진료비[천원]","천원","1234017819","1241052936","1304627883","1405883545","1566271441","1680597726","1885837798","2180434696","2282198475","2554933510","2683109719",
"서울","계","백내장 수술","수술인원수[명]","명","68689","71110","75095","80451","87329","95652","110186","133192","144125","165292","149997",
"서울","계","백내장 수술","수술건수[건]","건","92052","94982","101472","111018","122281","138268","164129","205750","232970","272984","239266",
"서울","계","백내장 수술","입원일수[일]","일","128930","128467","131683","138362","148617","163577","190583","232947","259610","300076","263756",
"서울","계","백내장 수술","진료비[천원]","천원","87930821","87477415","99073542","112613637","126046778","142338742","176128084","220052907","267102496","318461946","291758233",
"서울","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술인원수[명]","명","11578","11340","10826","9976","11141","11154","10655","10715","8069","5799","4932",
"서울","계","편도절제술(아데노이드 적출술 유무에 상관없이)","수술건수[건]","건","11615","11409","10863","10195","11877","12070","11008","10773","8195","5845","4963",
"서울","계","편도절제술(아데노이드 적출술 유무에 상관없이)","입원일수[일]","일","38217","35179","30799","28465","32867","32491","29926","29043","22220","15923","13470",
"서울","계","편도절제술(아데노이드 적출술 유무에 상관없이)","진료비[천원]","천원","9715081","10019341","10336095","10491436","12260489","12609844","13312522","14592945","12779478","9370805","8025438",
"서울","계","경피적 관상동맥확장술 및 절제술","수술인원수[명]","명","1618","1702","1826","1767","1713","1553","1850","1992","1807","2094","2460",
"서울","계","경피적 관상동맥확장술 및 절제술","수술건수[건]","건","1651","1760","1863","1814","1757","1578","1903","2049","1902","2255","2595",
"서울","계","경피적 관상동맥확장술 및 절제술","입원일수[일]","일","10107","10184","11110","10580","10542","8960","11809","12348","11440","13092","14665",
"서울","계","경피적 관상동맥확장술 및 절제술","진료비[천원]","천원","10338264","10817070","11627548","12302441","13595644","13023246","18458264","20656086","19967771","23713008","28570308",
"서울","계","스텐트삽입술","수술인원수[명]","명","11967","12412","13091","12861","14379","14698","14758","15073","14323","15539","15417",
"서울","계","스텐트삽입술","수술건수[건]","건","12316","12706","13368","13196","14735","15063","15152","15573","14953","16669","16397",
"서울","계","스텐트삽입술","입원일수[일]","일","67594","68533","71006","68762","76603","77064","77911","79780","73853","79000","77038",
"서울","계","스텐트삽입술","진료비[천원]","천원","92790858","97204435","101094853","105983797","126717578","142132491","153843411","165626241","164118145","180995050","184899819",
"서울","계","관상동맥 우회수술","수술인원수[명]","명","1898","1723","1811","1986","1987","1980","2058","2149","1918","1809","2082",
"서울","계","관상동맥 우회수술","수술건수[건]","건","1904","1726","1816","1996","1992","1989","2072","2164","1947","1860","2138",
"서울","계","관상동맥 우회수술","입원일수[일]","일","29674","25088","26725","29644","28711","27983","30303","32663","28933","27390","30564",
"서울","계","관상동맥 우회수술","진료비[천원]","천원","40097315","36817294","40684748","50780990","53556304","55550366","63482126","70464403","65688141","65143866","74962434",
"서울","계","심장 카테터 삽입술","수술인원수[명]","명","1045","1135","1098","1119","1193","1304","1289","1423","1711","2097","2251",
"서울","계","심장 카테터 삽입술","수술건수[건]","건","1117","1191","1163","1159","1266","1386","1354","1505","1821","2244","2393",
"서울","계","심장 카테터 삽입술","입원일수[일]","일","11351","11446","11273","10455","12570","13332","14230","16096","18376","21016","23048",
"서울","계","심장 카테터 삽입술","진료비[천원]","천원","8038659","8740826","8844050","8891866","10429022","12279577","16033693","23259713","26733123","30915436","41284200",
"서울","계","정맥류 결찰 및 제거수술","수술인원수[명]","명","6494","6828","6842","5983","5853","4800","4379","4599","3912","4500","5188",
"서울","계","정맥류 결찰 및 제거수술","수술건수[건]","건","6720","7076","7158","6260","6133","4958","4488","4827","4020","4650","5457",
"서울","계","정맥류 결찰 및 제거수술","입원일수[일]","일","13044","13772","13937","11822","11609","10224","9230","9355","7329","8317","9322",
"서울","계","정맥류 결찰 및 제거수술","진료비[천원]","천원","6164670","6713618","6961256","6196844","6328628","5627636","5405132","6018826","5144537","5993279","7027819",
"서울","계","충수절제술","수술인원수[명]","명","19126","18842","17652","16805","16713","15466","15143","15981","14566","14587","13841",
"서울","계","충수절제술","수술건수[건]","건","19180","18864","17668","17022","17714","17533","15669","16079","15722","15887","15005",
"서울","계","충수절제술","입원일수[일]","일","107917","98924","88572","85306","86555","84552","76785","78104","71887","71255","67558",
"서울","계","충수절제술","진료비[천원]","천원","43315874","46619053","46770285","46371114","47977746","46613354","49753876","56091704","52574827","53838403","53536582",
"서울","계","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","3178","3366","3519","3851","4511","4923","4762","5189","5262","6678","7606",
"서울","계","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","3309","3526","3686","4015","4757","5124","4980","5433","5588","7093","8312",
"서울","계","심박조율장치의 삽입,교체,제거 및 교정","입원일수[일]","일","39362","40368","42077","48123","54448","54874","55033","61346","61098","69966","81310",
"서울","계","심박조율장치의 삽입,교체,제거 및 교정","진료비[천원]","천원","44246493","48269696","53726461","67756577","81806002","88000283","93600641","108505367","114829406","146423772","188959862",
"서울","계","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","17423","17200","17577","17258","19058","19609","20430","21682","21260","21594","22117",
"서울","계","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","17451","17257","17634","17324","19149","19682","20553","21868","22320","22941","23253",
"서울","계","담낭절제술(복강경적 담낭절제술 포함)","입원일수[일]","일","141820","132529","131050","128264","136573","132254","134518","141383","133186","132175","131412",
"서울","계","담낭절제술(복강경적 담낭절제술 포함)","진료비[천원]","천원","64560800","62760521","67549275","74261599","83937794","87771946","99532890","112082053","114463710","116423295","121565050",
"서울","계","내시경 및 경피적 담도수술","수술인원수[명]","명","9190","9698","10122","10632","11317","11961","13424","13716","13854","17173","17588",
"서울","계","내시경 및 경피적 담도수술","수술건수[건]","건","10915","11850","12565","13454","14563","15560","17801","18632","19775","25957","26328",
"서울","계","내시경 및 경피적 담도수술","입원일수[일]","일","125342","131472","136276","139420","150742","151633","175509","175683","180357","256590","250685",
"서울","계","내시경 및 경피적 담도수술","진료비[천원]","천원","52199775","55718266","60093707","66756235","75615160","85754858","108861552","122628272","135782997","196906062","201366493",
"서울","계","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","10055","10579","10758","10778","11780","11358","11434","11541","10386","10889","11306",
"서울","계","서혜 및 대퇴 허니아 수술","수술건수[건]","건","10190","10705","10884","11023","13732","14202","12360","11696","10633","11124","11532",
"서울","계","서혜 및 대퇴 허니아 수술","입원일수[일]","일","37938","35117","34663","33609","37187","36721","34000","33693","28903","31206","32457",
"서울","계","서혜 및 대퇴 허니아 수술","진료비[천원]","천원","13997755","16339680","18918806","20050274","23335225","22907244","24930776","27979858","27347993","30747848","31088788",
"서울","계","경요도 전립선 절제술","수술인원수[명]","명","3870","3554","3470","3221","3736","3712","3719","4161","4078","4340","4553",
"서울","계","경요도 전립선 절제술","수술건수[건]","건","3929","3623","3538","3273","3792","3757","3754","4230","4177","4474","4699",
"서울","계","경요도 전립선 절제술","입원일수[일]","일","19776","19627","18878","18136","20418","20840","20638","22502","20736","20126","20362",
"서울","계","경요도 전립선 절제술","진료비[천원]","천원","5837514","5673017","5973864","6569643","7880068","8593742","10049566","12674049","13762471","14588951","15326078",
"서울","계","전립선 절제술","수술인원수[명]","명","1086","1104","1061","941","909","896","852","886","647","496","392",
"서울","계","전립선 절제술","수술건수[건]","건","1086","1104","1063","941","909","897","855","894","654","511","417",
"서울","계","전립선 절제술","입원일수[일]","일","12040","12177","11498","10176","9806","9447","9024","9399","6719","5185","4126",
"서울","계","전립선 절제술","진료비[천원]","천원","4218395","4192985","4328471","4297878","4334049","4558746","5201691","5989945","4993452","4025660","3113407",
"서울","계","자궁절제술","수술인원수[명]","명","15585","14805","13525","12989","13884","12710","12937","12752","11555","11440","11004",
"서울","계","자궁절제술","수술건수[건]","건","15598","14819","13571","13085","14754","14091","13337","12820","11751","11647","11267",
"서울","계","자궁절제술","입원일수[일]","일","124905","114754","101331","97769","104552","97016","94469","87785","79344","77342","73441",
"서울","계","자궁절제술","진료비[천원]","천원","43840615","45602662","46291053","49281188","55286856","52236321","61648359","63780446","67534998","67842561","66235167",
"서울","계","제왕절개수술","수술인원수[명]","명","33917","31579","32567","33688","33452","32075","30646","31689","30420","30959","32055",
"서울","계","제왕절개수술","수술건수[건]","건","33942","31598","32586","33783","34542","34707","31505","31822","30709","31211","32671",
"서울","계","제왕절개수술","입원일수[일]","일","225093","199869","198108","202293","204894","202289","182188","182522","174883","174414","179181",
"서울","계","제왕절개수술","진료비[천원]","천원","50212573","52467483","57471516","62870628","66422427","68584743","70633721","77084157","77034408","79504456","86758267",
"서울","계","고관절 치환술","수술인원수[명]","명","3408","3391","6685","7018","7217","7400","7630","8233","8053","8488","8772",
"서울","계","고관절 치환술","수술건수[건]","건","3552","3508","6877","7290","7527","7795","7988","8777","8929","9598","10074",
