"월별","수술종류별","항목","단위","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"합계","충수절제술","수술인원수[명]","명","100616","102704","97308","105614","100980","95957","99979","","","89620","88643","83216","80304","81127","75990","75824","72325",
"합계","충수절제술","수술건수[건]","건","100688","103154","97423","105780","101127","96126","100154","","","90498","92849","90536","82545","81565","78579","81205","76701",
"합계","충수절제술","입원일수[일]","일","658561","667126","626539","685267","648165","607590","619827","","","484382","488333","469347","430235","421157","397031","398674","374902",
"합계","충수절제술","요양급여일수[일]","일","1014942","1030777","979423","1081676","1040602","991428","1016103","","","787886","800436","770866","723661","723715","689165","705309","678205",
"합계","충수절제술","진료비[천원]","천원","121078194","137731426","138701421","178289973","191194479","191806694","211520801","","","232434365","239372385","233624095","246760732","266567031","260996823","268963465","265145232",
"합계","충수절제술","급여비[천원]","천원","96989760","109905511","109289735","140890945","151223094","151901036","167590360","","","188497845","194618880","191074299","204950104","221051275","215037123","221387972","218229635",
"합계","심박조율장치의 삽입,교체,제거 및 교정","수술인원수[명]","명","5654","5862","4629","5239","4246","4337","8221","","","10063","11267","12048","12062","12954","13237","16761","18773",
"합계","심박조율장치의 삽입,교체,제거 및 교정","수술건수[건]","건","5815","6102","4750","5396","4338","4435","8548","","","10532","11838","12628","12629","13580","14045","17911","20734",
"합계","심박조율장치의 삽입,교체,제거 및 교정","입원일수[일]","일","81956","84941","68914","71408","44107","45907","92056","","","113274","123120","127219","132195","142906","146039","177315","197795",
"합계","심박조율장치의 삽입,교체,제거 및 교정","요양급여일수[일]","일","135876","140472","111702","117701","81110","85809","166803","","","204860","228350","238151","249476","275776","284744","357195","407191",
"합계","심박조율장치의 삽입,교체,제거 및 교정","진료비[천원]","천원","60159378","65717902","52881374","62839331","36357469","38956404","90133072","","","135887985","161025885","177944924","194431911","221388536","241648319","322643052","403268215",
"합계","심박조율장치의 삽입,교체,제거 및 교정","급여비[천원]","천원","54692927","59637820","47622586","56807448","34214800","36713373","85028981","","","128707946","152559582","168641344","183869155","208817819","228195148","304599881","380881097",
"합계","담낭절제술(복강경적 담낭절제술 포함)","수술인원수[명]","명","31835","33810","35260","45798","49489","51976","59046","","","63009","69479","72974","78134","83940","84048","88675","90193",
"합계","담낭절제술(복강경적 담낭절제술 포함)","수술건수[건]","건","31856","34037","35288","45868","49561","52058","59221","","","63249","69749","73287","78489","84500","86274","92409","93921",
"합계","담낭절제술(복강경적 담낭절제술 포함)","입원일수[일]","일","326324","329811","330994","439966","462621","461839","512081","","","506735","538349","538624","564416","596537","589094","607620","597018",
"합계","담낭절제술(복강경적 담낭절제술 포함)","요양급여일수[일]","일","570500","611879","641909","864778","926649","945350","1039080","","","1081034","1209758","1268375","1301328","1403666","1384936","1513258","1533738",
"합계","담낭절제술(복강경적 담낭절제술 포함)","진료비[천원]","천원","84454180","99382259","103442735","157468655","175262705","183084661","206544204","","","256160174","289521205","310790334","362765742","413971831","438819811","469121116","484863291",
"합계","담낭절제술(복강경적 담낭절제술 포함)","급여비[천원]","천원","68002649","80126715","82899851","128474525","144593572","151482154","170893119","","","212300384","239404340","256424919","298055529","339235517","359598877","383027195","396776239",
"합계","내시경 및 경피적 담도수술","수술인원수[명]","명","15820","17436","18978","22331","25025","25417","27995","","","32497","35047","37056","40414","42171","43351","54784","56531",
"합계","내시경 및 경피적 담도수술","수술건수[건]","건","17453","19421","21321","25686","28789","29384","32669","","","39287","42835","45949","51146","54498","58091","76967","79916",
"합계","내시경 및 경피적 담도수술","입원일수[일]","일","248015","256264","271950","306700","339348","329332","358489","","","396469","429479","441075","498184","507877","523383","764891","756425",
"합계","내시경 및 경피적 담도수술","요양급여일수[일]","일","440831","469194","523068","601393","665777","652491","709154","","","827297","904857","946363","1071540","1135249","1221295","1647441","1701224",
"합계","내시경 및 경피적 담도수술","진료비[천원]","천원","66242657","76500453","84298593","102934037","121723292","124072382","137852142","","","175662222","202016587","233044383","288497084","331688260","371685230","547765072","564359241",
"합계","내시경 및 경피적 담도수술","급여비[천원]","천원","55061629","63646667","69839222","85696419","103620086","105754653","117444529","","","150643770","173510548","200283570","246878212","282754163","317059693","473302759","487133461",
"합계","서혜 및 대퇴 허니아 수술","수술인원수[명]","명","33849","33770","33213","34433","35595","33974","34562","","","34253","34918","34583","34900","34470","31038","32833","33373",
"합계","서혜 및 대퇴 허니아 수술","수술건수[건]","건","34298","34374","33707","34996","36114","34415","35039","","","34976","37883","39106","36575","35017","31743","33715","34239",
"합계","서혜 및 대퇴 허니아 수술","입원일수[일]","일","173337","174448","167939","178274","164864","153546","153811","","","130669","132088","133747","128087","124730","111893","117484","115503",
"합계","서혜 및 대퇴 허니아 수술","요양급여일수[일]","일","311277","315182","310217","330227","318358","297278","298336","","","257940","267404","269889","265217","261327","240430","256689","261788",
"합계","서혜 및 대퇴 허니아 수술","진료비[천원]","천원","32541179","35451686","36048746","43761336","43720243","42508763","45425914","","","58229342","63100810","66217721","72685422","80409824","80984481","89502523","90873847",
"합계","서혜 및 대퇴 허니아 수술","급여비[천원]","천원","27908012","30176798","29826218","36445599","36320688","35258693","37854519","","","49338794","53555193","56464714","62164346","69062101","68577542","76018184","76791922",
"합계","경요도 전립선 절제술","수술인원수[명]","명","5087","5151","5648","6527","7159","6738","9741","","","9722","11013","11150","11519","11980","11326","11897","12692",
"합계","경요도 전립선 절제술","수술건수[건]","건","5136","5252","5714","6610","7253","6799","9875","","","9933","11160","11320","11663","12196","11563","12244","13197",
"합계","경요도 전립선 절제술","입원일수[일]","일","49135","45579","48681","52235","55887","45651","58796","","","62527","71455","71694","71979","75776","68845","69372","70462",
"합계","경요도 전립선 절제술","요양급여일수[일]","일","97902","92265","99261","105318","111643","95565","128404","","","133154","152493","154740","158073","168999","153826","159453","166357",
"합계","경요도 전립선 절제술","진료비[천원]","천원","8940319","9029780","9789063","11283511","12178506","10934348","15001015","","","19953602","23849564","25955961","30155247","36691483","38907862","41232762","44380462",
"합계","경요도 전립선 절제술","급여비[천원]","천원","7396385","7418175","7930619","9202704","10045007","9012467","12281998","","","16486575","19667413","21471900","24922082","30371884","32278019","34133420","36647323",
"합계","전립선 절제술","수술인원수[명]","명","2292","2679","2714","3001","3225","2989","2611","","","2041","1996","2098","2079","2211","1826","1507","1308",
"합계","전립선 절제술","수술건수[건]","건","2293","2692","2717","3015","3249","2989","2616","","","2044","1996","2102","2084","2227","1853","1545","1380",
"합계","전립선 절제술","입원일수[일]","일","26382","29927","27461","29066","28592","29970","31331","","","24105","23483","24663","24472","25590","21099","16952","14315",
"합계","전립선 절제술","요양급여일수[일]","일","48131","52518","46498","49064","54598","55348","53372","","","41103","39977","41995","42449","44108","36481","30822","25902",
"합계","전립선 절제술","진료비[천원]","천원","6421602","8152041","7721347","9058131","9304437","9881220","10378875","","","9737695","9945897","11239296","12861028","15208379","14380375","12167215","10051053",
"합계","전립선 절제술","급여비[천원]","천원","5663419","7213914","6754188","7983149","8538465","9170948","9697974","","","9132033","9318484","10563455","12019446","14207535","13470039","11396788","9397900",
"합계","자궁절제술","수술인원수[명]","명","96371","96588","98685","104048","80992","50060","49382","","","42445","43447","41156","41707","41702","39236","40075","39228",
"합계","자궁절제술","수술건수[건]","건","96731","97194","99063","104506","81250","50116","49450","","","42685","45015","43725","42526","41895","39686","41237","39891",
"합계","자궁절제술","입원일수[일]","일","748967","736806","740243","765059","616298","417546","411986","","","323784","330191","310308","304284","291861","272244","271142","261009",
"합계","자궁절제술","요양급여일수[일]","일","1362130","1330843","1336829","1391472","1150086","774682","760829","","","542994","574125","544364","550252","549667","515198","521398","518211",
"합계","자궁절제술","진료비[천원]","천원","154112777","168385428","175319092","196311980","167759014","120186687","126800218","","","145508048","156107937","152434155","176218121","185874332","202662321","209854181","209131156",
"합계","자궁절제술","급여비[천원]","천원","125046187","136524869","141076700","158728142","138152222","100635013","106452495","","","123893735","133284369","129808623","150181582","157818906","172060556","178334839","178042688",
"합계","제왕절개수술","수술인원수[명]","명","139772","158883","158727","154684","165013","163018","174258","","","172578","168893","158762","154117","152792","145878","146833","150820",
"합계","제왕절개수술","수술건수[건]","건","139909","159091","158853","154775","165169","163113","174449","","","172753","170215","161667","155227","153055","146427","148050","152144",
"합계","제왕절개수술","입원일수[일]","일","994601","1110291","1119228","1083377","1152518","1127307","1194523","","","1108171","1083601","1026545","981443","961839","913676","914000","926413",
"합계","제왕절개수술","요양급여일수[일]","일","1573788","1770286","1807000","1777665","1911605","1848877","1819902","","","1481128","1444379","1369390","1322188","1322006","1262201","1297602","1370086",
"합계","제왕절개수술","진료비[천원]","천원","143723858","171125096","174899521","178625466","198951357","202933896","247728869","","","307658217","317905535","318489763","329128385","346846763","341676356","357125548","379714999",
"합계","제왕절개수술","급여비[천원]","천원","117745459","139979569","139989888","143055766","159154374","161778354","196505879","","","244774274","274205449","297459566","306900178","322627427","316831492","331675888","353226431",
"합계","고관절 치환술","수술인원수[명]","명","6589","7113","7528","7957","8543","8294","9229","","","26194","26853","27510","28188","28995","28840","30107","31406",
"합계","고관절 치환술","수술건수[건]","건","6821","7504","7775","8239","8845","8593","9618","","","27235","27867","28690","29317","30436","31301","33282","35235",
"합계","고관절 치환술","입원일수[일]","일","154666","161367","167715","164246","175435","168920","184967","","","568887","567755","561788","587018","598162","581436","599497","604363",
"합계","고관절 치환술","요양급여일수[일]","일","265126","277968","301806","299554","326344","317658","349510","","","953784","981732","994409","1062219","1103626","1100183","1171087","1190191",
"합계","고관절 치환술","진료비[천원]","천원","50591301","56118653","57677332","62113785","67409779","64365320","70942298","","","193208926","206188972","219891063","244336522","275812899","291581531","311831524","321719906",
"합계","고관절 치환술","급여비[천원]","천원","41776790","46311081","47032156","50771780","55115833","52653241","57939678","","","157876227","168894725","179996397","199520706","225258917","238440381","254899747","262048829",
"합계","슬관절 치환술","수술인원수[명]","명","29385","36146","39431","45360","50832","48961","54618","","","58393","66484","66435","68445","75827","68233","72626","75626",
"합계","슬관절 치환술","수술건수[건]","건","30777","38220","41257","47683","53334","51050","57230","","","61734","69755","69770","71769","79342","72382","77614","82544",
"합계","슬관절 치환술","입원일수[일]","일","730926","847073","946255","1043491","1138831","1112494","1253409","","","1317523","1468927","1466925","1519303","1672675","1476693","1555478","1603076",
"합계","슬관절 치환술","요양급여일수[일]","일","1225827","1415225","1594978","1737789","1900536","1854686","2104045","","","2270095","2550335","2559863","2678439","3019261","2717775","2899494","3005911",
"합계","슬관절 치환술","진료비[천원]","천원","212671298","268014948","291161668","345816652","397231285","376630297","418555165","","","437829671","524609752","552145806","605773535","720059562","672296027","729861122","770331171",
"합계","슬관절 치환술","급여비[천원]","천원","174610052","219372951","235997315","280532331","321775573","303984615","337882794","","","353155222","423948201","445648916","488857497","580442417","541172221","586670091","618616377",
"합계","유방 부분 절제술","수술인원수[명]","명","9971","11079","11671","5992","18714","18963","19597","","","18531","19519","25382","33321","35951","35263","40027","41200",
"합계","유방 부분 절제술","수술건수[건]","건","10003","11152","11729","6087","19246","19368","20082","","","19033","20218","26158","34493","37254","36737","41881","43044",
"합계","유방 부분 절제술","입원일수[일]","일","132964","137473","138195","37682","87417","90787","88780","","","80671","81177","116814","171139","174778","165996","181237","180203",
"합계","유방 부분 절제술","요양급여일수[일]","일","201730","208561","214192","69308","175274","181093","181383","","","168526","172055","249635","365939","379992","372311","413349","407258",
"합계","유방 부분 절제술","진료비[천원]","천원","27198432","31003421","32427459","10103518","22302251","24304869","24633118","","","27542091","29316233","55582910","105308332","121132380","128761151","154706469","163762527",
"합계","유방 부분 절제술","급여비[천원]","천원","24364591","27678244","28601883","8746796","19349947","21226417","21536082","","","24290628","25774202","50483573","96364220","109898657","117165872","141186374","149771332",
"합계","유방 전 절제술","수술인원수[명]","명","16591","16870","17421","24275","13854","14167","17408","","","21657","15369","19544","12649","16375","18730","20591","22309",
"합계","유방 전 절제술","수술건수[건]","건","17024","17389","17844","24890","13964","14275","17544","","","21812","15480","19743","12699","16465","18866","20791","22538",
"합계","유방 전 절제술","입원일수[일]","일","87202","87936","89566","184557","155437","153772","170586","","","182963","134868","166686","112756","120694","113438","120595","119974",
"합계","유방 전 절제술","요양급여일수[일]","일","170329","173388","178141","318024","242307","240922","276324","","","321447","237195","301470","209015","228510","210918","223330","238044",
"합계","유방 전 절제술","진료비[천원]","천원","15755414","17560078","18559463","47348035","44929719","46561146","54588361","","","77626705","56021200","79926543","60582996","73511219","77189357","89361510","93302012",
"합계","유방 전 절제술","급여비[천원]","천원","13373551","14955478","15660672","41486221","41954217","43542138","50876617","","","72677412","52289472","74810692","55713547","66648703","69583662","80793581","84287650",
"합계","뇌기저부 수술","수술인원수[명]","명","433","420","317","374","346","349","361","","","354","390","343","363","517","497","515","515",
"합계","뇌기저부 수술","수술건수[건]","건","436","423","320","382","350","351","362","","","357","393","345","365","520","513","520","526",
"합계","뇌기저부 수술","입원일수[일]","일","11227","10272","7657","8777","7383","7041","7166","","","7291","7999","6392","7159","8846","9046","8841","7963",
"합계","뇌기저부 수술","요양급여일수[일]","일","18015","15875","12656","15062","13033","12237","13286","","","12360","14138","12550","13950","18839","19790","19462","19433",
"합계","뇌기저부 수술","진료비[천원]","천원","4792884","4487025","3517493","4374084","3970208","3753396","3715021","","","4867802","5796633","5090048","6253127","9075818","10053854","10582625","10211297",
"합계","뇌기저부 수술","급여비[천원]","천원","4300895","4025068","3127682","3928433","3725132","3518141","3485656","","","4587983","5448919","4797664","5841964","8409394","9375031","9857057","9492337",
"합계","뇌종양 수술","수술인원수[명]","명","4304","4649","4458","5437","5623","5563","5950","","","6402","6863","7043","5328","5638","5664","8066","8072",
"합계","뇌종양 수술","수술건수[건]","건","4392","4781","4550","5591","5793","5743","6139","","","6584","7045","7208","5450","5816","5905","8465","8425",
"합계","뇌종양 수술","입원일수[일]","일","93408","98137","90890","104751","106622","101965","109766","","","109947","117809","117039","98995","104114","101690","125622","121087",
"합계","뇌종양 수술","요양급여일수[일]","일","160818","169220","163512","186531","192828","189470","197145","","","203286","221677","226830","188896","205598","205354","276972","274407",
"합계","뇌종양 수술","진료비[천원]","천원","32575730","36989018","36192917","47041930","51295094","49853378","55029508","","","72308823","81799654","87606575","83205123","97056206","102930562","135840176","136541430",
"합계","뇌종양 수술","급여비[천원]","천원","28749904","32545598","31477126","41648835","47702183","46342561","51199396","","","67599746","76492693","81882315","77967317","90379061","96017808","125717355","126586750",
"합계","위 절제술","수술인원수[명]","명","17596","17447","15975","19936","20138","19841","20287","","","17878","19037","18565","18036","17749","16365","17388","16810",
"합계","위 절제술","수술건수[건]","건","17615","17561","16139","19981","20179","19887","20360","","","17954","19117","18697","18130","17913","16685","17848","17363",
"합계","위 절제술","입원일수[일]","일","303392","290625","257925","295883","293518","277911","277343","","","232247","238684","227393","223918","222545","202693","210116","197065",
"합계","위 절제술","요양급여일수[일]","일","494000","464996","440196","496543","510705","496328","502776","","","422887","448495","431391","427698","430921","403282","431782","414451",
"합계","위 절제술","진료비[천원]","천원","83759354","92772933","86408990","113560215","120132613","119442019","121744318","","","136535168","153138919","161413989","174351773","188440072","187938134","202890548","201526484",
"합계","위 절제술","급여비[천원]","천원","75154440","83277237","77372613","101764449","112426776","111770766","114119965","","","128155030","143883752","151649419","162547596","174450970","174050696","188182371","187282420",
"합계","간 부분 절제술","수술인원수[명]","명","3883","4231","4594","5644","5988","6230","7138","","","7641","7752","7229","7779","7834","8117","8180","7879",
"합계","간 부분 절제술","수술건수[건]","건","3900","4275","4613","5680","6039","6275","7205","","","7715","7815","7317","7846","7954","8330","8474","8117",
"합계","간 부분 절제술","입원일수[일]","일","88367","91766","96820","111248","119020","117409","129676","","","125220","124589","111131","120317","119543","121895","119616","114101",
"합계","간 부분 절제술","요양급여일수[일]","일","139089","144907","158638","184958","202838","205206","226504","","","236354","235484","219101","241350","237927","245430","247177","242668",
"합계","간 부분 절제술","진료비[천원]","천원","27703955","31998346","35104207","46653779","51477276","53225634","61673570","","","77797813","82649212","81146561","96699450","108671414","119013508","122615677","122672734",
"합계","간 부분 절제술","급여비[천원]","천원","24327087","28171580","30716162","41258987","47468646","49224041","57096010","","","72509600","77084462","75767500","89761624","100251180","109958708","113393443","113713160",
"합계","간색전술","수술인원수[명]","명","18402","19405","19575","22079","22845","22996","24426","","","25494","26076","27138","27656","28814","28324","29022","28471",
"합계","간색전술","수술건수[건]","건","30310","32207","31288","34099","34913","33902","36425","","","36707","37310","37712","37671","38802","37987","38615","37223",
"합계","간색전술","입원일수[일]","일","266891","274195","266845","284364","299086","291579","309005","","","299736","307579","309065","316148","327438","321563","327199","304190",
"합계","간색전술","요양급여일수[일]","일","817014","871620","838045","889568","926812","905866","953520","","","902129","916727","929371","937419","947600","909968","917422","880773",
"합계","간색전술","진료비[천원]","천원","91317804","100548129","106580174","134549906","148416484","158980784","175693279","","","208712958","231857563","250250827","285202477","326597047","342650276","360995709","358394642",
"합계","간색전술","급여비[천원]","천원","80684906","88987672","93604487","118463595","135518133","145438952","160433324","","","190515135","212265805","229119010","259481343","296124678","311326431","327265330","324597853",
"합계","갑상선 수술(기타 질환에 의한 수술 포함)","수술인원수[명]","명","22905","27716","32068","38412","40501","43920","51044","","","27983","28994","28433","30550","33341","31371","36276","35027",
"합계","갑상선 수술(기타 질환에 의한 수술 포함)","수술건수[건]","건","23119","28048","32302","38708","40847","44234","51513","","","28214","29201","28699","30828","33754","31931","37150","35976",
"합계","갑상선 수술(기타 질환에 의한 수술 포함)","입원일수[일]","일","176761","210272","228822","266317","274694","289066","335471","","","174306","174674","169126","176620","187429","174393","196773","183791",
"합계","갑상선 수술(기타 질환에 의한 수술 포함)","요양급여일수[일]","일","424826","521707","618737","722370","765638","837350","976473","","","522798","517653","497039","531553","580983","539638","610255","611521",
"합계","갑상선 수술(기타 질환에 의한 수술 포함)","진료비[천원]","천원","36581312","47625078","54869206","72217042","80504983","86941346","103303898","","","72231787","74798515","77346793","93961226","110699305","111673354","131172764","132328675",
"합계","갑상선 수술(기타 질환에 의한 수술 포함)","급여비[천원]","천원","31772176","41587106","47535033","63232288","73678663","79824381","95009461","","","66862284","69172600","71537474","86213575","100783967","101481897","119433465","120687616",
"합계","선천성 심장기형 수술","수술인원수[명]","명","6134","6078","5582","6837","7031","10467","7770","","","","","","","","","","",
"합계","선천성 심장기형 수술","수술건수[건]","건","6221","6238","5675","6972","7184","10768","7995","","","","","","","","","","",
"합계","선천성 심장기형 수술","입원일수[일]","일","107129","105836","102046","123459","132144","162565","133288","","","","","","","","","","",
"합계","선천성 심장기형 수술","요양급여일수[일]","일","161264","159871","152202","179480","186828","252794","199075","","","","","","","","","","",
"합계","선천성 심장기형 수술","진료비[천원]","천원","70702837","74732475","73008228","109594659","127913519","167517711","150024727","","","","","","","","","","",
"합계","선천성 심장기형 수술","급여비[천원]","천원","65805709","69647157","66637956","100038955","122154750","159603171","143360653","","","","","","","","","","",
"합계","심장수술(관상동맥 우회수술 제외)","수술인원수[명]","명","","","","","","","","","","6932","7183","7238","7049","7192","9065","9402","9538",
"합계","심장수술(관상동맥 우회수술 제외)","수술건수[건]","건","","","","","","","","","","7071","7337","7402","7216","7370","9485","9873","10363",
"합계","심장수술(관상동맥 우회수술 제외)","입원일수[일]","일","","","","","","","","","","114092","118883","118908","120867","126767","155030","159584","158722",
"합계","심장수술(관상동맥 우회수술 제외)","요양급여일수[일]","일","","","","","","","","","","163469","173136","174912","177639","188860","242491","251676","254631",
