Gender,Monthly,Donation Source,Category,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,month
Men+Women,January,Eastern Seoul,Composition Rate[%],%,7.5,8.1,10.0,10.1,7.8,7.2,8.4,7.7,8.6,7.3,8.9,10.0,8.1,9.0,9.4,8.8,8.6,7.6,7.7,1
Men+Women,January,Busan,Donation Count,Unit,16351.0,16581.0,16159.0,16996.0,15569.0,17924,18355.0,15640.0,17484.0,18705.0,19675.0,18101.0,14048.0,15949.0,17057.0,13734.0,15588.0,13293.0,13636.0,1
Men+Women,January,Busan,Composition Rate[%],%,7.7,7.8,8.5,8.1,7.2,7.7,8.5,7.1,7.6,7.9,8.3,8.8,6.5,7.1,8.0,7.0,8.0,6.5,6.6,1
Men+Women,January,Daegu/Gyeongbuk,Donation Count,Unit,13780.0,13385.0,13546.0,13755.0,16187.0,17046,16594.0,17341.0,20204.0,20283.0,21740.0,18967.0,17099.0,18898.0,19477.0,17335.0,18370.0,16335.0,16650.0,1
Men+Women,January,Daegu/Gyeongbuk,Composition Rate[%],%,7.1,7.1,8.6,7.3,7.5,8,7.8,7.6,8.3,7.7,8.4,8.0,7.1,7.7,8.4,8.8,8.2,7.3,7.2,1
Men+Women,January,Incheon,Donation Count,Unit,9870.0,9982.0,11181.0,11797.0,9696.0,10505,14998.0,13853.0,15402.0,13767.0,15994.0,15224.0,13507.0,13928.0,13095.0,12516.0,13807.0,12842.0,13673.0,1
Men+Women,January,Incheon,Composition Rate[%],%,7.6,8.3,10.2,9.7,7.4,6.8,8.6,8.0,8.7,7.4,8.8,9.4,8.3,8.9,8.3,7.6,8.3,7.5,7.7,1
Men+Women,January,Ulsan,Donation Count,Unit,5617.0,8311.0,6425.0,5604.0,4968.0,5653,5479.0,5982.0,6383.0,6247.0,7394.0,6835.0,6187.0,6661.0,7051.0,6213.0,6976.0,5797.0,7240.0,1
Men+Women,January,Ulsan,Composition Rate[%],%,7.1,10.1,9.8,7.9,6.7,7.6,7.5,7.6,7.9,7.0,7.9,7.8,7.2,7.7,7.7,7.5,8.3,6.7,7.3,1
Men+Women,January,Gyeonggi,Donation Count,Unit,11535.0,11090.0,12046.0,13082.0,11874.0,13270,14381.0,14183.0,15816.0,14168.0,17143.0,18710.0,17042.0,17904.0,18167.0,16008.0,18715.0,16045.0,18010.0,1
Men+Women,January,Gyeonggi,Composition Rate[%],%,8.3,7.8,9.3,9.2,7.2,7.7,8.1,8.1,8.3,6.9,7.8,9.1,8.1,8.8,8.6,7.1,8.3,7.4,8.0,1
Men+Women,January,Gangwon,Donation Count,Unit,6816.0,5810.0,5962.0,7140.0,6136.0,5075,6286.0,8846.0,11137.0,9772.0,11876.0,12373.0,10288.0,12944.0,13645.0,11683.0,10933.0,9602.0,8552.0,1
Men+Women,January,Gangwon,Composition Rate[%],%,8.2,7.6,9.2,9.7,7.7,6.1,6.8,8.2,9.2,7.6,7.9,8.3,6.6,8.0,8.9,8.3,8.1,7.7,6.4,1
Men+Women,January,Chungbuk,Donation Count,Unit,4899.0,5505.0,6136.0,5618.0,7035.0,7835,7680.0,6896.0,7496.0,7257.0,7696.0,7458.0,6736.0,7461.0,7543.0,6459.0,6427.0,5291.0,5471.0,1
Men+Women,January,Chungbuk,Composition Rate[%],%,6.3,7.0,8.4,6.6,7.1,7.7,8.4,6.9,7.6,7.2,7.7,8.3,7.0,8.0,8.0,7.5,7.6,6.3,6.4,1
Men+Women,January,Daejeon/Chungnam,Donation Count,Unit,13057.0,11187.0,11398.0,14464.0,13303.0,14692,16440.0,15512.0,17296.0,17578.0,19761.0,18817.0,16132.0,18643.0,19718.0,17729.0,17669.0,16506.0,17166.0,1
Men+Women,January,Daejeon/Chungnam,Composition Rate[%],%,8.1,7.6,7.8,8.3,7.3,7.7,8.7,7.5,7.7,7.6,7.9,8.0,6.7,7.5,7.9,7.4,7.6,7.0,7.3,1
Men+Women,January,Jeonbuk,Donation Count,Unit,7654.0,8668.0,8699.0,7830.0,8117.0,8345,9933.0,9342.0,10384.0,10033.0,11198.0,9524.0,8429.0,8122.0,9284.0,6975.0,8676.0,6893.0,7032.0,1
Men+Women,January,Jeonbuk,Composition Rate[%],%,6.3,7.3,8.9,7.3,6.7,6.7,7.9,7.3,7.9,8.0,8.7,8.2,7.4,7.5,8.5,6.8,8.4,7.1,7.0,1
Men+Women,January,Jeonnam,Donation Count,Unit,12237.0,16052.0,15759.0,13381.0,14364.0,16299,15030.0,14868.0,15577.0,16564.0,17973.0,15178.0,15172.0,15917.0,15444.0,15132.0,16156.0,13115.0,13144.0,1
Men+Women,January,Jeonnam,Composition Rate[%],%,7.0,8.0,8.9,6.9,7.1,8.2,7.8,8.0,7.6,7.6,8.1,7.5,6.9,7.7,7.5,8.3,8.7,6.9,7.0,1
Men+Women,January,Gyeongnam,Donation Count,Unit,7125.0,6829.0,7767.0,8701.0,8900.0,8730,9937.0,9179.0,11311.0,10965.0,11820.0,11652.0,10255.0,11562.0,11941.0,10285.0,10656.0,9007.0,9747.0,1
Men+Women,January,Gyeongnam,Composition Rate[%],%,7.1,6.7,8.5,8.5,7.8,7.3,8.7,7.6,8.4,7.7,8.7,9.1,7.9,8.6,9.0,7.8,8.5,7.3,7.6,1
Men+Women,January,Jeju,Donation Count,Unit,2346.0,1864.0,1969.0,2153.0,2299.0,3033,2361.0,2566.0,2710.0,2507.0,2879.0,2806.0,2469.0,2795.0,2930.0,2705.0,3857.0,3035.0,3041.0,1
Men+Women,January,Jeju,Composition Rate[%],%,7.4,6.3,7.1,6.6,6.2,7.9,6.9,8.1,7.9,6.7,7.1,7.8,6.5,8.2,8.1,6.5,9.2,7.3,6.5,1
Men+Women,January,Outside of Korean Red Cross,Donation Count,Unit,3224.0,2883.0,4593.0,5804.0,7567.0,9780,12300.0,12817.0,15278.0,16348.0,15970.0,16517.0,15969.0,16827.0,15009.0,12718.0,12364.0,13888.0,15236.0,1
Men+Women,January,Outside of Korean Red Cross,Composition Rate[%],%,6.4,5.6,7.8,7.1,7.0,6.5,7.3,7.1,7.4,7.8,7.6,7.5,7.5,8.3,8.5,7.2,7.0,6.8,6.5,1
Men+Women,February,Total,Donation Count,Unit,154943.0,188463.0,170432.0,153589.0,192395.0,186366,187051.0,228658.0,193958.0,219573.0,211203.0,202169.0,219624.0,208722.0,197949.0,199657.0,189312.0,179817.0,209081.0,2
Men+Women,February,Total,Composition Rate[%],%,6.8,8.2,8.2,6.5,7.5,7,7.1,8.4,6.7,7.2,6.9,7.1,7.5,7.2,7.1,7.6,7.3,6.8,7.5,2
Men+Women,February,Korean Red Cross,Donation Count,Unit,151513.0,184860.0,166820.0,149279.0,184630.0,176152,174417.0,213921.0,180661.0,205384.0,197593.0,188187.0,204429.0,193180.0,184775.0,185968.0,177855.0,167062.0,192577.0,2
Men+Women,February,Korean Red Cross,Composition Rate[%],%,6.8,8.2,8.2,6.6,7.5,7,7.1,8.4,6.7,7.2,6.9,7.1,7.5,7.2,7.1,7.6,7.3,6.8,7.6,2
Men+Women,February,Central Seoul,Donation Count,Unit,14954.0,18748.0,15977.0,14492.0,16749.0,17061,,,,,,,,21466.0,20152.0,19338.0,15957.0,15484.0,17500.0,2
Men+Women,February,Central Seoul,Composition Rate[%],%,7.1,8.4,8.5,7.0,8.0,6.8,,,,,,,,8.1,8.0,8.7,7.4,6.9,7.5,2
Men+Women,February,Western Seoul,Donation Count,Unit,9854.0,11299.0,13131.0,11096.0,15634.0,13351,20925.0,25159.0,21148.0,26129.0,24246.0,23895.0,21820.0,,,,,,,2
Men+Women,February,Western Seoul,Composition Rate[%],%,7.4,8.2,8.5,6.5,7.5,14.9,7.7,8.9,7.0,7.8,7.3,8.2,7.9,,,,,,,2
Men+Women,February,Southern Seoul,Donation Count,Unit,12025.0,14070.0,14195.0,13000.0,16101.0,16022,15589.0,21007.0,16581.0,18959.0,15688.0,15979.0,19717.0,17261.0,16486.0,15223.0,13390.0,12484.0,14033.0,2
Men+Women,February,Southern Seoul,Composition Rate[%],%,6.6,7.4,8.2,6.9,7.6,7.3,7.2,9.2,7.0,8.3,7.0,7.0,8.0,7.5,7.7,8.0,7.6,6.9,7.2,2
Men+Women,February,Eastern Seoul,Donation Count,Unit,12968.0,17303.0,18005.0,12760.0,14455.0,16771,20780.0,24102.0,20059.0,24142.0,21655.0,21217.0,23250.0,22500.0,19791.0,19306.0,17090.0,16169.0,19723.0,2
Men+Women,February,Eastern Seoul,Composition Rate[%],%,6.6,8.6,9.9,6.4,7.5,6.7,7.8,8.7,6.8,7.7,7.2,7.8,8.3,8.1,7.6,8.3,7.4,6.8,7.7,2
Men+Women,February,Busan,Donation Count,Unit,13478.0,17608.0,14027.0,13844.0,16250.0,15164,15130.0,17367.0,15169.0,16542.0,15905.0,14026.0,14158.0,15671.0,14340.0,14597.0,14390.0,13041.0,16068.0,2
Men+Women,February,Busan,Composition Rate[%],%,6.3,8.3,7.4,6.6,7.5,6.5,7.0,7.9,6.6,7.0,6.7,6.8,6.6,7.0,6.7,7.4,7.4,6.4,7.8,2
Men+Women,February,Daegu/Gyeongbuk,Donation Count,Unit,13673.0,14838.0,14233.0,12041.0,17169.0,15204,15169.0,19317.0,16292.0,18176.0,18616.0,16956.0,17997.0,16506.0,16014.0,13270.0,16217.0,15293.0,17965.0,2
Men+Women,February,Daegu/Gyeongbuk,Composition Rate[%],%,7.0,7.9,9.0,6.4,8.0,7.1,7.2,8.5,6.7,6.9,7.2,7.2,7.5,6.7,6.9,6.8,7.2,6.8,7.8,2
Men+Women,February,Incheon,Donation Count,Unit,9465.0,10249.0,9938.0,8213.0,9266.0,9562,12689.0,14766.0,11977.0,12993.0,13569.0,11243.0,13132.0,11781.0,11212.0,12028.0,12461.0,13225.0,14112.0,2
Men+Women,February,Incheon,Composition Rate[%],%,7.3,8.5,9.0,6.7,7.1,6.2,7.3,8.5,6.7,7.0,7.5,7.0,8.0,7.5,7.1,7.3,7.5,7.7,8.0,2
Men+Women,February,Ulsan,Donation Count,Unit,4277.0,7562.0,5157.0,4526.0,5553.0,5188,4700.0,6675.0,5689.0,5853.0,6181.0,6350.0,6204.0,5613.0,6086.0,6106.0,6211.0,5543.0,7542.0,2
Men+Women,February,Ulsan,Composition Rate[%],%,5.4,9.2,7.9,6.3,7.5,7,6.4,8.4,7.0,6.5,6.6,7.3,7.2,6.5,6.6,7.4,7.4,6.4,7.6,2
Men+Women,February,Gyeonggi,Donation Count,Unit,10495.0,12407.0,10539.0,10167.0,12684.0,12294,12652.0,15904.0,13229.0,14483.0,14288.0,14588.0,15506.0,14941.0,16195.0,17222.0,16592.0,16231.0,18408.0,2
Men+Women,February,Gyeonggi,Composition Rate[%],%,7.6,8.8,8.2,7.2,7.7,7.2,7.2,9.0,6.9,7.0,6.5,7.1,7.4,7.3,7.7,7.6,7.4,7.5,8.2,2
Men+Women,February,Gangwon,Donation Count,Unit,6023.0,7711.0,5886.0,5603.0,5845.0,5976,5485.0,8753.0,9053.0,9153.0,9676.0,10563.0,12334.0,12004.0,10508.0,10942.0,10101.0,8675.0,9549.0,2
Men+Women,February,Gangwon,Composition Rate[%],%,7.2,10.1,9.1,7.6,7.3,7.1,5.9,8.1,7.5,7.2,6.5,7.0,8.0,7.4,6.8,7.8,7.5,6.9,7.2,2
Men+Women,February,Chungbuk,Donation Count,Unit,4664.0,6375.0,5179.0,4954.0,6457.0,6642,6974.0,6994.0,5883.0,6707.0,6771.0,5320.0,6818.0,6774.0,6490.0,6001.0,6336.0,5288.0,6113.0,2
Men+Women,February,Chungbuk,Composition Rate[%],%,6.0,8.1,7.1,5.8,6.5,6.6,7.6,7.0,6.0,6.7,6.8,6.0,7.1,7.2,6.9,7.0,7.5,6.3,7.2,2
Men+Women,February,Daejeon/Chungnam,Donation Count,Unit,11029.0,10374.0,12578.0,11016.0,13432.0,12069,13280.0,15727.0,13958.0,16132.0,16622.0,15508.0,16605.0,16531.0,15692.0,17425.0,16554.0,15875.0,16702.0,2
Men+Women,February,Daejeon/Chungnam,Composition Rate[%],%,6.8,7.1,8.6,6.4,7.3,6.3,7.0,7.6,6.2,7.0,6.7,6.6,6.9,6.7,6.3,7.3,7.1,6.7,7.1,2
Men+Women,February,Jeonbuk,Donation Count,Unit,7363.0,7494.0,7160.0,6476.0,7224.0,8297,8480.0,9939.0,8569.0,8430.0,7018.0,7159.0,8387.0,7782.0,7296.0,6870.0,7112.0,6355.0,6409.0,2
Men+Women,February,Jeonbuk,Composition Rate[%],%,6.1,6.3,7.3,6.0,6.0,6.6,6.8,7.8,6.5,6.7,5.4,6.2,7.3,7.2,6.7,6.7,6.9,6.6,6.4,2
Men+Women,February,Jeonnam,Donation Count,Unit,11963.0,18199.0,12928.0,12753.0,15647.0,12204,12732.0,15988.0,12324.0,14289.0,15120.0,14044.0,15666.0,13544.0,13452.0,14091.0,13845.0,12233.0,14578.0,2
Men+Women,February,Jeonnam,Composition Rate[%],%,6.9,9.1,7.3,6.6,7.8,6.2,6.6,8.6,6.0,6.6,6.8,6.9,7.1,6.6,6.5,7.7,7.5,6.5,7.7,2
Men+Women,February,Gyeongnam,Donation Count,Unit,6955.0,8453.0,6308.0,6027.0,9379.0,7742,7666.0,9619.0,8389.0,10851.0,9709.0,8845.0,9755.0,8659.0,8507.0,10624.0,8803.0,8317.0,10501.0,2
Men+Women,February,Gyeongnam,Composition Rate[%],%,6.9,8.2,6.9,5.9,8.2,6.5,6.7,8.0,6.2,7.6,7.2,6.9,7.5,6.4,6.4,8.1,7.1,6.7,8.1,2
Men+Women,February,Jeju,Donation Count,Unit,2327.0,2170.0,1579.0,2311.0,2785.0,2605,2166.0,2604.0,2341.0,2545.0,2529.0,2494.0,3080.0,2147.0,2554.0,2925.0,2796.0,2849.0,3374.0,2
Men+Women,February,Jeju,Composition Rate[%],%,7.3,7.3,5.7,7.1,7.5,6.8,6.3,8.2,6.8,6.8,6.2,7.0,8.1,6.3,7.1,7.0,6.7,6.8,7.2,2
Men+Women,February,Outside of Korean Red Cross,Donation Count,Unit,3430.0,3603.0,3612.0,4310.0,7765.0,10214,12634.0,14737.0,13297.0,14189.0,13610.0,13982.0,15195.0,15542.0,13174.0,13689.0,11457.0,12755.0,16504.0,2
Men+Women,February,Outside of Korean Red Cross,Composition Rate[%],%,6.8,6.9,6.1,5.3,7.2,6.8,7.5,8.2,6.4,6.8,6.5,6.3,7.1,7.7,7.4,7.8,6.4,6.3,7.0,2
Men+Women,March,Total,Donation Count,Unit,194115.0,207363.0,167761.0,187547.0,211221.0,216617,224965.0,224832.0,242560.0,259509.0,264282.0,253121.0,255102.0,257191.0,234119.0,208239.0,233403.0,194685.0,234387.0,3
Men+Women,March,Total,Composition Rate[%],%,8.5,9.0,8.0,8.0,8.2,8.1,8.6,8.3,8.3,8.5,8.6,8.8,8.7,8.9,8.4,8.0,9.0,7.3,8.4,3
Men+Women,March,Korean Red Cross,Donation Count,Unit,189109.0,202401.0,163145.0,181270.0,202757.0,203786,210051.0,211661.0,224651.0,242209.0,246694.0,234834.0,236278.0,241362.0,220402.0,190012.0,218080.0,180237.0,214106.0,3
Men+Women,March,Korean Red Cross,Composition Rate[%],%,8.5,9.0,8.0,8.0,8.2,8.1,8.6,8.3,8.3,8.5,8.6,8.9,8.7,9.0,8.4,7.8,9.0,7.4,8.4,3
Men+Women,March,Central Seoul,Donation Count,Unit,18205.0,20431.0,15791.0,17183.0,17357.0,17600,,,,,,,,24965.0,21413.0,16287.0,18848.0,15751.0,19452.0,3
Men+Women,March,Central Seoul,Composition Rate[%],%,8.6,9.2,8.4,8.3,8.3,7,,,,,,,,9.4,8.5,7.3,8.7,7.0,8.3,3
Men+Women,March,Western Seoul,Donation Count,Unit,11245.0,12681.0,12345.0,13580.0,17654.0,14522,22714.0,23809.0,24224.0,28646.0,27806.0,27372.0,24201.0,,,,,,,3
Men+Women,March,Western Seoul,Composition Rate[%],%,8.4,9.1,8.0,7.9,8.5,16.2,8.4,8.4,8.0,8.6,8.4,9.4,8.7,,,,,,,3
Men+Women,March,Southern Seoul,Donation Count,Unit,15110.0,18006.0,13957.0,15752.0,15950.0,17064,18444.0,18606.0,19069.0,19852.0,18908.0,19009.0,21340.0,21216.0,18033.0,16852.0,15559.0,13111.0,16600.0,3
Men+Women,March,Southern Seoul,Composition Rate[%],%,8.4,9.5,8.1,8.4,7.5,7.7,8.5,8.1,8.1,8.6,8.4,8.4,8.7,9.2,8.4,8.9,8.8,7.2,8.5,3
Men+Women,March,Eastern Seoul,Donation Count,Unit,18069.0,14994.0,13532.0,15975.0,15343.0,17845,21889.0,22376.0,22974.0,26378.0,26314.0,25242.0,23713.0,25353.0,21493.0,20318.0,20359.0,17972.0,23576.0,3
Men+Women,March,Eastern Seoul,Composition Rate[%],%,9.2,7.5,7.4,8.1,7.9,7.2,8.3,8.1,7.8,8.4,8.8,9.2,8.5,9.1,8.3,8.8,8.8,7.5,9.2,3
Men+Women,March,Busan,Donation Count,Unit,17792.0,19322.0,14383.0,15875.0,17775.0,19181,20424.0,21009.0,21258.0,20364.0,22116.0,18838.0,19782.0,21675.0,18615.0,13713.0,19000.0,15123.0,16924.0,3
Men+Women,March,Busan,Composition Rate[%],%,8.3,9.1,7.6,7.5,8.2,8.2,9.4,9.6,9.2,8.6,9.3,9.2,9.2,9.7,8.7,7.0,9.8,7.4,8.2,3
Men+Women,March,Daegu/Gyeongbuk,Donation Count,Unit,16946.0,18376.0,14069.0,15952.0,18997.0,18356,17791.0,18592.0,19469.0,22759.0,22959.0,20829.0,21158.0,21305.0,20039.0,10023.0,20089.0,17707.0,19150.0,3
Men+Women,March,Daegu/Gyeongbuk,Composition Rate[%],%,8.7,9.7,8.9,8.5,8.8,8.6,8.4,8.2,8.0,8.6,8.8,8.8,8.8,8.7,8.6,5.1,8.9,7.9,8.3,3
Men+Women,March,Incheon,Donation Count,Unit,10984.0,10521.0,7436.0,9075.0,10979.0,11312,14936.0,14144.0,14773.0,14557.0,15313.0,13622.0,13973.0,14375.0,12449.0,13997.0,13448.0,12799.0,14198.0,3
Men+Women,March,Incheon,Composition Rate[%],%,8.5,8.7,6.8,7.5,8.4,7.3,8.5,8.2,8.3,7.8,8.5,8.4,8.5,9.1,7.9,8.5,8.1,7.5,8.0,3
Men+Women,March,Ulsan,Donation Count,Unit,6244.0,7028.0,4930.0,4996.0,5795.0,5262,5691.0,6143.0,6921.0,7939.0,8618.0,7559.0,8257.0,7364.0,8024.0,6070.0,7388.0,5595.0,7814.0,3
Men+Women,March,Ulsan,Composition Rate[%],%,7.9,8.6,7.5,7.0,7.8,7.1,7.7,7.8,8.5,8.9,9.2,8.7,9.6,8.5,8.8,7.4,8.8,6.4,7.9,3
Men+Women,March,Gyeonggi,Donation Count,Unit,10956.0,12674.0,9516.0,10760.0,12156.0,12927,14750.0,14596.0,15639.0,17230.0,18431.0,18119.0,18517.0,17943.0,16794.0,17506.0,19519.0,16833.0,18891.0,3
Men+Women,March,Gyeonggi,Composition Rate[%],%,7.9,8.9,7.4,7.6,7.4,7.5,8.4,8.3,8.2,8.4,8.4,8.8,8.8,8.8,8.0,7.7,8.6,7.8,8.4,3
Men+Women,March,Gangwon,Donation Count,Unit,7189.0,8223.0,5474.0,6027.0,7064.0,6843,7434.0,9579.0,10155.0,10632.0,12757.0,12811.0,13186.0,14366.0,13466.0,12486.0,13104.0,9774.0,11552.0,3
Men+Women,March,Gangwon,Composition Rate[%],%,8.6,10.7,8.5,8.2,8.9,8.2,8.1,8.8,8.4,8.3,8.5,8.5,8.5,8.9,8.8,8.9,9.8,7.8,8.7,3
Men+Women,March,Chungbuk,Donation Count,Unit,6841.0,7057.0,6340.0,6819.0,8263.0,8329,8392.0,8125.0,8858.0,8515.0,8739.0,7466.0,8211.0,8731.0,8077.0,7319.0,8128.0,6075.0,7569.0,3
Men+Women,March,Chungbuk,Composition Rate[%],%,8.8,8.9,8.7,8.0,8.3,8.2,9.2,8.1,9.0,8.5,8.8,8.4,8.6,9.3,8.6,8.5,9.6,7.2,8.9,3
Men+Women,March,Daejeon/Chungnam,Donation Count,Unit,15720.0,13583.0,12375.0,14221.0,15569.0,15595,16766.0,16590.0,19258.0,20992.0,21340.0,21075.0,21142.0,21392.0,20164.0,17421.0,22177.0,17396.0,21288.0,3
Men+Women,March,Daejeon/Chungnam,Composition Rate[%],%,9.7,9.2,8.4,8.2,8.5,8.1,8.8,8.0,8.6,9.0,8.6,8.9,8.8,8.6,8.1,7.3,9.5,7.3,9.1,3
Men+Women,March,Jeonbuk,Donation Count,Unit,9793.0,11062.0,8666.0,8835.0,10664.0,10335,11633.0,10378.0,12027.0,10412.0,9730.0,10202.0,8716.0,9234.0,9620.0,8226.0,8700.0,6928.0,8485.0,3
Men+Women,March,Jeonbuk,Composition Rate[%],%,8.1,9.3,8.8,8.2,8.8,8.3,9.3,8.1,9.2,8.3,7.5,8.8,7.6,8.5,8.8,8.0,8.5,7.1,8.5,3
Men+Women,March,Jeonnam,Donation Count,Unit,13956.0,15478.0,14560.0,15436.0,15958.0,15681,16595.0,14667.0,16605.0,18566.0,18120.0,18080.0,18277.0,18633.0,17448.0,15223.0,17265.0,13074.0,14757.0,3
Men+Women,March,Jeonnam,Composition Rate[%],%,8.0,7.7,8.2,7.9,7.9,7.9,8.6,7.9,8.1,8.5,8.2,8.9,8.3,9.0,8.4,8.3,9.3,6.9,7.8,3
Men+Women,March,Gyeongnam,Donation Count,Unit,7568.0,10283.0,7745.0,8014.0,10291.0,9797,9702.0,10255.0,10638.0,12260.0,12124.0,11545.0,12309.0,11766.0,11846.0,11007.0,10898.0,8964.0,10040.0,3
Men+Women,March,Gyeongnam,Composition Rate[%],%,7.5,10.0,8.4,7.9,9.0,8.2,8.5,8.5,7.9,8.6,8.9,9.0,9.4,8.7,8.9,8.4,8.7,7.3,7.8,3
Men+Women,March,Jeju,Donation Count,Unit,2491.0,2682.0,2026.0,2770.0,2942.0,3137,2890.0,2792.0,2783.0,3107.0,3419.0,3065.0,3496.0,3044.0,2921.0,3564.0,3598.0,3135.0,3810.0,3
Men+Women,March,Jeju,Composition Rate[%],%,7.9,9.0,7.4,8.5,8.0,8.2,8.4,8.8,8.1,8.3,8.4,8.6,9.2,8.9,8.1,8.6,8.6,7.5,8.1,3
Men+Women,March,Outside of Korean Red Cross,Donation Count,Unit,5006.0,4962.0,4616.0,6277.0,8464.0,12831,14914.0,13171.0,17909.0,17300.0,17588.0,18287.0,18824.0,15829.0,13717.0,18227.0,15323.0,14448.0,20281.0,3
Men+Women,March,Outside of Korean Red Cross,Composition Rate[%],%,9.9,9.6,7.8,7.7,7.8,8.6,8.9,7.3,8.7,8.3,8.3,8.3,8.8,7.8,7.7,10.3,8.6,7.1,8.6,3
Men+Women,April,Total,Donation Count,Unit,194710.0,197756.0,174920.0,193339.0,219834.0,218544,221918.0,217850.0,243715.0,248511.0,253150.0,237131.0,234293.0,237446.0,228082.0,193247.0,215655.0,227266.0,220845.0,4
Men+Women,April,Total,Composition Rate[%],%,8.6,8.6,8.4,8.2,8.6,8.2,8.5,8.0,8.4,8.1,8.2,8.3,8.0,8.2,8.2,7.4,8.3,8.6,8.0,4
Men+Women,April,Korean Red Cross,Donation Count,Unit,190260.0,193844.0,170555.0,186872.0,211216.0,207287,207835.0,203651.0,225716.0,231739.0,235752.0,217217.0,216101.0,221319.0,216020.0,180470.0,202033.0,211704.0,201248.0,4
Men+Women,April,Korean Red Cross,Composition Rate[%],%,8.6,8.6,8.4,8.2,8.6,8.2,8.5,8.0,8.3,8.1,8.2,8.2,8.0,8.3,8.3,7.4,8.3,8.7,7.9,4
Men+Women,April,Central Seoul,Donation Count,Unit,17090.0,19001.0,15628.0,16654.0,17279.0,17320,,,,,,,,21216.0,19073.0,17709.0,17388.0,19789.0,18356.0,4
Men+Women,April,Central Seoul,Composition Rate[%],%,8.1,8.6,8.3,8.0,8.3,6.9,,,,,,,,8.0,7.6,8.0,8.0,8.8,7.8,4
Men+Women,April,Western Seoul,Donation Count,Unit,10092.0,11852.0,13102.0,12992.0,16602.0,14751,21333.0,22496.0,24258.0,26565.0,27163.0,22931.0,20490.0,,,,,,,4
Men+Women,April,Western Seoul,Composition Rate[%],%,7.6,8.6,8.5,7.6,8.0,16.4,7.9,7.9,8.0,7.9,8.2,7.9,7.4,,,,,,,4
Men+Women,April,Southern Seoul,Donation Count,Unit,15030.0,16555.0,15193.0,16357.0,18589.0,15333,17732.0,18473.0,17671.0,18822.0,18885.0,17262.0,19427.0,20239.0,17466.0,14481.0,14946.0,15396.0,15926.0,4
Men+Women,April,Southern Seoul,Composition Rate[%],%,8.3,8.7,8.8,8.7,8.7,7,8.1,8.1,7.5,8.2,8.4,7.6,7.9,8.8,8.1,7.6,8.5,8.5,8.1,4
Men+Women,April,Eastern Seoul,Donation Count,Unit,16005.0,17238.0,14795.0,15587.0,15124.0,17558,20703.0,18947.0,22900.0,23512.0,22929.0,21119.0,21057.0,21542.0,19758.0,19562.0,19836.0,20329.0,20222.0,4
Men+Women,April,Eastern Seoul,Composition Rate[%],%,8.2,8.6,8.1,7.9,7.8,7.1,7.8,6.9,7.8,7.5,7.7,7.7,7.5,7.7,7.6,8.4,8.6,8.5,7.9,4
