month,surgery,year,units
February,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,655.2
February,Stent Insertion - Aortic valve replacement,2006,4572.0
February,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1356.6
February,Cardiac Catheterization - Aortic valve replacement,2006,376.2
February,Varicose Vein Ligation and Stripping - PDA ligation,2006,3903.2
February,Appendectomy - Exploratory Laparotomy,2006,2189.1
February,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,781.2
February,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
February,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,397.5
February,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,949.5
February,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,45.2
February,Prostatectomy - Prostatectomy,2006,19.3
February,Hysterectomy - Total abdominal hysterectomy,2006,1736.6
February,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3524.7
February,Hip Replacement Surgery - Total hip replacement,2006,666.6
February,Knee Replacement Surgery - Total knee replacement,2006,4868.8
February,Partial Mastectomy - Mastectomy,2006,0.0
February,Total Mastectomy - Mastectomy,2006,0.0
February,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,52.8
February,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,357.5
February,Gastrectomy - Total gastrectomy,2006,132.2
February,Liver Resection - Wedge resection of liver,2006,68.8
February,Hepatic Embolization - Lobectomy of liver,2006,1221.5
February,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
February,Congenital Heart Defect Surgery - PDA ligatio,2006,1458.8
February,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
February,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
February,Hemorrhoidectomy,2006,0.0
February,Endoscopic Spine Surgery - Laminectomy,2006,171.6
February,General Spine Surgery - Laminectomy,2006,3003.2
February,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
February,General Sinus Surgery - Mastoidectomy,2006,0.0
February,Stem Cell Transplantation - Liver transplantation,2006,0.0
March,Cataract surgery,2006,0.0
March,Mastoidectomy,2006,0.0
March,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,664.2
March,Stent Insertion - Aortic valve replacement,2006,5169.6
March,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1438.2
March,Cardiac Catheterization - Aortic valve replacement,2006,379.8
March,Varicose Vein Ligation and Stripping - PDA ligation,2006,3553.2
March,Appendectomy - Exploratory Laparotomy,2006,2538.9
March,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,887.4
March,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
March,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,426.6
March,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,837.6
March,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,46.5
March,Prostatectomy - Prostatectomy,2006,20.8
March,Hysterectomy - Total abdominal hysterectomy,2006,1606.4
March,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3718.2
March,Hip Replacement Surgery - Total hip replacement,2006,677.6
March,Knee Replacement Surgery - Total knee replacement,2006,4809.3
March,Partial Mastectomy - Mastectomy,2006,0.0
March,Total Mastectomy - Mastectomy,2006,0.0
March,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,53.9
March,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,454.3
March,Gastrectomy - Total gastrectomy,2006,149.7
March,Liver Resection - Wedge resection of liver,2006,68.4
March,Hepatic Embolization - Lobectomy of liver,2006,1319.5
March,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
March,Congenital Heart Defect Surgery - PDA ligatio,2006,1621.2
March,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
March,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
March,Hemorrhoidectomy,2006,0.0
March,Endoscopic Spine Surgery - Laminectomy,2006,203.2
March,General Spine Surgery - Laminectomy,2006,3037.6
March,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
March,General Sinus Surgery - Mastoidectomy,2006,0.0
March,Stem Cell Transplantation - Liver transplantation,2006,0.0
April,Cataract surgery,2006,0.0
April,Mastoidectomy,2006,0.0
April,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,586.8
April,Stent Insertion - Aortic valve replacement,2006,4689.0
April,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1366.8
April,Cardiac Catheterization - Aortic valve replacement,2006,279.0
April,Varicose Vein Ligation and Stripping - PDA ligation,2006,2984.8
April,Appendectomy - Exploratory Laparotomy,2006,2500.5
April,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,918.0
April,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
April,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,408.3
April,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,707.1
April,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,39.0
April,Prostatectomy - Prostatectomy,2006,16.0
April,Hysterectomy - Total abdominal hysterectomy,2006,1431.0
April,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3446.7
April,Hip Replacement Surgery - Total hip replacement,2006,623.7
April,Knee Replacement Surgery - Total knee replacement,2006,4423.4
April,Partial Mastectomy - Mastectomy,2006,0.0
April,Total Mastectomy - Mastectomy,2006,0.0
April,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,36.3
April,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,378.4
April,Gastrectomy - Total gastrectomy,2006,149.2
April,Liver Resection - Wedge resection of liver,2006,63.6
April,Hepatic Embolization - Lobectomy of liver,2006,1206.5
April,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
April,Congenital Heart Defect Surgery - PDA ligatio,2006,1453.2
April,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
April,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
April,Hemorrhoidectomy,2006,0.0
April,Endoscopic Spine Surgery - Laminectomy,2006,181.2
April,General Spine Surgery - Laminectomy,2006,2925.6
April,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
April,General Sinus Surgery - Mastoidectomy,2006,0.0
April,Stem Cell Transplantation - Liver transplantation,2006,0.0
May,Cataract surgery,2006,0.0
May,Mastoidectomy,2006,0.0
May,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,631.8
May,Stent Insertion - Aortic valve replacement,2006,5232.6
May,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1356.6
May,Cardiac Catheterization - Aortic valve replacement,2006,295.2
May,Varicose Vein Ligation and Stripping - PDA ligation,2006,3228.4
May,Appendectomy - Exploratory Laparotomy,2006,2728.8
May,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,905.4
May,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
May,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,421.2
May,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,809.1
May,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,42.6
May,Prostatectomy - Prostatectomy,2006,17.8
May,Hysterectomy - Total abdominal hysterectomy,2006,1550.6
May,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3583.8
May,Hip Replacement Surgery - Total hip replacement,2006,603.9
May,Knee Replacement Surgery - Total knee replacement,2006,4584.9
May,Partial Mastectomy - Mastectomy,2006,0.0
May,Total Mastectomy - Mastectomy,2006,0.0
May,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,48.4
May,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,433.4
May,Gastrectomy - Total gastrectomy,2006,149.5
May,Liver Resection - Wedge resection of liver,2006,65.4
May,Hepatic Embolization - Lobectomy of liver,2006,1248.0
May,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
May,Congenital Heart Defect Surgery - PDA ligatio,2006,1414.0
May,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
May,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
May,Hemorrhoidectomy,2006,0.0
May,Endoscopic Spine Surgery - Laminectomy,2006,224.0
May,General Spine Surgery - Laminectomy,2006,3156.0
May,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
May,General Sinus Surgery - Mastoidectomy,2006,0.0
May,Stem Cell Transplantation - Liver transplantation,2006,0.0
June,Cataract surgery,2006,0.0
June,Mastoidectomy,2006,0.0
June,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,631.8
June,Stent Insertion - Aortic valve replacement,2006,4926.6
June,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1366.8
June,Cardiac Catheterization - Aortic valve replacement,2006,297.0
June,Varicose Vein Ligation and Stripping - PDA ligation,2006,3480.4
June,Appendectomy - Exploratory Laparotomy,2006,2817.6
June,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,916.2
June,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
June,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,463.2
June,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,813.6
June,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,43.4
June,Prostatectomy - Prostatectomy,2006,18.2
June,Hysterectomy - Total abdominal hysterectomy,2006,1500.0
June,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3430.8
June,Hip Replacement Surgery - Total hip replacement,2006,672.1
June,Knee Replacement Surgery - Total knee replacement,2006,4250.0
June,Partial Mastectomy - Mastectomy,2006,0.0
June,Total Mastectomy - Mastectomy,2006,0.0
June,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,44.0
June,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,402.6
June,Gastrectomy - Total gastrectomy,2006,151.8
June,Liver Resection - Wedge resection of liver,2006,68.4
June,Hepatic Embolization - Lobectomy of liver,2006,1314.0
June,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
June,Congenital Heart Defect Surgery - PDA ligatio,2006,1391.6
June,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
June,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
June,Hemorrhoidectomy,2006,0.0
June,Endoscopic Spine Surgery - Laminectomy,2006,204.8
June,General Spine Surgery - Laminectomy,2006,3254.4
June,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
June,General Sinus Surgery - Mastoidectomy,2006,0.0
June,Stem Cell Transplantation - Liver transplantation,2006,0.0
July,Cataract surgery,2006,0.0
July,Mastoidectomy,2006,0.0
July,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,509.4
July,Stent Insertion - Aortic valve replacement,2006,4890.6
July,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1315.8
July,Cardiac Catheterization - Aortic valve replacement,2006,349.2
July,Varicose Vein Ligation and Stripping - PDA ligation,2006,3911.6
July,Appendectomy - Exploratory Laparotomy,2006,2703.9
July,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,910.8
July,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
July,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,461.7
July,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,936.0
July,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,43.5
July,Prostatectomy - Prostatectomy,2006,20.6
July,Hysterectomy - Total abdominal hysterectomy,2006,1742.6
July,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3332.1
July,Hip Replacement Surgery - Total hip replacement,2006,617.1
July,Knee Replacement Surgery - Total knee replacement,2006,3763.8
July,Partial Mastectomy - Mastectomy,2006,0.0
July,Total Mastectomy - Mastectomy,2006,0.0
July,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,47.3
July,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,394.9
July,Gastrectomy - Total gastrectomy,2006,156.1
July,Liver Resection - Wedge resection of liver,2006,68.0
July,Hepatic Embolization - Lobectomy of liver,2006,1295.0
July,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
July,Congenital Heart Defect Surgery - PDA ligatio,2006,1542.8
July,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
July,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
July,Hemorrhoidectomy,2006,0.0
July,Endoscopic Spine Surgery - Laminectomy,2006,212.8
July,General Spine Surgery - Laminectomy,2006,3237.6
July,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
July,General Sinus Surgery - Mastoidectomy,2006,0.0
July,Stem Cell Transplantation - Liver transplantation,2006,0.0
August,Cataract surgery,2006,0.0
August,Mastoidectomy,2006,0.0
August,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,563.4
August,Stent Insertion - Aortic valve replacement,2006,5067.0
August,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1448.4
August,Cardiac Catheterization - Aortic valve replacement,2006,374.4
August,Varicose Vein Ligation and Stripping - PDA ligation,2006,6120.8
August,Appendectomy - Exploratory Laparotomy,2006,2712.6
August,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,954.0
August,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
August,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,472.2
August,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,1125.9
August,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,36.3
August,Prostatectomy - Prostatectomy,2006,17.4
August,Hysterectomy - Total abdominal hysterectomy,2006,1845.4
August,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3515.4
August,Hip Replacement Surgery - Total hip replacement,2006,601.7
August,Knee Replacement Surgery - Total knee replacement,2006,3619.3
August,Partial Mastectomy - Mastectomy,2006,0.0
August,Total Mastectomy - Mastectomy,2006,0.0
August,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,36.3
August,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,437.8
August,Gastrectomy - Total gastrectomy,2006,154.2
August,Liver Resection - Wedge resection of liver,2006,64.4
August,Hepatic Embolization - Lobectomy of liver,2006,1358.5
August,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
August,Congenital Heart Defect Surgery - PDA ligatio,2006,1475.6
August,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
August,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
August,Hemorrhoidectomy,2006,0.0
August,Endoscopic Spine Surgery - Laminectomy,2006,216.0
August,General Spine Surgery - Laminectomy,2006,3238.8
August,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
August,General Sinus Surgery - Mastoidectomy,2006,0.0
August,Stem Cell Transplantation - Liver transplantation,2006,0.0
September,Cataract surgery,2006,0.0
September,Mastoidectomy,2006,0.0
September,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,455.4
September,Stent Insertion - Aortic valve replacement,2006,4777.2
September,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1173.0
September,Cardiac Catheterization - Aortic valve replacement,2006,226.8
September,Varicose Vein Ligation and Stripping - PDA ligation,2006,5370.4
September,Appendectomy - Exploratory Laparotomy,2006,2658.6
September,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,842.4
September,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
September,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,490.2
September,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,823.8
September,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,39.0
September,Prostatectomy - Prostatectomy,2006,17.0
September,Hysterectomy - Total abdominal hysterectomy,2006,1558.2
September,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3505.5
September,Hip Replacement Surgery - Total hip replacement,2006,552.2
September,Knee Replacement Surgery - Total knee replacement,2006,3012.4
September,Partial Mastectomy - Mastectomy,2006,0.0
September,Total Mastectomy - Mastectomy,2006,0.0
September,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,30.8
September,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,420.2
September,Gastrectomy - Total gastrectomy,2006,136.6
September,Liver Resection - Wedge resection of liver,2006,63.0
September,Hepatic Embolization - Lobectomy of liver,2006,1254.5
September,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
September,Congenital Heart Defect Surgery - PDA ligatio,2006,1125.6
September,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
September,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
September,Hemorrhoidectomy,2006,0.0
September,Endoscopic Spine Surgery - Laminectomy,2006,172.0
September,General Spine Surgery - Laminectomy,2006,2909.6
September,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
September,General Sinus Surgery - Mastoidectomy,2006,0.0
September,Stem Cell Transplantation - Liver transplantation,2006,0.0
October,Cataract surgery,2006,0.0
October,Mastoidectomy,2006,0.0
October,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,513.0
October,Stent Insertion - Aortic valve replacement,2006,4710.6
October,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1142.4
October,Cardiac Catheterization - Aortic valve replacement,2006,201.6
October,Varicose Vein Ligation and Stripping - PDA ligation,2006,4992.4
October,Appendectomy - Exploratory Laparotomy,2006,2468.7
October,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,797.4
October,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
October,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,435.0
October,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,786.0
October,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,42.6
October,Prostatectomy - Prostatectomy,2006,22.4
October,Hysterectomy - Total abdominal hysterectomy,2006,1482.6
October,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3466.5
October,Hip Replacement Surgery - Total hip replacement,2006,540.1
October,Knee Replacement Surgery - Total knee replacement,2006,3938.9
October,Partial Mastectomy - Mastectomy,2006,0.0
October,Total Mastectomy - Mastectomy,2006,0.0
October,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,26.4
October,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,370.7
October,Gastrectomy - Total gastrectomy,2006,134.9
October,Liver Resection - Wedge resection of liver,2006,59.2
October,Hepatic Embolization - Lobectomy of liver,2006,1182.5
October,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
October,Congenital Heart Defect Surgery - PDA ligatio,2006,1201.2
October,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
October,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
October,Hemorrhoidectomy,2006,0.0
October,Endoscopic Spine Surgery - Laminectomy,2006,174.0
October,General Spine Surgery - Laminectomy,2006,2894.8
October,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
October,General Sinus Surgery - Mastoidectomy,2006,0.0
October,Stem Cell Transplantation - Liver transplantation,2006,0.0
November,Cataract surgery,2006,0.0
November,Mastoidectomy,2006,0.0
November,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,554.4
November,Stent Insertion - Aortic valve replacement,2006,5227.2
November,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1586.1
November,Cardiac Catheterization - Aortic valve replacement,2006,291.6
November,Varicose Vein Ligation and Stripping - PDA ligation,2006,4054.4
November,Appendectomy - Exploratory Laparotomy,2006,2289.6
November,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,772.2
November,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
November,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,412.2
November,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,720.9
November,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,45.6
November,Prostatectomy - Prostatectomy,2006,19.3
November,Hysterectomy - Total abdominal hysterectomy,2006,1469.6
November,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3500.7
November,Hip Replacement Surgery - Total hip replacement,2006,675.4
November,Knee Replacement Surgery - Total knee replacement,2006,4824.6
November,Partial Mastectomy - Mastectomy,2006,0.0
November,Total Mastectomy - Mastectomy,2006,0.0
November,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,30.8
November,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,381.7
November,Gastrectomy - Total gastrectomy,2006,148.0
November,Liver Resection - Wedge resection of liver,2006,70.6
November,Hepatic Embolization - Lobectomy of liver,2006,1336.0
November,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
November,Congenital Heart Defect Surgery - PDA ligatio,2006,1377.6
November,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
November,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
November,Hemorrhoidectomy,2006,0.0
November,Endoscopic Spine Surgery - Laminectomy,2006,159.6
November,General Spine Surgery - Laminectomy,2006,3270.0
November,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
November,General Sinus Surgery - Mastoidectomy,2006,0.0
November,Stem Cell Transplantation - Liver transplantation,2006,0.0
December,Cataract surgery,2006,0.0
December,Mastoidectomy,2006,0.0
December,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2006,588.6
December,Stent Insertion - Aortic valve replacement,2006,5184.0
December,Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,1473.9
December,Cardiac Catheterization - Aortic valve replacement,2006,266.4
December,Varicose Vein Ligation and Stripping - PDA ligation,2006,4172.0
December,Appendectomy - Exploratory Laparotomy,2006,2247.0
December,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2006,867.6
December,Cholecystectomy - Laparoscopic cholecystectomy,2006,0.0
December,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2006,416.7
December,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2006,764.4
December,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2006,44.3
December,Prostatectomy - Prostatectomy,2006,20.8
December,Hysterectomy - Total abdominal hysterectomy,2006,1506.8
December,Cesarean Section (C-Section) - Low cervical cesarean section,2006,3314.4
December,Hip Replacement Surgery - Total hip replacement,2006,668.8
December,Knee Replacement Surgery - Total knee replacement,2006,6092.8
December,Partial Mastectomy - Mastectomy,2006,0.0
December,Total Mastectomy - Mastectomy,2006,0.0
December,Skull Base Surgery - Craniotomy and removal of brain tumor,2006,34.1
December,Brain Tumor Surgery - Craniotomy and removal of brain tumor ,2006,393.8
December,Gastrectomy - Total gastrectomy,2006,142.5
December,Liver Resection - Wedge resection of liver,2006,60.6
December,Hepatic Embolization - Lobectomy of liver,2006,1194.5
December,Thyroid Surgery - Bilateral thyroidectomy,2006,0.0
December,Congenital Heart Defect Surgery - PDA ligatio,2006,1506.4
December,Coronary Artery Bypass Graft -  (Coronary Artery Bypass Graft - Graft replacement of Aorta,2006,0.0
December,Cleft Lip and Palate Surgery - Mastoidectomy,2006,0.0
December,Hemorrhoidectomy,2006,0.0
December,Endoscopic Spine Surgery - Laminectomy,2006,157.2
December,General Spine Surgery - Laminectomy,2006,3402.4
December,Endoscopic Sinus Surgery - Mastoidectomy,2006,0.0
December,General Sinus Surgery - Mastoidectomy,2006,0.0
December,Stem Cell Transplantation - Liver transplantation,2006,0.0
January,Cataract surgery,2007,0.0
January,Mastoidectomy,2007,0.0
January,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement,2007,693.0
January,Stent Insertion - Aortic valve replacement,2007,6017.4
January,Coronary Artery Bypass Graft - Graft replacement of Aorta,2007,1683.0
January,Cardiac Catheterization - Aortic valve replacement,2007,531.0
January,Varicose Vein Ligation and Stripping - PDA ligation,2007,6160.0
January,Appendectomy - Exploratory Laparotomy,2007,2453.1
January,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement",2007,905.4
January,Cholecystectomy - Laparoscopic cholecystectomy,2007,0.0
January,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy,2007,486.6
January,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy,2007,1207.8
January,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate,2007,56.8
January,Prostatectomy - Prostatectomy,2007,25.7
