Hospital Location,Insurance,Surgery,Category,Unit,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 22,Reference Surgery
Busan,Total,Hepatic Embolization - Lobectomy of liver - 간색전술,Surgery Received Person[Person],Person,1497.0,1562.0,1458.0,1473.0,1531.0,1577.0,1712.0,1666.0,1650.0,1663.0,1808,1817,1809,1873,1842,1774,1761,, Lobectomy of liver 
Busan,Total,Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함),Surgery Received Person[Person],Person,2201.0,2594.0,2655.0,2972.0,3433.0,3906.0,5636.0,5512.0,3880.0,2956.0,3042,2864,2985,3199,3061,3477,3309,, Bilateral thyroidectomy 
Busan,Total,Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술,Surgery Received Person[Person],Person,537.0,489.0,487.0,300.0,291.0,631.0,385.0,311.0,268.0,,,,,,,,,, PDA ligation 
Busan,Total,"Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)""",Surgery Received Person[Person],Person,,,,,,,,,,240.0,266,332,278,259,386,400,379,, Aortic valve replacement 
Busan,Total,Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술,Surgery Received Person[Person],Person,37.0,26.0,26.0,90.0,95.0,102.0,111.0,120.0,90.0,100.0,103,83,80,60,48,60,71,, Bilateral thyroidectomy 
Busan,Total,Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술,Surgery Received Person[Person],Person,355.0,387.0,206.0,119.0,177.0,122.0,85.0,78.0,71.0,53.0,136,287,482,394,498,707,692,, Laminectomy 
Busan,Total,General Spine Surgery - Laminectomy - 일반 척추수술,Surgery Received Person[Person],Person,6445.0,8006.0,8478.0,10609.0,12659.0,12061.0,14278.0,14082.0,13115.0,12416.0,12892,13290,13525,14618,16070,16526,16396,, Laminectomy 
Busan,Total,Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술,Surgery Received Person[Person],Person,,,,4095.0,4218.0,4092.0,4561.0,4550.0,5205.0,4764.0,4769,4561,5129,5068,2644,2902,3177,, Bilateral thyroidectomy 
Busan,Total,General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술,Surgery Received Person[Person],Person,2319.0,2439.0,2422.0,766.0,546.0,467.0,452.0,383.0,356.0,324.0,379,502,511,145,152,95,109,, Bilateral thyroidectomy 
Busan,Total,Stem Cell Transplantation - Liver transplantation - 줄기세포이식술,Surgery Received Person[Person],Person,,,,,,,,,,,,,,,,,124,, Liver transplantation 
Incheon,Total,Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이),Surgery Received Person[Person],Person,1783.0,2092.0,1829.0,1826.0,1801.0,1897.0,2287.0,2252.0,2111.0,1868.0,2042,2244,2174,2197,1690,1315,1091,, Bilateral thyroidectomy 
Incheon,Total,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술,Surgery Received Person[Person],Person,118.0,157.0,126.0,183.0,178.0,175.0,213.0,321.0,391.0,360.0,326,366,436,541,414,426,379,, Aortic valve replacement 
Incheon,Total,Stent Insertion - Aortic valve replacement - 스텐트삽입술,Surgery Received Person[Person],Person,1122.0,1182.0,1162.0,1363.0,1434.0,1536.0,1750.0,2176.0,2528.0,2617.0,2946,3632,3699,3726,3489,3627,3498,, Aortic valve replacement 
Incheon,Total,Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술,Surgery Received Person[Person],Person,80.0,64.0,73.0,73.0,61.0,60.0,81.0,74.0,70.0,82.0,73,52,91,105,229,261,253,, Graft replacement of Aorta 
Incheon,Total,Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술,Surgery Received Person[Person],Person,48.0,33.0,53.0,51.0,45.0,39.0,41.0,34.0,44.0,47.0,43,88,79,66,96,120,125,, Aortic valve replacement 
Incheon,Total,Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술,Surgery Received Person[Person],Person,1047.0,1570.0,190.0,1626.0,2031.0,1990.0,1951.0,1995.0,1978.0,1697.0,1563,1611,1375,1363,1135,1000,999,, PDA ligation 
Incheon,Total,Appendectomy - Exploratory Laparotomy - 충수절제술,Surgery Received Person[Person],Person,4314.0,4488.0,4388.0,5238.0,4829.0,4654.0,4797.0,4885.0,4849.0,4712.0,4737,4328,4231,4172,3983,4000,3680,, Exploratory Laparotomy 
Incheon,Total,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정",Surgery Received Person[Person],Person,144.0,142.0,199.0,185.0,191.0,263.0,367.0,434.0,447.0,426.0,468,469,462,459,510,645,676,, Aortic valve replacement 
Incheon,Total,Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함),Surgery Received Person[Person],Person,1235.0,1319.0,1584.0,1966.0,2198.0,2526.0,2894.0,3012.0,3127.0,3216.0,3432,3476,3634,3959,4101,4351,4080,, Laparoscopic cholecystectomy 
Incheon,Total,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술,Surgery Received Person[Person],Person,653.0,774.0,912.0,1019.0,1174.0,1267.0,1245.0,1218.0,1581.0,1693.0,2059,2294,2265,2448,2465,2890,2819,, Pylorus preserving pancreaticoduodenectomy 
Incheon,Total,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술,Surgery Received Person[Person],Person,1488.0,1510.0,1420.0,1588.0,1549.0,1366.0,1487.0,1523.0,1489.0,1513.0,1485,1501,1476,1485,1301,1385,1360,, Exploratory laparotomy 
Incheon,Total,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술,Surgery Received Person[Person],Person,129.0,123.0,125.0,135.0,160.0,193.0,410.0,415.0,465.0,428.0,551,669,1015,620,671,636,584,, Transurethral resection of prostate 
Incheon,Total,Prostatectomy - Prostatectomy - 전립선 절제술,Surgery Received Person[Person],Person,74.0,51.0,55.0,59.0,38.0,44.0,59.0,71.0,69.0,54.0,81,66,53,51,56,33,26,, Prostatectomy 
Incheon,Total,Hysterectomy - Total abdominal hysterectomy - 자궁절제술,Surgery Received Person[Person],Person,4962.0,4532.0,4942.0,5391.0,4403.0,3291.0,3288.0,2896.0,2806.0,2647.0,2619,2616,2579,2606,2517,2566,2394,, Total abdominal hysterectomy 
Incheon,Total,Cesarean Section - Low cervical cesarean section - 제왕절개수술,Surgery Received Person[Person],Person,6887.0,7764.0,7459.0,7159.0,7707.0,7705.0,8526.0,7751.0,8087.0,8357.0,8221,7447,7442,7452,7040,6911,7092,, Low cervical cesarean section 
Incheon,Total,Hip Replacement Surgery - Total hip replacement - 고관절 치환술,Surgery Received Person[Person],Person,295.0,338.0,379.0,369.0,438.0,425.0,439.0,510.0,1398.0,1498.0,1451,1465,1616,1656,1616,1584,1523,, Total hip replacement 
Incheon,Total,Knee Replacement Surgery - Total knee replacement - 슬관절 치환술,Surgery Received Person[Person],Person,2464.0,2540.0,2830.0,3415.0,3516.0,3074.0,3275.0,3177.0,3051.0,3387.0,3890,3649,3825,4377,3480,3562,3608,, Total knee replacement 
Incheon,Total,Partial Mastectomy - Mastectomy - 유방 부분 절제술,Surgery Received Person[Person],Person,367.0,403.0,535.0,195.0,714.0,675.0,781.0,840.0,892.0,878.0,838,1181,1382,1381,1521,1744,1721,, Mastectomy 
Incheon,Total,Total Mastectomy - Mastectomy - 유방 전 절제술,Surgery Received Person[Person],Person,684.0,563.0,542.0,885.0,541.0,581.0,779.0,759.0,816.0,877.0,693,790,434,509,654,672,730,, Mastectomy 
Incheon,Total,Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술,Surgery Received Person[Person],Person,15.0,13.0,9.0,17.0,15.0,10.0,18.0,9.0,18.0,16.0,15,17,16,19,20,14,21,, Craniotomy and removal of brain tumor 
Incheon,Total,Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술,Surgery Received Person[Person],Person,85.0,127.0,99.0,138.0,140.0,169.0,189.0,216.0,183.0,224.0,235,225,193,198,184,251,277,, Craniotomy and removal of brain tumor 
Incheon,Total,Gastrectomy - Total gastrectomy - 위 절제술,Surgery Received Person[Person],Person,504.0,520.0,515.0,623.0,652.0,660.0,852.0,676.0,724.0,720.0,742,745,669,637,595,673,634,, Total gastrectomy 
Incheon,Total,Liver Resection - Wedge resection of liver - 간 부분 절제술,Surgery Received Person[Person],Person,119.0,159.0,157.0,215.0,174.0,255.0,317.0,272.0,317.0,297.0,291,280,314,267,328,332,293,, Wedge resection of liver 
Incheon,Total,Hepatic Embolization - Lobectomy of liver - 간색전술,Surgery Received Person[Person],Person,445.0,495.0,524.0,610.0,663.0,651.0,700.0,814.0,744.0,812.0,922,947,1022,1097,1115,1195,1105,, Lobectomy of liver 
Incheon,Total,Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함),Surgery Received Person[Person],Person,646.0,721.0,844.0,1079.0,1373.0,1723.0,2061.0,1985.0,1549.0,1271.0,1327,1324,1452,1469,1151,1303,1232,, Bilateral thyroidectomy 
Incheon,Total,Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술,Surgery Received Person[Person],Person,132.0,114.0,113.0,126.0,163.0,208.0,175.0,159.0,142.0,,,,,,,,,, PDA ligation 
Incheon,Total,"Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)""",Surgery Received Person[Person],Person,,,,,,,,,,134.0,123,131,157,172,342,371,319,, Aortic valve replacement 
Incheon,Total,Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술,Surgery Received Person[Person],Person,5.0,6.0,5.0,12.0,15.0,21.0,14.0,12.0,10.0,11.0,10,10,9,10,5,3,3,, Bilateral thyroidectomy 
Incheon,Total,Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술,Surgery Received Person[Person],Person,141.0,65.0,20.0,18.0,37.0,46.0,15.0,16.0,83.0,73.0,160,310,686,683,549,1020,1222,, Laminectomy 
Incheon,Total,General Spine Surgery - Laminectomy - 일반 척추수술,Surgery Received Person[Person],Person,4126.0,6363.0,7014.0,8732.0,9905.0,8569.0,9124.0,9404.0,9233.0,9269.0,10232,10419,10898,10942,10863,10702,10776,, Laminectomy 
Incheon,Total,Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술,Surgery Received Person[Person],Person,,,,2509.0,3033.0,3191.0,3506.0,3868.0,3886.0,3696.0,3709,3667,4068,3442,1901,1897,1819,, Bilateral thyroidectomy 
Incheon,Total,General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술,Surgery Received Person[Person],Person,1407.0,1454.0,1388.0,547.0,567.0,575.0,547.0,705.0,514.0,400.0,390,507,562,179,157,116,94,, Bilateral thyroidectomy 
Incheon,Total,Stem Cell Transplantation - Liver transplantation - 줄기세포이식술,Surgery Received Person[Person],Person,,,,,,,,,,,,,,,,,73,, Liver transplantation 
Ulsan,Total,Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이),Surgery Received Person[Person],Person,1154.0,1035.0,1278.0,1252.0,1049.0,1036.0,1059.0,1217.0,1202.0,1128.0,1421,1541,1589,1632,1362,770,689,, Bilateral thyroidectomy 
Ulsan,Total,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술,Surgery Received Person[Person],Person,131.0,198.0,182.0,142.0,183.0,191.0,184.0,193.0,241.0,181.0,196,222,277,415,434,449,496,, Aortic valve replacement 
Ulsan,Total,Stent Insertion - Aortic valve replacement - 스텐트삽입술,Surgery Received Person[Person],Person,1290.0,1212.0,999.0,953.0,1044.0,1108.0,1104.0,1104.0,1260.0,1153.0,1474,1545,1512,1676,1731,1661,1534,, Aortic valve replacement 
Ulsan,Total,Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술,Surgery Received Person[Person],Person,69.0,48.0,32.0,41.0,42.0,35.0,40.0,26.0,15.0,49.0,46,68,48,48,36,45,49,, Graft replacement of Aorta 
Ulsan,Total,Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술,Surgery Received Person[Person],Person,2.0,4.0,5.0,7.0,2.0,1.0,13.0,8.0,11.0,9.0,10,7,9,9,2,11,16,, Aortic valve replacement 
Ulsan,Total,Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술,Surgery Received Person[Person],Person,183.0,198.0,77.0,204.0,228.0,207.0,260.0,544.0,649.0,623.0,666,608,638,880,1053,1069,963,, PDA ligation 
Ulsan,Total,Appendectomy - Exploratory Laparotomy - 충수절제술,Surgery Received Person[Person],Person,2495.0,2471.0,2346.0,2522.0,2552.0,2442.0,2555.0,2511.0,2502.0,2451.0,2253,2122,2354,2105,1744,1796,1829,, Exploratory Laparotomy 
Ulsan,Total,"Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정",Surgery Received Person[Person],Person,49.0,92.0,87.0,87.0,33.0,50.0,115.0,134.0,118.0,152.0,179,229,193,201,219,277,309,, Aortic valve replacement 
Ulsan,Total,Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함),Surgery Received Person[Person],Person,786.0,826.0,902.0,1062.0,1261.0,1327.0,1473.0,1720.0,1612.0,1703.0,1844,1950,2034,2214,2180,2298,2425,, Laparoscopic cholecystectomy 
Ulsan,Total,Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술,Surgery Received Person[Person],Person,336.0,319.0,345.0,401.0,423.0,380.0,377.0,531.0,554.0,491.0,605,649,673,632,694,1126,1172,, Pylorus preserving pancreaticoduodenectomy 
Ulsan,Total,Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술,Surgery Received Person[Person],Person,759.0,686.0,703.0,719.0,690.0,630.0,663.0,616.0,596.0,631.0,553,568,613,556,474,514,542,, Exploratory laparotomy 
Ulsan,Total,Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술,Surgery Received Person[Person],Person,163.0,173.0,93.0,116.0,130.0,129.0,143.0,148.0,102.0,121.0,156,120,102,190,154,192,216,, Transurethral resection of prostate 
Ulsan,Total,Prostatectomy - Prostatectomy - 전립선 절제술,Surgery Received Person[Person],Person,7.0,21.0,15.0,26.0,20.0,12.0,12.0,25.0,38.0,20.0,12,10,6,70,11,13,24,, Prostatectomy 
Ulsan,Total,Hysterectomy - Total abdominal hysterectomy - 자궁절제술,Surgery Received Person[Person],Person,2460.0,2477.0,2502.0,2408.0,1899.0,1381.0,1329.0,1359.0,1253.0,1269.0,1137,1098,1042,1118,1019,1068,1059,, Total abdominal hysterectomy 
Ulsan,Total,Cesarean Section - Low cervical cesarean section - 제왕절개수술,Surgery Received Person[Person],Person,4007.0,4558.0,4265.0,4162.0,4347.0,4485.0,4662.0,4442.0,4653.0,4861.0,4544,4225,3975,3607,3451,3400,3295,, Low cervical cesarean section 
Ulsan,Total,Hip Replacement Surgery - Total hip replacement - 고관절 치환술,Surgery Received Person[Person],Person,99.0,126.0,102.0,121.0,140.0,140.0,130.0,149.0,339.0,364.0,348,376,361,387,413,432,465,, Total hip replacement 
Ulsan,Total,Knee Replacement Surgery - Total knee replacement - 슬관절 치환술,Surgery Received Person[Person],Person,391.0,594.0,546.0,657.0,687.0,648.0,727.0,733.0,745.0,824.0,949,884,986,1131,1048,1045,1172,, Total knee replacement 
Ulsan,Total,Partial Mastectomy - Mastectomy - 유방 부분 절제술,Surgery Received Person[Person],Person,125.0,143.0,99.0,125.0,569.0,407.0,376.0,399.0,400.0,452.0,522,552,630,776,708,718,747,, Mastectomy 
Ulsan,Total,Total Mastectomy - Mastectomy - 유방 전 절제술,Surgery Received Person[Person],Person,479.0,353.0,316.0,329.0,122.0,116.0,146.0,192.0,202.0,188.0,314,367,169,226,252,232,318,, Mastectomy 
Ulsan,Total,Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술,Surgery Received Person[Person],Person,1.0,2.0,1.0,0.0,1.0,0.0,1.0,,,,-,-,-,-,,-,-,, Craniotomy and removal of brain tumor 
Ulsan,Total,Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술,Surgery Received Person[Person],Person,37.0,33.0,42.0,38.0,35.0,33.0,43.0,34.0,36.0,54.0,58,53,42,26,45,60,66,, Craniotomy and removal of brain tumor 
Ulsan,Total,Gastrectomy - Total gastrectomy - 위 절제술,Surgery Received Person[Person],Person,240.0,264.0,245.0,278.0,298.0,268.0,271.0,282.0,301.0,276.0,290,285,287,251,263,237,237,, Total gastrectomy 
Ulsan,Total,Liver Resection - Wedge resection of liver - 간 부분 절제술,Surgery Received Person[Person],Person,49.0,57.0,78.0,75.0,78.0,87.0,94.0,100.0,132.0,111.0,120,93,125,104,97,105,110,, Wedge resection of liver 
Ulsan,Total,Hepatic Embolization - Lobectomy of liver - 간색전술,Surgery Received Person[Person],Person,270.0,324.0,316.0,346.0,334.0,318.0,366.0,366.0,420.0,392.0,355,407,423,329,355,399,391,, Lobectomy of liver 
Ulsan,Total,Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함),Surgery Received Person[Person],Person,293.0,358.0,398.0,500.0,548.0,600.0,670.0,760.0,701.0,456.0,563,514,472,424,684,793,770,, Bilateral thyroidectomy 
Ulsan,Total,Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술,Surgery Received Person[Person],Person,37.0,43.0,41.0,57.0,52.0,138.0,49.0,68.0,57.0,,,,,,,,,, PDA ligation 
Ulsan,Total,"Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)""",Surgery Received Person[Person],Person,,,,,,,,,,59.0,64,72,44,59,97,92,111,, Aortic valve replacement 
Ulsan,Total,Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술,Surgery Received Person[Person],Person,1.0,1.0,0.0,2.0,0.0,3.0,2.0,,1.0,3.0,6,7,2,1,1,2,3,, Bilateral thyroidectomy 
Ulsan,Total,Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술,Surgery Received Person[Person],Person,81.0,63.0,65.0,18.0,8.0,6.0,0.0,,,6.0,4,33,17,12,11,156,176,, Laminectomy 
Ulsan,Total,General Spine Surgery - Laminectomy - 일반 척추수술,Surgery Received Person[Person],Person,1742.0,1922.0,2139.0,3188.0,3510.0,3240.0,3364.0,3237.0,3189.0,3025.0,2993,2852,2736,2672,2627,2558,2681,, Laminectomy 
Ulsan,Total,Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술,Surgery Received Person[Person],Person,,,,1831.0,1755.0,1566.0,1610.0,1798.0,1935.0,1881.0,1986,2103,2138,2117,969,1000,1059,, Bilateral thyroidectomy 
Ulsan,Total,General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술,Surgery Received Person[Person],Person,622.0,661.0,777.0,224.0,395.0,625.0,113.0,175.0,516.0,524.0,81,66,90,62,31,34,38,, Bilateral thyroidectomy 
Ulsan,Total,Stem Cell Transplantation - Liver transplantation - 줄기세포이식술,Surgery Received Person[Person],Person,,,,,,,,,,,,,,,,,53,, Liver transplantation 
Gyeonggi,Total,Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이),Surgery Received Person[Person],Person,9198.0,9058.0,8707.0,9077.0,8355.0,8690.0,9147.0,9094.0,8247.0,7551.0,8321,7850,7571,7915,5791,3799,3512,, Bilateral thyroidectomy 
Gyeonggi,Total,PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술,Surgery Received Person[Person],Person,487.0,521.0,692.0,757.0,796.0,818.0,942.0,1017.0,1049.0,980.0,1142,1199,1293,1509,1544,1882,2112,, Aortic valve replacement 
Gyeonggi,Total,Stent Insertion - Aortic valve replacement - 스텐트삽입술,Surgery Received Person[Person],Person,5390.0,6044.0,6387.0,6982.0,7916.0,8238.0,8908.0,8842.0,9401.0,9473.0,10461,11117,11888,12538,12075,13803,14176,, Aortic valve replacement 
Gyeonggi,Total,Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술,Surgery Received Person[Person],Person,553.0,608.0,604.0,669.0,590.0,522.0,587.0,573.0,688.0,837.0,840,838,820,897,858,946,1031,, Graft replacement of Aorta 
Gyeonggi,Total,Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술,Surgery Received Person[Person],Person,338.0,359.0,448.0,453.0,437.0,379.0,387.0,541.0,458.0,437.0,523,444,328,361,424,491,453,, Aortic valve replacement 
Gyeonggi,Total,Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술,Surgery Received Person[Person],Person,3349.0,4529.0,722.0,4728.0,5587.0,5285.0,5487.0,4846.0,4406.0,3412.0,3269,3194,3149,3474,2833,3074,2914,, PDA ligation 
