"Hospital Location","Insurance","Surgery","Category","Unit","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Total","Total","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","17453","19421","21321","25686","28789","29384","32669","35129","37200","39287","42835","45949","51146","54498","58091","76967","79916",
"Total","Total","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","33849","33770","33213","34433","35595","33974","34562","35076","34443","34253","34918","34583","34900","34470","31038","32833","33373",
"Total","Total","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","34298","34374","33707","34996","36114","34415","35039","35570","34954","34976","37883","39106","36575","35017","31743","33715","34239",
"Total","Total","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","5087","5151","5648","6527","7159","6738","9741","9896","10164","9722","11013","11150","11519","11980","11326","11897","12692",
"Total","Total","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","5136","5252","5714","6610","7253","6799","9875","10075","10354","9933","11160","11320","11663","12196","11563","12244","13197",
"Total","Total","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","2292","2679","2714","3001","3225","2989","2611","2606","2366","2041","1996","2098","2079","2211","1826","1507","1308",
"Total","Total","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","2293","2692","2717","3015","3249","2989","2616","2607","2370","2044","1996","2102","2084","2227","1853","1545","1380",
"Total","Total","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","96371","96588","98685","104048","80992","50060","49382","46725","43976","42445","43447","41156","41707","41702","39236","40075","39228",
"Total","Total","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","96731","97194","99063","104506","81250","50116","49450","46806","44087","42685","45015","43725","42526","41895","39686","41237","39891",
"Total","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","139772","158883","158727","154684","165013","163018","174258","160380","165497","172578","168893","158762","154117","152792","145878","146833","150820",
"Total","Total","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","139909","159091","158853","154775","165169","163113","174449","160530","165608","172753","170215","161667","155227","153055","146427","148050","152144",
"Total","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","6589","7113","7528","7957","8543","8294","9229","9749","25227","26194","26853","27510","28188","28995","28840","30107","31406",
"Total","Total","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","6821","7504","7775","8239","8845","8593","9618","10159","26036","27235","27867","28690","29317","30436","31301","33282","35235",
"Total","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","29385","36146","39431","45360","50832","48961","54618","54598","54780","58393","66484","66435","68445","75827","68233","72626","75626",
"Total","Total","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","30777","38220","41257","47683","53334","51050","57230","57488","57738","61734","69755","69770","71769","79342","72382","77614","82544",
"Total","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","9971","11079","11671","5992","18714","18963","19597","20215","19535","18531","19519","25382","33321","35951","35263","40027","41200",
"Total","Total","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","10003","11152","11729","6087","19246","19368","20082","20753","20030","19033","20218","26158","34493","37254","36737","41881","43044",
"Total","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","16591","16870","17421","24275","13854","14167","17408","18830","20863","21657","15369","19544","12649","16375","18730","20591","22309",
"Total","Total","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","17024","17389","17844","24890","13964","14275","17544","18981","21013","21812","15480","19743","12699","16465","18866","20791","22538",
"Total","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","433","420","317","374","346","349","361","359","353","354","390","343","363","517","497","515","515",
"Total","Total","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","436","423","320","382","350","351","362","362","357","357","393","345","365","520","513","520","526",
"Total","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","4304","4649","4458","5437","5623","5563","5950","6031","6196","6402","6863","7043","5328","5638","5664","8066","8072",
"Total","Total","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","4392","4781","4550","5591","5793","5743","6139","6205","6345","6584","7045","7208","5450","5816","5905","8465","8425",
"Total","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","17596","17447","15975","19936","20138","19841","20287","19381","18965","17878","19037","18565","18036","17749","16365","17388","16810",
"Total","Total","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","17615","17561","16139","19981","20179","19887","20360","19448","19032","17954","19117","18697","18130","17913","16685","17848","17363",
"Total","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","3883","4231","4594","5644","5988","6230","7138","7218","7325","7641","7752","7229","7779","7834","8117","8180","7879",
"Total","Total","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","3900","4275","4613","5680","6039","6275","7205","7288","7392","7715","7815","7317","7846","7954","8330","8474","8117",
"Total","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","18402","19405","19575","22079","22845","22996","24426","24598","24814","25494","26076","27138","27656","28814","28324","29022","28471",
"Total","Total","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","30310","32207","31288","34099","34913","33902","36425","35683","35789","36707","37310","37712","37671","38802","37987","38615","37223",
"Total","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Received Person[Person]","Person","22905","27716","32068","38412","40501","43920","51044","48539","36843","27983","28994","28433","30550","33341","31371","36276","35027",
"Total","Total","Thyroid Surgery - Bilateral thyroidectomy - 갑상선 수술(기타 질환에 의한 수술 포함)","Surgery Count[Unit]","Surgery","23119","28048","32302","38708","40847","44234","51513","48948","37162","28214","29201","28699","30828","33754","31931","37150","35976",
"Total","Total","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Received Person[Person]","Person","6134","6078","5582","6837","7031","10467","7770","8053","6591","","","","","","","","",
"Total","Total","Congenital Heart Defect Surgery - PDA ligation - 선천성 심장기형 수술","Surgery Count[Unit]","Surgery","6221","6238","5675","6972","7184","10768","7995","8290","6757","","","","","","","","",
"Total","Total",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Received Person[Person]","Person","","","","","","","","","","6932","7183","7238","7049","7192","9065","9402","9538",
"Total","Total",Heart Surgery - Aortic valve replacement - 심장수술(관상동맥 우회수술 제외)","Surgery Count[Unit]","Surgery","","","","","","","","","","7071","7337","7402","7216","7370","9485","9873","10363",
"Total","Total","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Received Person[Person]","Person","329","302","267","895","893","950","990","1039","1026","1004","991","953","833","801","769","688","912",
"Total","Total","Cleft Lip and Palate Surgery - Bilateral thyroidectomy - 순열 및 구개열 수술","Surgery Count[Unit]","Surgery","342","308","273","920","938","991","1053","1081","1049","1055","1017","1000","873","844","829","721","945",
"Total","Total","Hemorrhoidectomy - 치핵 수술","Surgery Received Person[Person]","Person","270984","269580","272241","272290","246986","226409","226790","217112","203420","193064","188862","186222","174015","168779","167522","158237","154304",
"Total","Total","Hemorrhoidectomy - 치핵 수술","Surgery Count[Unit]","Surgery","279229","278677","280736","281347","251828","228267","229171","219362","205577","196916","199409","199194","179073","170850","169669","160441","156432",
"Total","Total","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Received Person[Person]","Person","5660","3472","1934","1737","1454","1583","1486","1349","1748","1421","2194","5007","7082","8376","9043","12064","14296",
"Total","Total","Endoscopic Spine Surgery - Laminectomy - 내시경하 척추수술","Surgery Count[Unit]","Surgery","5727","3508","1950","1751","1464","1603","1503","1359","1772","1455","2243","5123","7249","8556","9298","12396","14671",
"Total","Total","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Received Person[Person]","Person","90292","106801","114860","139761","155229","149770","166517","163518","157385","155450","161494","164571","168353","174868","178854","189995","191500",
"Total","Total","General Spine Surgery - Laminectomy - 일반 척추수술","Surgery Count[Unit]","Surgery","93098","111004","118698","144557","160767","155249","173428","170832","164177","162459","168836","172429","176522","183908","188394","201197","203902",
"Total","Total","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Received Person[Person]","Person","","","","44308","50105","53394","62312","61309","60655","57870","59556","59283","64027","62458","31998","32930","33812",
"Total","Total","Endoscopic Sinus Surgery - Bilateral thyroidectomy - 내시경하 부비동 수술","Surgery Count[Unit]","Surgery","","","","46188","52227","55744","64873","63891","62900","59633","61147","60832","65767","64066","33311","34253","35056",
"Total","Total","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Received Person[Person]","Person","29992","31079","31020","10553","9258","8486","7635","7100","6650","5946","5075","5858","5812","3121","2510","2272","2206",
"Total","Total","General Sinus Surgery - Bilateral thyroidectomy - 일반 부비동 수술","Surgery Count[Unit]","Surgery","32240","33515","33370","11519","10097","9235","8234","7503","6995","6227","5374","6205","6129","3195","2584","2350","2268",
"Total","Total","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Received Person[Person]","Person","","","","","","","","","","","","","","","","","2614",
"Total","Total","Stem Cell Transplantation - Liver transplantation - 줄기세포이식술","Surgery Count[Unit]","Surgery","","","","","","","","","","","","","","","","","2689",
"Total","Medical Insurance","Total","Surgery Received Person[Person]","Person","1181266","1258823","1274987","1394806","1419788","1386931","1455578","1439767","1449805","1433522","1470628","1488877","1515749","1597917","1533929","1612747","1603638",
"Total","Medical Insurance","Total","Surgery Count[Unit]","Surgery","1305644","1399111","1429051","1580471","1615954","1592488","1643269","1632625","1642528","1652428","1719696","1765851","1792776","1914342","1875004","2012280","1982552",
"Total","Medical Insurance","Cataract surgery - 백내장 수술","Surgery Received Person[Person]","Person","193173","213590","235644","253964","276492","295835","290367","300909","316616","333861","347487","363512","388205","443673","440032","481572","460598",
"Total","Medical Insurance","Cataract surgery - 백내장 수술","Surgery Count[Unit]","Surgery","254388","284796","318520","345904","380213","411368","404708","420180","445312","474396","499925","530248","571879","667523","682030","759205","714028",
"Total","Medical Insurance","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Received Person[Person]","Person","41551","40786","39322","41137","38730","40307","42049","41846","38803","35525","39293","40298","38643","39468","29902","20326","17493",
"Total","Medical Insurance","Tonsillectomy - Bilateral thyroidectomy - 편도절제술(아데노이드 적출술 유무에 상관없이)","Surgery Count[Unit]","Surgery","41729","40955","39497","41419","38995","40568","42393","42211","39079","36037","40561","42427","39646","39859","30407","20825","17759",
"Total","Medical Insurance","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Received Person[Person]","Person","3479","3856","4358","5017","5337","5254","5760","6232","6505","6270","6426","6134","6995","7597","7252","8201","8960",
"Total","Medical Insurance","PCI(Percutaneous Coronary Intervention)/PTCA - Aortic valve replacement - 경피적 관상동맥확장술 및 절제술","Surgery Count[Unit]","Surgery","3544","3932","4454","5149","5449","5372","5903","6411","6669","6423","6598","6270","7183","7833","7553","8683","9483",
"Total","Medical Insurance","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Received Person[Person]","Person","29743","32859","34390","39574","43201","42987","46765","47487","50508","49986","54756","57840","59822","61790","59583","63973","62788",
"Total","Medical Insurance","Stent Insertion - Aortic valve replacement - 스텐트삽입술","Surgery Count[Unit]","Surgery","30647","33856","35392","40673","44363","43946","47990","48619","51699","51267","56228","59477","61430","63656","61971","68223","66844",
"Total","Medical Insurance","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Received Person[Person]","Person","2994","3065","2996","3269","3159","2917","3095","2867","3074","3532","3681","3653","3750","3978","3891","4128","4513",
"Total","Medical Insurance","Coronary Artery Bypass Graft - Graft replacement of Aorta - 관상동맥 우회수술","Surgery Count[Unit]","Surgery","2997","3067","2999","3273","3163","2924","3105","2872","3078","3548","3689","3666","3770","4007","3979","4250","4824",
"Total","Medical Insurance","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Received Person[Person]","Person","1841","1865","1959","1996","2134","1865","1887","2075","2097","2001","2185","2261","2021","2286","2507","3112","3263",
"Total","Medical Insurance","Cardiac Catheterization - Aortic valve replacement - 심장 카테터 삽입술","Surgery Count[Unit]","Surgery","1875","1907","2010","2047","2199","1939","2003","2171","2216","2082","2300","2392","2130","2456","2680","3349","3534",
"Total","Medical Insurance","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Received Person[Person]","Person","16884","22205","3225","19471","24333","22570","24295","24699","24283","20731","20527","18865","18000","19264","17236","18012","18021",
"Total","Medical Insurance","Varicose Vein Ligation and Stripping - PDA ligation - 정맥류 결찰 및 제거수술","Surgery Count[Unit]","Surgery","17371","23012","4672","20160","25080","23276","25172","25578","25210","21565","21290","19503","18509","20021","17770","18609","18763",
"Total","Medical Insurance","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Received Person[Person]","Person","96242","98126","92576","100958","96880","92404","96486","94101","90372","86777","85682","80614","77843","78614","73622","73510","70203",
"Total","Medical Insurance","Appendectomy - Exploratory Laparotomy - 충수절제술","Surgery Count[Unit]","Surgery","96305","98186","92686","101107","97021","92570","96656","94249","90465","87641","89856","87907","80047","79012","76094","78686","74401",
"Total","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Received Person[Person]","Person","5129","5316","4177","4749","3917","3949","7541","8147","8714","9300","10388","11135","11102","11941","12216","15434","17266",
"Total","Medical Insurance","Pacemaker Insertion, Replacement, Removal, and Adjustment - Aortic valve replacement - 심박조율장치의 삽입,교체,제거 및 교정","Surgery Count[Unit]","Surgery","5267","5474","4279","4890","4001","4041","7831","8468","9131","9718","10916","11650","11619","12512","12959","16475","19011",
"Total","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Received Person[Person]","Person","30068","31890","33130","43228","46743","49389","56268","57673","58152","59880","66053","69430","74242","79664","79749","84094","85714",
"Total","Medical Insurance","Cholecystectomy - Laparoscopic cholecystectomy - 담낭절제술(복강경적 담낭절제술 포함)","Surgery Count[Unit]","Surgery","30089","31909","33157","43286","46810","49467","56428","57829","58346","60084","66287","69713","74547","80170","81811","87529","89116",
"Total","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Received Person[Person]","Person","14574","15946","17399","20447","22886","23541","25864","27430","28687","30080","32349","34209","37322","38891","39980","50258","51902",
"Total","Medical Insurance","Endoscopic and Percutaneous Biliary Surgery - Pylorus preserving pancreaticoduodenectomy - 내시경 및 경피적 담도수술","Surgery Count[Unit]","Surgery","16060","17607","19524","23469","26293","27163","30170","32519","34351","36359","39484","42388","47217","50265","53586","70641","73421",
"Total","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Received Person[Person]","Person","32194","32110","31610","32831","34337","32809","33367","33841","33219","33031","33666","33353","33694","33219","29853","31538","32058",
"Total","Medical Insurance","Inguinal and Femoral Hernia Surgery - Exploratory laparotomy - 서혜 및 대퇴 허니아 수술","Surgery Count[Unit]","Surgery","32622","32540","32069","33346","34828","33243","33818","34311","33701","33725","36609","37849","35346","33730","30513","32372","32861",
"Total","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Received Person[Person]","Person","4670","4777","5261","6048","6662","6430","9296","9433","9681","9255","10417","10539","10865","11191","10633","11181","11909",
"Total","Medical Insurance","Transurethral Resection of the Prostate (TURP) - Transurethral resection of prostate - 경요도 전립선 절제술","Surgery Count[Unit]","Surgery","4713","4836","5323","6110","6741","6486","9423","9598","9857","9445","10556","10691","10999","11389","10850","11494","12355",
"Total","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Received Person[Person]","Person","2188","2581","2639","2902","3137","2884","2518","2501","2265","1929","1903","1973","1962","2075","1667","1348","1181",
"Total","Medical Insurance","Prostatectomy - Prostatectomy - 전립선 절제술","Surgery Count[Unit]","Surgery","2189","2586","2641","2916","3161","2884","2522","2502","2268","1932","1903","1976","1966","2089","1693","1382","1245",
"Total","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Received Person[Person]","Person","93469","93704","95622","100958","78493","48426","47812","45235","42558","41122","42049","39915","40362","40361","37909","38713","37995",
"Total","Medical Insurance","Hysterectomy - Total abdominal hysterectomy - 자궁절제술","Surgery Count[Unit]","Surgery","93812","94071","95985","101394","78744","48479","47876","45310","42667","41358","43613","42478","41174","40543","38336","39835","38628",
"Total","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Received Person[Person]","Person","138677","157609","157502","153153","163324","161654","172721","159057","164226","171268","167763","157606","152956","151782","144927","146025","150051",
"Total","Medical Insurance","Cesarean Section - Low cervical cesarean section - 제왕절개수술","Surgery Count[Unit]","Surgery","138807","157704","157624","153239","163474","161746","172906","159200","164332","171439","169081","160498","154052","152041","145465","147223","151363",
"Total","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Received Person[Person]","Person","5549","6020","6457","6951","7527","7363","8224","8713","21946","22903","23383","23960","24613","25355","25379","26416","27676",
"Total","Medical Insurance","Hip Replacement Surgery - Total hip replacement - 고관절 치환술","Surgery Count[Unit]","Surgery","5718","6238","6653","7187","7774","7614","8549","9043","22583","23730","24188","24911","25573","26617","27598","29255","31108",
"Total","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Received Person[Person]","Person","25626","32038","34751","40458","46144","45072","50098","50226","50562","53901","61240","61582","63398","70285","63459","67742","70506",
"Total","Medical Insurance","Knee Replacement Surgery - Total knee replacement - 슬관절 치환술","Surgery Count[Unit]","Surgery","26781","33478","36263","42446","48336","46931","52376","52680","53132","56839","64130","64482","66349","73430","67289","72390","76952",
"Total","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Received Person[Person]","Person","9499","10588","11125","5818","18136","18408","19088","19671","19027","18027","18995","24716","32490","35106","34374","38980","40200",
"Total","Medical Insurance","Partial Mastectomy - Mastectomy - 유방 부분 절제술","Surgery Count[Unit]","Surgery","9527","10623","11176","5911","18648","18805","19561","20188","19499","18507","19680","25462","33632","36369","35794","40785","41980",
"Total","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Received Person[Person]","Person","16072","16359","16869","23431","13310","13648","16803","18176","20173","20927","14853","18847","12175","15855","18211","20023","21763",
"Total","Medical Insurance","Total Mastectomy - Mastectomy - 유방 전 절제술","Surgery Count[Unit]","Surgery","16489","16808","17283","24021","13409","13750","16932","18315","20313","21077","14957","19040","12220","15935","18333","20194","21964",
"Total","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Received Person[Person]","Person","411","394","304","349","336","341","346","345","340","332","381","330","351","508","481","498","506",
"Total","Medical Insurance","Skull Base Surgery - Craniotomy and removal of brain tumor - 뇌기저부 수술","Surgery Count[Unit]","Surgery","413","395","307","357","339","343","347","348","342","335","384","331","353","511","496","503","517",
"Total","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Received Person[Person]","Person","4003","4360","4176","5137","5331","5335","5675","5758","5938","6105","6561","6751","5052","5368","5406","7715","7691",
"Total","Medical Insurance","Brain Tumor Surgery - Craniotomy and removal of brain tumor - 뇌종양 수술","Surgery Count[Unit]","Surgery","4072","4457","4262","5278","5489","5504","5849","5922","6070","6265","6731","6905","5166","5538","5635","8098","8026",
"Total","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Received Person[Person]","Person","16644","16446","15093","18852","19109","18979","19348","18493","18035","17077","18157","17681","17135","16795","15510","16509","15882",
"Total","Medical Insurance","Gastrectomy - Total gastrectomy - 위 절제술","Surgery Count[Unit]","Surgery","16661","16469","15252","18890","19149","19023","19407","18544","18089","17137","18223","17792","17211","16936","15796","16929","16366",
"Total","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Received Person[Person]","Person","3640","3975","4343","5340","5690","5911","6784","6875","6950","7263","7366","6852","7330","7406","7607","7688","7376",
"Total","Medical Insurance","Liver Resection - Wedge resection of liver - 간 부분 절제술","Surgery Count[Unit]","Surgery","3653","3994","4361","5374","5737","5952","6847","6937","7013","7335","7422","6929","7392","7517","7804","7950","7593",
"Total","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Received Person[Person]","Person","16475","17383","17806","20239","21049","21224","22581","22672","22900","23494","23892","24837","25224","26373","25824","26458","25952",
"Total","Medical Insurance","Hepatic Embolization - Lobectomy of liver - 간색전술","Surgery Count[Unit]","Surgery","27033","28537","28444","31221","32128","31255","33693","32731","32918","33686","34059","34359","34205","35316","34475","35020","33804",
