"Gender","Career","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men","Company Worker","Eastern Seoul","Composition Rate[%]","%","10.9","13.3","14.4","14.1","15.2","16.6","17.8","17.9","17.6","17.7","18.1","19.8","20.8","23.2","26.7","30.2","32.2","35.1","34.7",
"Men","Company Worker","Busan","Donation Count","Unit","36752","32273","33950","33799","34384","32764","27941","28743","27101","29265","28356","30628","36412","40375","41591","44149","42334","45275","44203",
"Men","Company Worker","Busan","Composition Rate[%]","%","22.5","20.1","23","21.5","21.5","19.6","18.5","18.9","17.3","18.6","17.9","21.4","24","25.8","27.8","32","31.2","32.8","31",
"Men","Company Worker","Daegu/Gyeongbook","Donation Count","Unit","23853","21893","18032","20561","24904","23756","21946","25118","28873","31546","33162","34438","37892","42022","43530","46947","50594","48794","49540",
"Men","Company Worker","Daegu/Gyeongbook","Composition Rate[%]","%","16.3","15.7","15.4","15.5","16.4","16.2","15.4","16.5","17.4","17.7","18.7","20.4","22","23.8","26","33.7","31.8","30.7","29.6",
"Men","Company Worker","Incheon","Donation Count","Unit","14456","14834","15641","16737","18486","19791","22228","24015","26525","28660","28531","29772","31473","34351","37190","44936","48089","51163","52038",
"Men","Company Worker","Incheon","Composition Rate[%]","%","16","17.1","19.8","19.3","20.5","19.2","19.3","21","22.7","23","23.5","26.3","27.2","31","33.2","37.6","40.1","42.6","40.8",
"Men","Company Worker","Ulsan","Donation Count","Unit","21750","21285","17230","16818","16525","15262","13645","16061","17021","20673","20008","20433","20683","21119","24014","29911","28399","28050","33000",
"Men","Company Worker","Ulsan","Composition Rate[%]","%","35.2","32.8","32.7","30","28.8","27.7","25.1","27.8","28.2","30.3","28.5","31.1","31.4","32","35","47","44.5","43.7","44.7",
"Men","Company Worker","Gyeonggi","Donation Count","Unit","32904","30106","28548","30157","34187","33468","31681","35749","40289","42709","45503","47828","49701","54722","60158","73001","74958","73653","77154",
"Men","Company Worker","Gyeonggi","Composition Rate[%]","%","28","26.2","27.8","27.4","27.9","27.1","25.1","27.9","28.7","28.1","28.6","30.9","31.1","35","37.9","42.6","44.5","46.3","45.6",
"Men","Company Worker","Gangwon","Donation Count","Unit","2825","2506","3746","4306","5364","5509","6589","6406","7637","8462","9608","10828","11897","13527","14763","17678","17058","17482","17980",
"Men","Company Worker","Gangwon","Composition Rate[%]","%","3.7","3.7","6.7","7","8.3","8.3","9.1","7.4","8","8.5","8.3","8.9","9.3","10","11.6","15.1","15.5","17.8","17",
"Men","Company Worker","Chungbook","Donation Count","Unit","6078","6767","7632","8444","10544","11053","9033","10321","10338","11068","11455","11605","14177","15787","17342","20108","18369","18339","18968",
"Men","Company Worker","Chungbook","Composition Rate[%]","%","10","11","13.1","12.6","13.4","13.8","12.6","13.2","13.8","14.8","15.6","17.4","19.7","22.1","24.7","30.5","28.8","30","29.8",
"Men","Company Worker","Daejeon/Sejong/Chungnaam","Donation Count","Unit","13481","14921","15251","19389","24034","24006","23017","25043","26993","30406","31415","33685","36628","40083","45248","55577","52133","53960","54692",
"Men","Company Worker","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","9.6","12.8","13.2","14.6","17.2","16.1","15.9","16.4","16.5","17.8","17.4","19.7","21.1","22.4","25.6","32.4","31.2","32.7","32.5",
"Men","Company Worker","Jeonbook","Donation Count","Unit","9476","8754","8042","10318","11380","12159","12804","13036","12779","12567","13919","12819","15155","15721","16519","17978","16453","16702","18568",
"Men","Company Worker","Jeonbook","Composition Rate[%]","%","9.9","9.9","10.6","12.6","12.4","12.9","14.1","14.1","13.3","14","14.7","14.6","17.4","19.1","20.3","23.5","21.6","24.1","25.5",
"Men","Company Worker","Gwangju/Jeonnaam","Donation Count","Unit","22311","19871","19578","21684","24529","21379","20158","22118","26728","24983","24447","25543","32183","34620","37169","39736","37771","40456","41909",
"Men","Company Worker","Gwangju/Jeonnaam","Composition Rate[%]","%","16.9","13.8","15.6","16.5","17.8","16.4","16.3","18.1","19.9","17.9","17.2","19.2","21.8","24.5","26.2","31.2","29.6","32.4","32.5",
"Men","Company Worker","Gyeongnaam","Donation Count","Unit","13582","14929","14268","15081","21598","19414","17825","19328","22618","25404","23515","23525","23119","25310","24896","31158","29005","29888","30733",
"Men","Company Worker","Gyeongnaam","Composition Rate[%]","%","15.4","17","18.9","17.9","23.1","20.3","19.4","20.4","21.8","22.8","22.1","23.5","22.8","24.6","24.6","31","30.5","32.4","31",
"Men","Company Worker","Jeju","Donation Count","Unit","4643","4097","4045","4123","5104","5016","4222","4113","4606","5269","6134","6278","7924","7074","7099","9458","9307","9881","11833",
"Men","Company Worker","Jeju","Composition Rate[%]","%","18.6","17.2","18.8","17.8","20.4","20.3","19.4","20","21.4","22.8","23.9","26.5","30.8","29.2","28.8","32.6","31.6","34.1","36.4",
"Men","Company Worker","Korean Red Cross 외","Donation Count","Unit","16105","18159","15726","19458","22412","26351","28036","31966","33637","34357","36039","41085","44767","47991","52170","62651","63348","76797","88811",
"Men","Company Worker","Korean Red Cross 외","Composition Rate[%]","%","38.3","41.5","33.9","30.7","27.9","26.2","26.1","27.8","26.6","26.4","26.6","29.2","31.2","35.8","41","50.8","51.4","54.4","54.3",
"Men","Public Worker","Total","Donation Count","Unit","47312","46469","45989","50076","65658","56267","52514","49072","51348","53137","59363","62985","68505","72288","76131","105081","97767","93520","96017",
"Men","Public Worker","Total","Composition Rate[%]","%","2.6","2.6","2.9","2.9","3.5","3","2.9","2.6","2.5","2.5","2.7","3","3.2","3.4","3.7","5.5","5.2","5","4.8",
"Men","Public Worker","Korean Red Cross","Donation Count","Unit","46740","45951","45352","49068","64098","54767","50868","47354","49630","51282","57867","61369","67039","70920","74739","102789","95486","91381","93564",
"Men","Public Worker","Korean Red Cross","Composition Rate[%]","%","2.6","2.6","2.9","2.9","3.6","3","3","2.6","2.6","2.6","2.9","3.2","3.4","3.6","3.9","5.7","5.4","5.3","5.1",
"Men","Public Worker","Central Seoul","Donation Count","Unit","4175","3947","4231","4068","5604","4719","","","","","","","","3868","4039","4437","4405","4511","4866",
"Men","Public Worker","Central Seoul","Composition Rate[%]","%","2.5","2.3","3.1","2.8","3.8","2.7","","","","","","","","2","2.2","2.8","2.8","2.9","2.9",
"Men","Public Worker","Western Seoul","Donation Count","Unit","2037","2008","2266","2571","3328","1355","3879","3380","3649","3798","4318","4247","3906","","","","","","",
"Men","Public Worker","Western Seoul","Composition Rate[%]","%","1.8","1.8","1.9","2","2.3","2.1","2.2","1.8","1.7","1.6","1.9","2","1.9","","","","","","",
"Men","Public Worker","Southern Seoul","Donation Count","Unit","2549","2568","2575","2711","3692","2984","3069","2680","2862","2824","2987","3384","4514","4125","4284","5184","4233","3754","4046",
"Men","Public Worker","Southern Seoul","Composition Rate[%]","%","1.7","1.7","1.9","1.9","2.4","1.8","1.9","1.6","1.7","1.7","1.8","2","2.4","2.4","2.7","3.6","3.2","2.8","2.7",
"Men","Public Worker","Eastern Seoul","Donation Count","Unit","3234","3062","2929","3275","4494","4656","5021","4838","5054","5106","5398","5511","6204","6447","6710","7892","7911","8472","8771",
"Men","Public Worker","Eastern Seoul","Composition Rate[%]","%","2","2","2.3","2.4","3.2","2.9","2.9","2.7","2.6","2.4","2.6","2.8","3.1","3.2","3.6","4.6","4.7","5.1","4.9",
"Men","Public Worker","Busan","Donation Count","Unit","3882","3716","3364","3425","4635","3779","3383","3050","3429","2905","3651","3391","3915","4389","4430","5857","5309","5234","5334",
"Men","Public Worker","Busan","Composition Rate[%]","%","2.4","2.3","2.3","2.2","2.9","2.3","2.2","2","2.2","1.9","2.3","2.4","2.6","2.8","3","4.2","3.9","3.8","3.7",
"Men","Public Worker","Daegu/Gyeongbook","Donation Count","Unit","4264","3707","3316","4120","5912","4525","4842","4280","4595","4612","5365","5838","6757","6800","6923","7735","8031","7301","7633",
"Men","Public Worker","Daegu/Gyeongbook","Composition Rate[%]","%","2.9","2.7","2.8","3.1","3.9","3.1","3.4","2.8","2.8","2.6","3","3.5","3.9","3.8","4.1","5.6","5","4.6","4.6",
"Men","Public Worker","Incheon","Donation Count","Unit","2524","2521","1950","1931","2559","2344","2530","2390","2434","2513","2857","2940","3243","3626","3540","6132","5635","5436","5279",
"Men","Public Worker","Incheon","Composition Rate[%]","%","2.8","2.9","2.5","2.2","2.8","2.3","2.2","2.1","2.1","2","2.4","2.6","2.8","3.3","3.2","5.1","4.7","4.5","4.1",
"Men","Public Worker","Ulsan","Donation Count","Unit","1405","1212","1001","1110","1331","1247","1252","1200","1260","1289","1446","1375","1335","1374","1472","2717","2412","2313","2679",
"Men","Public Worker","Ulsan","Composition Rate[%]","%","2.3","1.9","1.9","2","2.3","2.3","2.3","2.1","2.1","1.9","2.1","2.1","2","2.1","2.1","4.3","3.8","3.6","3.6",
"Men","Public Worker","Gyeonggi","Donation Count","Unit","4017","3805","3758","3855","5254","4263","3421","3350","3973","4976","5380","5699","6308","6993","7024","10805","9391","9075","9935",
"Men","Public Worker","Gyeonggi","Composition Rate[%]","%","3.4","3.3","3.7","3.5","4.3","3.4","2.7","2.6","2.8","3.3","3.4","3.7","3.9","4.5","4.4","6.3","5.6","5.7","5.9",
"Men","Public Worker","Gangwon","Donation Count","Unit","1876","1637","1622","1699","2347","2330","2804","2349","2529","2763","3469","3757","4090","4573","5225","7189","7073","6909","7153",
"Men","Public Worker","Gangwon","Composition Rate[%]","%","2.5","2.4","2.9","2.8","3.6","3.5","3.9","2.7","2.7","2.8","3","3.1","3.2","3.4","4.1","6.1","6.4","7","6.7",
"Men","Public Worker","Chungbook","Donation Count","Unit","2578","2384","2555","2870","3283","2169","2294","2118","2154","1833","2483","2862","3409","4054","4218","5094","4899","4285","3997",
"Men","Public Worker","Chungbook","Composition Rate[%]","%","4.2","3.9","4.4","4.3","4.2","2.7","3.2","2.7","2.9","2.5","3.4","4.3","4.7","5.7","6","7.7","7.7","7","6.3",
"Men","Public Worker","Daejeon/Sejong/Chungnaam","Donation Count","Unit","2814","3178","3899","4656","6166","5994","5224","5021","5233","5323","6183","6609","6904","7665","8412","12096","11135","10763","10522",
"Men","Public Worker","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","2","2.7","3.4","3.5","4.4","4","3.6","3.3","3.2","3.1","3.4","3.9","4","4.3","4.8","7","6.7","6.5","6.2",
"Men","Public Worker","Jeonbook","Donation Count","Unit","2568","3034","2792","3135","3324","3027","2871","2854","3115","3010","3045","3125","3283","3284","3955","5774","5269","4643","4917",
"Men","Public Worker","Jeonbook","Composition Rate[%]","%","2.7","3.4","3.7","3.8","3.6","3.2","3.2","3.1","3.2","3.4","3.2","3.6","3.8","4","4.9","7.6","6.9","6.7","6.8",
"Men","Public Worker","Gwangju/Jeonnaam","Donation Count","Unit","4823","4755","4400","4845","5919","5561","5144","5268","5085","5384","5847","6408","6739","6934","7230","10929","10408","9344","8475",
"Men","Public Worker","Gwangju/Jeonnaam","Composition Rate[%]","%","3.7","3.3","3.5","3.7","4.3","4.3","4.2","4.3","3.8","3.9","4.1","4.8","4.6","4.9","5.1","8.6","8.2","7.5","6.6",
"Men","Public Worker","Gyeongnaam","Donation Count","Unit","2487","2935","3367","3457","4489","4231","3771","3257","2944","3520","3873","4629","4567","5080","5349","7668","6546","6593","6805",
"Men","Public Worker","Gyeongnaam","Composition Rate[%]","%","2.8","3.4","4.5","4.1","4.8","4.4","4.1","3.4","2.8","3.2","3.6","4.6","4.5","4.9","5.3","7.6","6.9","7.2","6.9",
"Men","Public Worker","Jeju","Donation Count","Unit","1507","1482","1327","1340","1761","1583","1363","1319","1314","1426","1565","1594","1865","1708","1928","3280","2829","2748","3152",
"Men","Public Worker","Jeju","Composition Rate[%]","%","6","6.2","6.2","5.8","7","6.4","6.3","6.4","6.1","6.2","6.1","6.7","7.3","7.1","7.8","11.3","9.6","9.5","9.7",
"Men","Public Worker","Korean Red Cross 외","Donation Count","Unit","572","518","637","1008","1560","1500","1646","1718","1718","1855","1496","1616","1466","1368","1392","2292","2281","2139","2453",
"Men","Public Worker","Korean Red Cross 외","Composition Rate[%]","%","1.4","1.2","1.4","1.6","1.9","1.5","1.5","1.5","1.4","1.4","1.1","1.1","1","1","1.1","1.9","1.9","1.5","1.5",
"Men","Self-employed","Total","Donation Count","Unit","60828","55231","52556","54283","56387","54834","46281","45143","44081","44755","43965","44309","46263","47456","49389","57384","54724","53780","51426",
"Men","Self-employed","Total","Composition Rate[%]","%","3.3","3.1","3.3","3.1","3","2.9","2.5","2.4","2.2","2.1","2","2.1","2.2","2.3","2.4","3","2.9","2.9","2.6",
"Men","Self-employed","Korean Red Cross","Donation Count","Unit","59389","53877","51072","52325","54129","52197","43679","42160","40856","41482","41293","41882","43817","45123","47158","54870","52385","51133","48601",
"Men","Self-employed","Korean Red Cross","Composition Rate[%]","%","3.3","3.1","3.3","3.1","3","2.9","2.5","2.4","2.1","2.1","2","2.2","2.2","2.3","2.5","3.1","3","2.9","2.6",
"Men","Self-employed","Central Seoul","Donation Count","Unit","4182","4653","4118","4258","4390","5254","","","","","","","","5088","5256","5650","5078","4977","4677",
"Men","Self-employed","Central Seoul","Composition Rate[%]","%","2.5","2.7","3","2.9","3","3","","","","","","","","2.6","2.9","3.6","3.3","3.2","2.8",
"Men","Self-employed","Western Seoul","Donation Count","Unit","4262","4477","4721","4720","5627","2368","5206","4999","4693","4745","4996","4931","5076","","","","","","",
"Men","Self-employed","Western Seoul","Composition Rate[%]","%","3.7","3.9","4","3.7","3.9","3.6","2.9","2.6","2.2","2","2.2","2.3","2.5","","","","","","",
"Men","Self-employed","Southern Seoul","Donation Count","Unit","5219","5927","5551","5686","5264","5018","4424","3928","3719","3576","3374","3543","3724","3645","3710","3760","3427","3159","3329",
"Men","Self-employed","Southern Seoul","Composition Rate[%]","%","3.5","3.9","4.1","4","3.4","3.1","2.8","2.4","2.2","2.1","2","2.1","2","2.1","2.3","2.6","2.6","2.4","2.3",
"Men","Self-employed","Eastern Seoul","Donation Count","Unit","5456","6428","5235","5260","5462","6414","5900","5824","5610","5564","5411","5478","5289","5456","5652","5886","5876","6013","5650",
"Men","Self-employed","Eastern Seoul","Composition Rate[%]","%","3.4","4.3","4.1","3.9","3.9","4","3.4","3.2","2.8","2.6","2.6","2.8","2.6","2.7","3","3.4","3.5","3.6","3.1",
"Men","Self-employed","Busan","Donation Count","Unit","8278","6008","6378","6155","6124","5883","4583","4264","3539","3841","3634","3665","3883","3972","4121","4349","4109","4234","3835",
"Men","Self-employed","Busan","Composition Rate[%]","%","5.1","3.7","4.3","3.9","3.8","3.5","3","2.8","2.3","2.4","2.3","2.6","2.6","2.5","2.8","3.1","3","3.1","2.7",
"Men","Self-employed","Daegu/Gyeongbook","Donation Count","Unit","6171","4420","3979","4169","3956","4090","3425","3373","3349","3560","3950","4010","4216","4540","4547","5497","5368","4951","4791",
"Men","Self-employed","Daegu/Gyeongbook","Composition Rate[%]","%","4.2","3.2","3.4","3.2","2.6","2.8","2.4","2.2","2","2","2.2","2.4","2.4","2.6","2.7","3.9","3.4","3.1","2.9",
"Men","Self-employed","Incheon","Donation Count","Unit","2686","2916","2908","2809","3072","3093","2982","2896","2983","3087","2906","2842","2920","3055","3194","3903","3798","3830","3481",
"Men","Self-employed","Incheon","Composition Rate[%]","%","3","3.4","3.7","3.2","3.4","3","2.6","2.5","2.5","2.5","2.4","2.5","2.5","2.8","2.9","3.3","3.2","3.2","2.7",
"Men","Self-employed","Ulsan","Donation Count","Unit","2069","1636","1379","1256","1250","1087","1035","972","1021","1276","1183","1231","1167","1197","1333","1379","1420","1463","1620",
"Men","Self-employed","Ulsan","Composition Rate[%]","%","3.3","2.5","2.6","2.2","2.2","2","1.9","1.7","1.7","1.9","1.7","1.9","1.8","1.8","1.9","2.2","2.2","2.3","2.2",
"Men","Self-employed","Gyeonggi","Donation Count","Unit","5389","4478","3985","4275","4741","4601","4043","4026","3985","4260","4273","4438","4325","4401","4472","5493","5361","4805","4361",
"Men","Self-employed","Gyeonggi","Composition Rate[%]","%","4.6","3.9","3.9","3.9","3.9","3.7","3.2","3.1","2.8","2.8","2.7","2.9","2.7","2.8","2.8","3.2","3.2","3","2.6",
"Men","Self-employed","Gangwon","Donation Count","Unit","887","979","1047","1105","1202","1277","1351","1426","1412","1404","1530","1576","1772","2095","2265","2831","2641","2535","2360",
"Men","Self-employed","Gangwon","Composition Rate[%]","%","1.2","1.4","1.9","1.8","1.9","1.9","1.9","1.7","1.5","1.4","1.3","1.3","1.4","1.6","1.8","2.4","2.4","2.6","2.2",
"Men","Self-employed","Chungbook","Donation Count","Unit","1265","1382","1278","1341","1627","1731","1366","1320","1237","1167","1041","1188","1297","1421","1495","2035","1981","1850","1639",
"Men","Self-employed","Chungbook","Composition Rate[%]","%","2.1","2.2","2.2","2","2.1","2.2","1.9","1.7","1.6","1.6","1.4","1.8","1.8","2","2.1","3.1","3.1","3","2.6",
"Men","Self-employed","Daejeon/Sejong/Chungnaam","Donation Count","Unit","2508","2093","2074","2453","2535","2669","2272","2264","2027","2199","2398","2560","2608","2797","3143","4171","3927","3837","3607",
"Men","Self-employed","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","1.8","1.8","1.8","1.8","1.8","1.8","1.6","1.5","1.2","1.3","1.3","1.5","1.5","1.6","1.8","2.4","2.4","2.3","2.1",
"Men","Self-employed","Jeonbook","Donation Count","Unit","2638","1955","2110","2359","2252","2286","1947","1769","1567","1588","1511","1295","1522","1522","1618","1763","1691","1659","1638",
"Men","Self-employed","Jeonbook","Composition Rate[%]","%","2.8","2.2","2.8","2.9","2.5","2.4","2.1","1.9","1.6","1.8","1.6","1.5","1.7","1.8","2","2.3","2.2","2.4","2.3",
"Men","Self-employed","Gwangju/Jeonnaam","Donation Count","Unit","4819","3643","3742","3996","3991","3705","3034","2859","3301","2716","2470","2510","3155","3303","3454","4079","3815","4016","3718",
"Men","Self-employed","Gwangju/Jeonnaam","Composition Rate[%]","%","3.6","2.5","3","3","2.9","2.8","2.5","2.3","2.5","1.9","1.7","1.9","2.1","2.3","2.4","3.2","3","3.2","2.9",
"Men","Self-employed","Gyeongnaam","Donation Count","Unit","2287","1873","1729","1667","1799","1754","1393","1502","1626","1651","1666","1632","1564","1536","1639","2288","2094","2122","1990",
"Men","Self-employed","Gyeongnaam","Composition Rate[%]","%","2.6","2.1","2.3","2","1.9","1.8","1.5","1.6","1.6","1.5","1.6","1.6","1.5","1.5","1.6","2.3","2.2","2.3","2",
"Men","Self-employed","Jeju","Donation Count","Unit","1273","1009","838","816","837","967","718","738","787","848","950","983","1299","1095","1259","1786","1799","1682","1905",
"Men","Self-employed","Jeju","Composition Rate[%]","%","5.1","4.2","3.9","3.5","3.3","3.9","3.3","3.6","3.7","3.7","3.7","4.1","5.1","4.5","5.1","6.2","6.1","5.8","5.9",
"Men","Self-employed","Korean Red Cross 외","Donation Count","Unit","1439","1354","1484","1958","2258","2637","2602","2983","3225","3273","2672","2427","2446","2333","2231","2514","2339","2647","2825",
"Men","Self-employed","Korean Red Cross 외","Composition Rate[%]","%","3.4","3.1","3.2","3.1","2.8","2.6","2.4","2.6","2.5","2.5","2","1.7","1.7","1.7","1.8","2","1.9","1.9","1.7",
"Men","Religion-related work","Total","Donation Count","Unit","5830","5889","5678","5535","5625","5558","4856","4859","4494","4907","5038","4729","5001","4934","4833","6048","6069","5735","5225",
"Men","Religion-related work","Total","Composition Rate[%]","%",".3",".3",".4",".3",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".3",".3",".3",".3",
"Men","Religion-related work","Korean Red Cross","Donation Count","Unit","5613","5701","5412","5245","5304","5182","4470","4432","4098","4488","4732","4389","4693","4684","4593","5590","5596","5345","4820",
"Men","Religion-related work","Korean Red Cross","Composition Rate[%]","%",".3",".3",".4",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".3",".3",".3",".3",
"Men","Religion-related work","Central Seoul","Donation Count","Unit","484","583","529","493","477","668","","","","","","","","547","509","582","559","522","432",
"Men","Religion-related work","Central Seoul","Composition Rate[%]","%",".3",".3",".4",".3",".3",".4","","","","","","","",".3",".3",".4",".4",".3",".3",
"Men","Religion-related work","Western Seoul","Donation Count","Unit","424","431","594","520","626","265","597","620","583","635","601","504","514","","","","","","",
"Men","Religion-related work","Western Seoul","Composition Rate[%]","%",".4",".4",".5",".4",".4",".4",".3",".3",".3",".3",".3",".2",".3","","","","","","",
"Men","Religion-related work","Southern Seoul","Donation Count","Unit","756","702","608","625","567","517","423","391","364","378","398","401","409","454","423","373","429","444","487",
"Men","Religion-related work","Southern Seoul","Composition Rate[%]","%",".5",".5",".4",".4",".4",".3",".3",".2",".2",".2",".2",".2",".2",".3",".3",".3",".3",".3",".3",
"Men","Religion-related work","Eastern Seoul","Donation Count","Unit","500","629","529","459","472","618","699","550","517","577","609","575","552","618","546","569","599","597","601",
"Men","Religion-related work","Eastern Seoul","Composition Rate[%]","%",".3",".4",".4",".3",".3",".4",".4",".3",".3",".3",".3",".3",".3",".3",".3",".3",".4",".4",".3",
"Men","Religion-related work","Busan","Donation Count","Unit","414","360","363","335","341","331","238","317","239","251","255","215","279","289","253","302","364","339","268",
"Men","Religion-related work","Busan","Composition Rate[%]","%",".3",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".3",".2",".2",
"Men","Religion-related work","Daegu/Gyeongbook","Donation Count","Unit","398","366","306","304","278","302","285","285","247","292","328","325","340","451","480","535","511","431","325",
"Men","Religion-related work","Daegu/Gyeongbook","Composition Rate[%]","%",".3",".3",".3",".2",".2",".2",".2",".2",".1",".2",".2",".2",".2",".3",".3",".4",".3",".3",".2",
"Men","Religion-related work","Incheon","Donation Count","Unit","307","347","345","299","272","262","295","317","288","328","320","269","314","254","210","350","437","365","318",
"Men","Religion-related work","Incheon","Composition Rate[%]","%",".3",".4",".4",".3",".3",".3",".3",".3",".2",".3",".3",".2",".3",".2",".2",".3",".4",".3",".2",
"Men","Religion-related work","Ulsan","Donation Count","Unit","88","93","76","57","51","92","74","66","44","72","84","72","60","80","103","96","161","162","128",
"Men","Religion-related work","Ulsan","Composition Rate[%]","%",".1",".1",".1",".1",".1",".2",".1",".1",".1",".1",".1",".1",".1",".1",".2",".2",".3",".3",".2",
"Men","Religion-related work","Gyeonggi","Donation Count","Unit","471","479","481","407","442","465","392","448","407","423","519","510","504","416","388","550","564","425","428",
"Men","Religion-related work","Gyeonggi","Composition Rate[%]","%",".4",".4",".5",".4",".4",".4",".3",".3",".3",".3",".3",".3",".3",".3",".2",".3",".3",".3",".3",
"Men","Religion-related work","Gangwon","Donation Count","Unit","117","92","102","107","130","146","139","141","141","130","162","269","270","263","242","308","288","259","204",
"Men","Religion-related work","Gangwon","Composition Rate[%]","%",".2",".1",".2",".2",".2",".2",".2",".2",".1",".1",".1",".2",".2",".2",".2",".3",".3",".3",".2",
"Men","Religion-related work","Chungbook","Donation Count","Unit","178","173","168","194","260","163","165","181","197","219","207","133","123","129","147","211","153","140","122",
"Men","Religion-related work","Chungbook","Composition Rate[%]","%",".3",".3",".3",".3",".3",".2",".2",".2",".3",".3",".3",".2",".2",".2",".2",".3",".2",".2",".2",
"Men","Religion-related work","Daejeon/Sejong/Chungnaam","Donation Count","Unit","331","362","327","371","369","348","306","260","274","322","370","279","374","306","384","503","403","448","398",
"Men","Religion-related work","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%",".2",".3",".3",".3",".3",".2",".2",".2",".2",".2",".2",".2",".2",".2",".2",".3",".2",".3",".2",
"Men","Religion-related work","Jeonbook","Donation Count","Unit","324","256","310","351","314","362","326","341","304","317","346","284","348","364","325","367","340","422","366",
"Men","Religion-related work","Jeonbook","Composition Rate[%]","%",".3",".3",".4",".4",".3",".4",".4",".4",".3",".4",".4",".3",".4",".4",".4",".5",".4",".6",".5",
"Men","Religion-related work","Gwangju/Jeonnaam","Donation Count","Unit","566","580","488","515","476","449","392","357","333","358","304","326","350","318","389","516","507","493","459",
"Men","Religion-related work","Gwangju/Jeonnaam","Composition Rate[%]","%",".4",".4",".4",".4",".3",".3",".3",".3",".2",".3",".2",".2",".2",".2",".3",".4",".4",".4",".4",
"Men","Religion-related work","Gyeongnaam","Donation Count","Unit","163","137","96","129","141","115","79","109","114","132","182","176","189","133","145","210","188","208","203",
"Men","Religion-related work","Gyeongnaam","Composition Rate[%]","%",".2",".2",".1",".2",".2",".1",".1",".1",".1",".1",".2",".2",".2",".1",".1",".2",".2",".2",".2",
"Men","Religion-related work","Jeju","Donation Count","Unit","92","111","90","79","88","79","60","49","46","54","47","51","67","62","49","118","93","90","81",
"Men","Religion-related work","Jeju","Composition Rate[%]","%",".4",".5",".4",".3",".4",".3",".3",".2",".2",".2",".2",".2",".3",".3",".2",".4",".3",".3",".2",
"Men","Religion-related work","Korean Red Cross 외","Donation Count","Unit","217","188","266","290","321","376","386","427","396","419","306","340","308","250","240","458","473","390","405",
"Men","Religion-related work","Korean Red Cross 외","Composition Rate[%]","%",".5",".4",".6",".5",".4",".4",".4",".4",".3",".3",".2",".2",".2",".2",".2",".4",".4",".3",".2",
"Men","Stay-at-home","Total","Donation Count","Unit","1309","1165","953","767","894","722","393","355","332","330","326","240","166","152","148","190","168","191","180",
"Men","Stay-at-home","Total","Composition Rate[%]","%",".1",".1",".1","0","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men","Stay-at-home","Korean Red Cross","Donation Count","Unit","1275","1136","923","727","838","659","314","279","242","223","234","150","136","130","115","157","147","169","165",
"Men","Stay-at-home","Korean Red Cross","Composition Rate[%]","%",".1",".1",".1","0","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men","Stay-at-home","Central Seoul","Donation Count","Unit","85","121","98","55","63","98","","","","","","","","13","8","5","11","8","4",
"Men","Stay-at-home","Central Seoul","Composition Rate[%]","%",".1",".1",".1","0","0",".1","","","","","","","","-","-","-","0","0","0",
"Men","Stay-at-home","Western Seoul","Donation Count","Unit","98","88","87","65","88","23","22","28","12","18","41","12","10","","","","","","",
"Men","Stay-at-home","Western Seoul","Composition Rate[%]","%",".1",".1",".1",".1",".1","0","0","0","0","0","0","-","-","","","","","","",
"Men","Stay-at-home","Southern Seoul","Donation Count","Unit","99","76","70","69","57","43","25","29","36","33","23","20","16","17","9","11","7","5","9",
"Men","Stay-at-home","Southern Seoul","Composition Rate[%]","%",".1",".1",".1","0","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men","Stay-at-home","Eastern Seoul","Donation Count","Unit","61","80","70","42","60","65","27","22","23","17","15","11","18","13","13","11","7","5","4",
"Men","Stay-at-home","Eastern Seoul","Composition Rate[%]","%","0",".1",".1","0","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men","Stay-at-home","Busan","Donation Count","Unit","260","227","182","112","121","101","42","36","17","34","17","17","11","23","9","8","17","25","25",
"Men","Stay-at-home","Busan","Composition Rate[%]","%",".2",".1",".1",".1",".1",".1","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men","Stay-at-home","Daegu/Gyeongbook","Donation Count","Unit","97","98","57","48","60","36","23","23","28","17","41","26","23","16","20","33","25","12","14",
"Men","Stay-at-home","Daegu/Gyeongbook","Composition Rate[%]","%",".1",".1","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
"Men","Stay-at-home","Incheon","Donation Count","Unit","63","42","41","29","44","38","11","7","6","8","8","12","7","2","5","20","10","13","6",
"Men","Stay-at-home","Incheon","Composition Rate[%]","%",".1","0",".1","0","0","0","0","0","0","0","0","-","-","-","-","-","0","0","0",
