"Gender","Blood Type","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","RH(+)","Central Seoul","Donation Count[Unit]","Unit","209810","221213","187039","207187","207693","250230","","","","","","","","265351","249916","220982","215393","222548","233382",
"Men+Women","RH(+)","Central Seoul","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","","","","","","","","99.5","99.6","99.5","99.5","99.5","99.5",
"Men+Women","RH(+)","Western Seoul","Donation Count[Unit]","Unit","133044","137976","154260","170174","192460","89370","270362","281889","301140","333165","330888","289983","276134","","","","","","",
"Men+Women","RH(+)","Western Seoul","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.6","99.6","99.6","","","","","","",
"Men+Women","RH(+)","Southern Seoul","Donation Count[Unit]","Unit","180115","188992","172093","186386","207724","219271","217077","227888","234095","228456","223115","226140","245490","229449","213909","189549","175590","181021","195519",
"Men+Women","RH(+)","Southern Seoul","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.6","99.6","99.5","99.6","99.6","99.5","99.5","99.6",
"Men+Women","RH(+)","Eastern Seoul","Donation Count[Unit]","Unit","194885","199719","181243","197343","212371","247989","263930","274922","294097","313976","297494","272098","278580","277871","258623","230766","229441","237161","254687",
"Men+Women","RH(+)","Eastern Seoul","Composition Rate[%]","%","99.7","99.7","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.6","99.5","99.5","99.6",
"Men+Women","RH(+)","Busan","Donation Count[Unit]","Unit","212439","211763","188904","209438","215973","232404","216063","217913","229967","234661","236910","203996","214282","222696","212680","196432","193950","203372","204924",
"Men+Women","RH(+)","Busan","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6",
"Men+Women","RH(+)","Daegu/Gyeongbook","Donation Count[Unit]","Unit","193378","188157","156655","187199","214646","212406","210841","225806","243737","262625","259164","235926","239785","245124","231477","195539","224224","224121","228653",
"Men+Women","RH(+)","Daegu/Gyeongbook","Composition Rate[%]","%","99.6","99.6","99.5","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.5",
"Men+Women","RH(+)","Incheon","Donation Count[Unit]","Unit","128814","120493","109594","121325","130354","153629","174147","172652","176879","184849","179974","161062","162843","156625","157738","164307","165991","169970","176161",
"Men+Women","RH(+)","Incheon","Composition Rate[%]","%","99.6","99.6","99.5","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.6","99.6","99.6","99.6","99.5","99.5","99.6","99.6",
"Men+Women","RH(+)","Ulsan","Donation Count[Unit]","Unit","78416","81756","65153","70993","73652","73918","73181","78756","80964","88959","93285","86939","85906","86337","91202","82136","83158","86724","98761",
"Men+Women","RH(+)","Ulsan","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.5","99.6","99.6","99.6","99.5","99.5","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.5",
"Men+Women","RH(+)","Gyeonggi","Donation Count[Unit]","Unit","137775","141176","128606","140956","164185","170566","175841","174898","190290","205205","217752","204302","209847","202922","210236","224841","224545","215749","224090",
"Men+Women","RH(+)","Gyeonggi","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.5","99.5","99.5","99.6","99.5","99.5","99.5","99.5",
"Men+Women","RH(+)","Gangwon","Donation Count[Unit]","Unit","82831","76275","64418","73013","79500","83331","91961","107954","120017","127471","149180","149264","154401","160743","153049","140131","133758","124335","132272",
"Men+Women","RH(+)","Gangwon","Composition Rate[%]","%","99.6","99.6","99.7","99.6","99.7","99.6","99.6","99.7","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6",
"Men+Women","RH(+)","Chungbook","Donation Count[Unit]","Unit","77056","78630","72486","84628","99047","100812","91014","99635","97684","99718","99165","88977","95280","93389","93836","85332","84160","83447","85011",
"Men+Women","RH(+)","Chungbook","Composition Rate[%]","%","99.6","99.5","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.6","99.6","99.6","99.6","99.5","99.5","99.6","99.5",
"Men+Women","RH(+)","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","160739","146240","146012","172658","182073","191202","188921","205360","223094","231027","248101","235525","240166","247315","247736","237713","232331","236072","233585",
"Men+Women","RH(+)","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","99.6","99.6","99.6","99.7","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.5","99.6",
"Men+Women","RH(+)","Jeonbook","Donation Count[Unit]","Unit","120509","118224","97813","107417","120823","124374","125030","127422","130908","124850","128321","115647","113779","108153","108485","102376","102507","96633","99751",
"Men+Women","RH(+)","Jeonbook","Composition Rate[%]","%","99.7","99.7","99.6","99.6","99.7","99.7","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.7","99.6",
"Men+Women","RH(+)","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","173704","199228","177388","193992","201153","197747","192071","185038","205027","216971","220719","201349","219450","206036","205854","182484","184546","188764","188412",
"Men+Women","RH(+)","Gwangju/Jeonnaam","Composition Rate[%]","%","99.6","99.6","99.7","99.7","99.7","99.7","99.6","99.7","99.6","99.6","99.6","99.6","99.6","99.7","99.6","99.6","99.6","99.6","99.6",
"Men+Women","RH(+)","Gyeongnaam","Donation Count[Unit]","Unit","100178","102183","91426","101647","114126","119075","113891","119807","134208","142467","135083","127164","129967","134150","132343","130469","124051","122647","128529",
"Men+Women","RH(+)","Gyeongnaam","Composition Rate[%]","%","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.5","99.5","99.6","99.6","99.6","99.5","99.5","99.5","99.5","99.6",
"Men+Women","RH(+)","Jeju","Donation Count[Unit]","Unit","31547","29646","27444","32431","36780","38316","34098","31718","34136","37252","40547","35663","37691","34154","35834","41540","41876","41561","46901",
"Men+Women","RH(+)","Jeju","Composition Rate[%]","%","99.6","99.6","99.7","99.7","99.6","99.6","99.6","99.6","99.5","99.6","99.7","99.6","99.7","99.7","99.6","99.7","99.6","99.6","99.6",
"Men+Women","RH(+)","Korean Red Cross 외","Donation Count[Unit]","Unit","50592","51784","58982","81370","107675","149178","167420","179398","205519","208057","210003","220367","213063","200854","176487","175493","176932","203214","233988",
"Men+Women","RH(+)","Korean Red Cross 외","Composition Rate[%]","%","99.8","99.7","99.8","99.7","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6","99.6",
"Men+Women","Type O","Total","Donation Count[Unit]","Unit","620195","628496","571421","640707","700095","723279","714498","740399","792700","826936","839332","782912","803355","788174","768665","718327","718160","729248","769421",
"Men+Women","Type O","Total","Composition Rate[%]","%","27.3","27.3","27.4","27.3","27.2","27.1","27.3","27.2","27.2","27.1","27.2","27.3","27.4","27.3","27.5","27.5","27.6","27.5","27.7",
"Men+Women","Type O","Korean Red Cross","Donation Count[Unit]","Unit","606013","614077","555016","618401","670112","682039","668347","691235","735608","769248","780311","721621","744701","733055","719634","669120","668706","672737","704109",
"Men+Women","Type O","Korean Red Cross","Composition Rate[%]","%","27.3","27.3","27.4","27.3","27.2","27.1","27.3","27.2","27.2","27","27.2","27.3","27.4","27.3","27.5","27.5","27.6","27.5","27.7",
"Men+Women","Type O","Central Seoul","Donation Count[Unit]","Unit","56961","60848","51757","57141","56993","68263","","","","","","","","72609","69858","61820","60456","62040","65175",
"Men+Women","Type O","Central Seoul","Composition Rate[%]","%","27","27.4","27.6","27.5","27.3","27.2","","","","","","","","27.2","27.8","27.8","27.9","27.7","27.8",
"Men+Women","Type O","Western Seoul","Donation Count[Unit]","Unit","36377","38216","42565","46361","52376","24143","74366","77320","83292","91216","90126","79053","76161","","","","","","",
"Men+Women","Type O","Western Seoul","Composition Rate[%]","%","27.2","27.6","27.5","27.1","27.1","26.9","27.4","27.3","27.5","27.2","27.1","27.1","27.5","","","","","","",
"Men+Women","Type O","Southern Seoul","Donation Count[Unit]","Unit","49705","52194","47387","51397","57304","61013","60613","62989","64456","62684","61044","61650","67438","63344","59354","52077","47981","50011","54065",
"Men+Women","Type O","Southern Seoul","Composition Rate[%]","%","27.5","27.5","27.4","27.5","27.5","27.7","27.8","27.5","27.4","27.3","27.2","27.1","27.3","27.5","27.6","27.4","27.2","27.5","27.5",
"Men+Women","Type O","Eastern Seoul","Donation Count[Unit]","Unit","53464","54320","49643","54587","58093","67558","72737","74982","80120","85672","81914","75333","77225","76526","72010","63727","64010","66006","71520",
"Men+Women","Type O","Eastern Seoul","Composition Rate[%]","%","27.3","27.1","27.3","27.6","27.2","27.1","27.4","27.2","27.1","27.2","27.4","27.6","27.6","27.4","27.7","27.5","27.8","27.7","28",
"Men+Women","Type O","Busan","Donation Count[Unit]","Unit","58635","58233","51998","58088","59850","63750","59964","59795","62922","64042","64984","56351","59797","61810","58739","54100","53387","55476","55993",
"Men+Women","Type O","Busan","Composition Rate[%]","%","27.5","27.4","27.4","27.6","27.6","27.3","27.6","27.3","27.2","27.2","27.3","27.5","27.8","27.6","27.5","27.4","27.4","27.2","27.2",
"Men+Women","Type O","Daegu/Gyeongbook","Donation Count[Unit]","Unit","53990","52935","44158","52819","60229","59280","58795","63007","67899","72987","72426","66374","67711","69499","65582","55701","64049","63606","65243",
"Men+Women","Type O","Daegu/Gyeongbook","Composition Rate[%]","%","27.8","28","28.1","28.1","28","27.8","27.8","27.8","27.7","27.7","27.8","28","28.1","28.2","28.2","28.4","28.4","28.2","28.4",
"Men+Women","Type O","Incheon","Donation Count[Unit]","Unit","35588","33615","30504","33341","36018","41928","47968","47320","48557","50051","49069","44195","45198","43520","43795","45731","46473","47482","49700",
"Men+Women","Type O","Incheon","Composition Rate[%]","%","27.5","27.8","27.7","27.4","27.5","27.2","27.4","27.3","27.3","26.9","27.1","27.3","27.6","27.7","27.6","27.7","27.9","27.8","28.1",
"Men+Women","Type O","Ulsan","Donation Count[Unit]","Unit","22198","22773","18429","19920","20686","20540","20311","21513","22258","24549","25680","23718","23652","23900","25398","22934","23214","24213","28124",
"Men+Women","Type O","Ulsan","Composition Rate[%]","%","28.2","27.7","28.2","27.9","28","27.7","27.6","27.2","27.4","27.5","27.4","27.2","27.4","27.6","27.7","27.8","27.8","27.8","28.3",
"Men+Women","Type O","Gyeonggi","Donation Count[Unit]","Unit","37868","39185","35871","39209","44939","46708","48828","48150","51998","55783","60214","56733","58864","56559","59524","63391","63198","60539","63317",
"Men+Women","Type O","Gyeonggi","Composition Rate[%]","%","27.4","27.7","27.8","27.7","27.3","27.3","27.7","27.4","27.2","27.1","27.5","27.6","27.9","27.7","28.2","28.1","28","27.9","28.1",
"Men+Women","Type O","Gangwon","Donation Count[Unit]","Unit","23399","21236","18120","20448","22033","23005","25393","29905","33501","35402","41805","41497","42848","44316","42994","39074","37552","35017","36923",
"Men+Women","Type O","Gangwon","Composition Rate[%]","%","28.2","27.7","28","27.9","27.6","27.5","27.5","27.6","27.8","27.7","27.9","27.7","27.7","27.5","28","27.8","28","28","27.8",
"Men+Women","Type O","Chungbook","Donation Count[Unit]","Unit","21101","21707","19802","22906","26744","27013","24397","26775","26184","26860","26574","24196","25966","25655","26034","23599","23366","22982","23582",
"Men+Women","Type O","Chungbook","Composition Rate[%]","%","27.3","27.5","27.2","27","26.9","26.7","26.7","26.7","26.7","26.8","26.7","27.1","27.1","27.3","27.6","27.5","27.6","27.4","27.6",
"Men+Women","Type O","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","43806","39842","39836","46242","49399","51485","51491","55421","60369","62049","66680","64309","65649","67097","67118","64401","63098","64252","64078",
"Men+Women","Type O","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","27.2","27.1","27.2","26.7","27","26.8","27.1","26.9","26.9","26.7","26.8","27.2","27.2","27","27","27","27","27.1","27.3",
"Men+Women","Type O","Jeonbook","Donation Count[Unit]","Unit","31652","31295","26506","28611","31905","32263","32877","33390","34260","32807","34048","30471","30030","28481","28977","27549","27394","25619","26888",
"Men+Women","Type O","Jeonbook","Composition Rate[%]","%","26.2","26.4","27","26.5","26.3","25.9","26.2","26.1","26.1","26.2","26.4","26.2","26.3","26.2","26.6","26.8","26.6","26.4","26.9",
"Men+Women","Type O","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","45264","51703","46132","50682","52418","51961","50013","48678","53528","56367","57623","52748","57972","54054","54024","47813","48448","49780","50206",
"Men+Women","Type O","Gwangju/Jeonnaam","Composition Rate[%]","%","26","25.9","25.9","26","26","26.2","25.9","26.2","26","25.9","26","26.1","26.3","26.1","26.1","26.1","26.1","26.3","26.6",
"Men+Women","Type O","Gyeongnaam","Donation Count[Unit]","Unit","27427","28011","24997","27846","31066","32706","31270","33054","36648","38452","36828","35005","35840","36407","36238","35605","34599","33988","36094",
"Men+Women","Type O","Gyeongnaam","Composition Rate[%]","%","27.3","27.3","27.2","27.3","27.1","27.4","27.4","27.5","27.2","26.9","27.1","27.4","27.5","27","27.3","27.2","27.8","27.6","28",
"Men+Women","Type O","Jeju","Donation Count[Unit]","Unit","8578","7964","7311","8803","10059","10423","9324","8936","9616","10327","11296","9988","10350","9278","9989","11598","11481","11726","13201",
"Men+Women","Type O","Jeju","Composition Rate[%]","%","27.1","26.8","26.5","27.1","27.2","27.1","27.2","28.1","28","27.6","27.8","27.9","27.4","27.1","27.8","27.8","27.3","28.1","28",
"Men+Women","Type O","Korean Red Cross 외","Donation Count[Unit]","Unit","14182","14419","16405","22306","29983","41240","46151","49164","57092","57688","59021","61291","58654","55119","49031","49207","49454","56511","65312",
"Men+Women","Type O","Korean Red Cross 외","Composition Rate[%]","%","28","27.8","27.8","27.3","27.7","27.5","27.5","27.3","27.7","27.6","28","27.7","27.4","27.3","27.7","27.9","27.8","27.7","27.8",
"Men+Women","Type A","Total","Donation Count[Unit]","Unit","772270","786421","715236","800197","876093","907227","893135","931276","995098","1043014","1052072","976168","999126","982936","948002","885325","882974","898562","938405",
"Men+Women","Type A","Total","Composition Rate[%]","%","34","34.2","34.3","34.1","34.1","34","34.1","34.2","34.1","34.2","34.1","34.1","34.1","34.1","34","33.9","33.9","33.9","33.8",
"Men+Women","Type A","Korean Red Cross","Donation Count[Unit]","Unit","755806","768250","694984","772400","839979","857203","836516","870298","925340","972471","981389","901717","925995","914732","887792","826201","823387","829772","859503",
"Men+Women","Type A","Korean Red Cross","Composition Rate[%]","%","34","34.1","34.3","34.1","34.1","34.1","34.2","34.2","34.2","34.2","34.2","34.1","34.1","34.1","34","33.9","33.9","33.9","33.8",
"Men+Women","Type A","Central Seoul","Donation Count[Unit]","Unit","70681","74743","63039","69970","70116","84870","","","","","","","","90541","85131","75812","73181","76124","79692",
"Men+Women","Type A","Central Seoul","Composition Rate[%]","%","33.6","33.7","33.6","33.6","33.6","33.8","","","","","","","","34","33.9","34.1","33.8","34","34",
"Men+Women","Type A","Western Seoul","Donation Count[Unit]","Unit","45450","47466","53475","58838","66796","31068","92982","96736","103377","114752","114435","99588","94383","","","","","","",
"Men+Women","Type A","Western Seoul","Composition Rate[%]","%","34","34.2","34.5","34.4","34.6","34.6","34.2","34.2","34.2","34.3","34.4","34.2","34","","","","","","",
"Men+Women","Type A","Southern Seoul","Donation Count[Unit]","Unit","60561","64217","58682","63109","70012","73626","73920","77750","80169","77907","75644","76626","83755","78015","71865","64328","59912","61395","65928",
"Men+Women","Type A","Southern Seoul","Composition Rate[%]","%","33.5","33.8","34","33.7","33.6","33.4","33.9","34","34.1","33.9","33.7","33.7","34","33.8","33.5","33.8","34","33.8","33.6",
"Men+Women","Type A","Eastern Seoul","Donation Count[Unit]","Unit","65865","67953","61717","66797","72628","84325","89643","94280","100301","106576","100800","92588","95397","95268","87724","78323","77602","80250","86724",
"Men+Women","Type A","Eastern Seoul","Composition Rate[%]","%","33.7","33.9","33.9","33.7","34.1","33.9","33.8","34.2","34","33.8","33.7","33.9","34.1","34.1","33.8","33.8","33.7","33.7","33.9",
"Men+Women","Type A","Busan","Donation Count[Unit]","Unit","72891","72869","65077","71681","73512","80196","74484","75299","78756","81180","82091","70654","73435","76513","73205","67844","66629","70153","70338",
"Men+Women","Type A","Busan","Composition Rate[%]","%","34.2","34.3","34.3","34.1","33.9","34.4","34.3","34.4","34.1","34.4","34.5","34.5","34.1","34.2","34.3","34.4","34.2","34.4","34.2",
"Men+Women","Type A","Daegu/Gyeongbook","Donation Count[Unit]","Unit","64590","62360","52398","62376","71314","70914","70535","76257","82170","88324","87519","79164","79727","81248","77022","65044","74359","73948","75772",
"Men+Women","Type A","Daegu/Gyeongbook","Composition Rate[%]","%","33.3","33","33.3","33.2","33.1","33.3","33.3","33.6","33.6","33.5","33.6","33.4","33.1","33","33.1","33.1","33","32.8","33",
"Men+Women","Type A","Incheon","Donation Count[Unit]","Unit","43398","40774","37464","41406","44099","51904","58958","58891","60470","63106","61630","54749","55368","53065","53198","55183","56165","57608","58980",
"Men+Women","Type A","Incheon","Composition Rate[%]","%","33.6","33.7","34","34","33.7","33.6","33.7","34","34","34","34.1","33.8","33.9","33.7","33.6","33.4","33.7","33.7","33.4",
"Men+Women","Type A","Ulsan","Donation Count[Unit]","Unit","26471","27896","22055","23976","24594","25070","25331","27034","27900","30576","31825","29879","29452","29171","30712","27616","28072","29015","32764",
"Men+Women","Type A","Ulsan","Composition Rate[%]","%","33.6","34","33.7","33.6","33.3","33.8","34.5","34.2","34.3","34.2","34","34.2","34.1","33.6","33.5","33.5","33.6","33.3","33",
"Men+Women","Type A","Gyeonggi","Donation Count[Unit]","Unit","46558","47745","43861","47468","55740","57586","59505","59229","64588","69744","74042","69501","71321","69086","70563","75173","76127","73359","75816",
"Men+Women","Type A","Gyeonggi","Composition Rate[%]","%","33.6","33.7","34","33.5","33.8","33.6","33.7","33.7","33.8","33.8","33.8","33.9","33.8","33.9","33.4","33.3","33.7","33.8","33.7",
"Men+Women","Type A","Gangwon","Donation Count[Unit]","Unit","27573","25428","21189","24254","26383","27533","30338","35672","39373","41905","49113","49354","51238","53609","50362","45705","43431","41038","43276",
"Men+Women","Type A","Gangwon","Composition Rate[%]","%","33.2","33.2","32.8","33.1","33.1","32.9","32.9","32.9","32.7","32.7","32.8","32.9","33.1","33.2","32.8","32.5","32.3","32.9","32.6",
"Men+Women","Type A","Chungbook","Donation Count[Unit]","Unit","25276","25995","24272","28295","33031","33292","30133","33147","32459","33400","33045","29618","31676","31032","31328","28634","27716","27894","28395",
"Men+Women","Type A","Chungbook","Composition Rate[%]","%","32.7","32.9","33.3","33.3","33.2","32.9","33","33.1","33.1","33.3","33.2","33.2","33.1","33.1","33.2","33.4","32.8","33.3","33.2",
"Men+Women","Type A","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","54853","50201","50574","60070","63315","66224","64819","70830","76387","79309","85092","80195","82287","84877","85236","81321","80132","81005","80129",
"Men+Women","Type A","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","34","34.2","34.5","34.7","34.6","34.5","34.2","34.3","34.1","34.2","34.2","33.9","34.1","34.2","34.3","34.1","34.3","34.2","34.2",
"Men+Women","Type A","Jeonbook","Donation Count[Unit]","Unit","43560","42592","34891","38131","43358","45237","45103","46109","47100","44994","45823","41362","40896","38819","38578","36380","36465","34543","35138",
"Men+Women","Type A","Jeonbook","Composition Rate[%]","%","36","35.9","35.5","35.4","35.8","36.3","35.9","36","35.8","35.9","35.6","35.6","35.8","35.8","35.4","35.4","35.4","35.6","35.1",
"Men+Women","Type A","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","64030","73387","65604","70899","74255","72621","70591","67232","75059","79284","80680","73466","80333","75735","75739","66618","67613","68153","68117",
"Men+Women","Type A","Gwangju/Jeonnaam","Composition Rate[%]","%","36.7","36.7","36.9","36.4","36.8","36.6","36.6","36.2","36.5","36.4","36.4","36.4","36.5","36.6","36.7","36.4","36.5","36","36",
"Men+Women","Type A","Gyeongnaam","Donation Count[Unit]","Unit","34478","35510","32154","35349","39824","41060","39826","42213","46972","50134","47559","44317","45165","47271","46384","45686","43241","42667","43963",
"Men+Women","Type A","Gyeongnaam","Composition Rate[%]","%","34.3","34.6","35","34.6","34.8","34.4","34.8","35.1","34.9","35","35","34.7","34.6","35.1","34.9","34.9","34.7","34.6","34.1",
"Men+Women","Type A","Jeju","Donation Count[Unit]","Unit","9571","9114","8532","9781","11002","11677","10348","9619","10259","11280","12091","10656","11562","10482","10745","12534","12742","12620","14471",
"Men+Women","Type A","Jeju","Composition Rate[%]","%","30.2","30.6","31","30.1","29.8","30.4","30.2","30.2","29.9","30.2","29.7","29.8","30.6","30.6","29.9","30.1","30.3","30.2","30.7",
"Men+Women","Type A","Korean Red Cross 외","Donation Count[Unit]","Unit","16464","18171","20252","27797","36114","50024","56619","60978","69758","70543","70683","74451","73131","68204","60210","59124","59587","68790","78902",
"Men+Women","Type A","Korean Red Cross 외","Composition Rate[%]","%","32.5","35","34.3","34.1","33.4","33.4","33.7","33.9","33.8","33.8","33.5","33.7","34.2","33.8","34","33.6","33.5","33.7","33.6",
"Men+Women","Type B","Total","Donation Count[Unit]","Unit","613836","616579","555040","628496","690453","717530","699036","727701","779690","819943","825702","765176","780588","769643","743361","695870","690617","705547","737542",
"Men+Women","Type B","Total","Composition Rate[%]","%","27","26.8","26.6","26.8","26.9","26.9","26.7","26.7","26.8","26.9","26.8","26.7","26.7","26.7","26.6","26.6","26.5","26.6","26.6",
"Men+Women","Type B","Korean Red Cross","Donation Count[Unit]","Unit","600138","603454","539707","606669","660892","676870","653863","679093","724517","763920","769581","705967","723366","714937","695831","648711","643049","650773","675043",
"Men+Women","Type B","Korean Red Cross","Composition Rate[%]","%","27","26.8","26.6","26.8","26.8","26.9","26.7","26.7","26.8","26.9","26.8","26.7","26.6","26.7","26.6","26.6","26.5","26.6","26.6",
"Men+Women","Type B","Central Seoul","Donation Count[Unit]","Unit","57520","60305","50867","56391","56839","68440","","","","","","","","71148","66175","57790","56536","58838","61317",
"Men+Women","Type B","Central Seoul","Composition Rate[%]","%","27.3","27.2","27.1","27.1","27.3","27.2","","","","","","","","26.7","26.4","26","26.1","26.3","26.2",
"Men+Women","Type B","Western Seoul","Donation Count[Unit]","Unit","35971","36812","41164","45914","51956","24095","72652","75868","80042","89048","88492","77482","73438","","","","","","",
"Men+Women","Type B","Western Seoul","Composition Rate[%]","%","26.9","26.6","26.6","26.9","26.9","26.9","26.7","26.8","26.5","26.6","26.6","26.6","26.5","","","","","","",
"Men+Women","Type B","Southern Seoul","Donation Count[Unit]","Unit","49683","51408","46761","50625","56732","59734","58025","61100","62855","61810","60669","61210","65903","61471","58040","51138","46852","48683","52868",
